# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.127999999244924
512 0.5 0.127858043316715
1024 1 0.127718837244639
1536 1.5 0.127598048421819
2048 2 0.127505099322388
2560 2.5 0.127444859935001
3072 3 0.127417299127847
3584 3.5 0.127419010589159
4096 4 0.12744414379297
4608 4.5 0.127485842854173
5120 5 0.127537361300621
5632 5.5 0.127592403178266
6144 6 0.127645633008245
6656 6.5 0.127693228166951
7168 7 0.127732791631497
7680 7.5 0.127763185727868
8192 8 0.127784632086026
8704 8.5 0.127798427358596
9216 9 0.127806124533941
9728 9.5 0.127809255535771
10240 10 0.127809689033504
10752 10.5 0.127809233489311
11264 11 0.127809128421046
11776 11.5 0.12781059494442
12288 12 0.127814330747177
12800 12.5 0.127820368348179
13312 13 0.127828258408282
13824 13.5 0.127837425732511
14336 14 0.12784752534732
14848 14.5 0.127858194746515
15360 15 0.127868426282792
15872 15.5 0.127877563761354
16384 16 0.127885951052743
16896 16.5 0.127893079072541
17408 17 0.127898514193142
17920 17.5 0.127902734156043
18432 18 0.127905893844203
18944 18.5 0.127907640445483
19456 19 0.127908588216685
19968 19.5 0.127908978376518
20480 20 0.127908891150203
20992 20.5 0.127908705474865
21504 21 0.127909076819178
22016 21.5 0.127910188386744
22528 22 0.127912128182327
23040 22.5 0.127914786855576
23552 23 0.127917347990084
24064 23.5 0.127918905202898
24576 24 0.127918486134043
25088 24.5 0.127916032487489
25600 25 0.127911648064959
26112 25.5 0.127906148340568
26624 26 0.127900463787591
27136 26.5 0.127894388944192
27648 27 0.127888009210312
28160 27.5 0.127881505215098
28672 28 0.127874614836303
29184 28.5 0.127867344348251
29696 29 0.127859841708653
30208 29.5 0.127851677290853
30720 30 0.127842424948495
31232 30.5 0.127831896762554
31744 31 0.127820371266201
32256 31.5 0.127807720247559
32768 32 0.127793657469632
33280 32.5 0.127777983143094
33792 33 0.127760093299628
34304 33.5 0.127739814798712
34816 34 0.12771699828935
35328 34.5 0.127691468351432
35840 35 0.127662692899611
36352 35.5 0.127630585272401
36864 36 0.127595612544833
37376 36.5 0.127557322588826
37888 37 0.127516113778497
38400 37.5 0.127472228752021
38912 38 0.127425598245549
39424 38.5 0.127376708915095
39936 39 0.127325761983213
40448 39.5 0.127273307619639
40960 40 0.127220025019657
41472 40.5 0.127166307273537
41984 41 0.127112675154932
42496 41.5 0.127059636844498
43008 42 0.127007411847076
43520 42.5 0.126956150135918
44032 43 0.126906550657543
44544 43.5 0.12685933804925
45056 44 0.126814817678019
45568 44.5 0.126773446097037
46080 45 0.126735565385468
46592 45.5 0.12670131012641
47104 46 0.126671183118301
47616 46.5 0.126645086615991
48128 47 0.126622832434351
48640 47.5 0.126604541223448
49152 48 0.126589948996757
49664 48.5 0.126579087240806
50176 49 0.126571716796998
50688 49.5 0.126567826211134
51200 50 0.126567482205262
51712 50.5 0.126570323233596
52224 51 0.126576423292726
52736 51.5 0.126585933571389
53248 52 0.126599162985306
53760 52.5 0.126615834246482
54272 53 0.126635635423061
54784 53.5 0.126658772025426
55296 54 0.126684827089984
55808 54.5 0.126713260774215
56320 55 0.126743924028763
56832 55.5 0.126776889016749
57344 56 0.126811994178623
57856 56.5 0.126848850791176
58368 57 0.126887843239759
58880 57.5 0.126927999921869
59392 58 0.12696777563218
59904 58.5 0.127006855926572
60416 59 0.127044854281181
60928 59.5 0.127082446933546
61440 60 0.127121060336244
61952 60.5 0.127162440409101
62464 61 0.127193017234216
62976 61.5 0.127207452969844
63488 62 0.127228782055132
64000 62.5 0.127265499886675
64512 63 0.127323966556417
65024 63.5 0.127412849956545
65536 64 0.127542763110253
66048 64.5 0.1277289088286
66560 65 0.127991618080205
67072 65.5 0.128354934842718
67584 66 0.128844502974213
68096 66.5 0.129489972857823
68608 67 0.130315412536613
69120 67.5 0.131330163945882
69632 68 0.132525421463864
70144 68.5 0.133879862870982
70656 69 0.135368194634139
71168 69.5 0.13700302891543
71680 70 0.138779953329914
72192 70.5 0.140467402559439
72704 71 0.141845272284816
73216 71.5 0.142824750083748
73728 72 0.143402534383792
74240 72.5 0.143618749420668
74752 73 0.143501707504272
75264 73.5 0.143174091018855
75776 74 0.142713432649594
76288 74.5 0.142139499341407
76800 75 0.141478963323311
77312 75.5 0.140750716731611
77824 76 0.139969289615499
78336 76.5 0.139149867366357
78848 77 0.138311810087272
79360 77.5 0.137475752482015
79872 78 0.136653609601516
80384 78.5 0.135852378467055
80896 79 0.135075382641618
81408 79.5 0.134327790913982
81920 80 0.133617907594712
82432 80.5 0.132952806450794
82944 81 0.132334240833283
83456 81.5 0.131761163202526
83968 82 0.131229469108229
84480 82.5 0.130733746567236
84992 83 0.130270638396849
85504 83.5 0.12983752888725
86016 84 0.1294320630982
86528 84.5 0.129054686370932
87040 85 0.128707287105953
87552 85.5 0.128392039226238
88064 86 0.128113185353496
88576 86.5 0.127873993924245
89088 87 0.127671653741585
89600 87.5 0.127491972151139
90112 88 0.127324391573005
90624 88.5 0.12716941645274
91136 89 0.127031977096322
91648 89.5 0.126918105275908
92160 90 0.126837783977604
92672 90.5 0.126819394107924
93184 91 0.12685634901665
93696 91.5 0.126937303214837
94208 92 0.127063176430089
94720 92.5 0.127224139981984
95232 93 0.127414555229951
95744 93.5 0.127630356107413
96256 94 0.127863828243793
96768 94.5 0.128107860178961
97280 95 0.128366247338724
97792 95.5 0.128626120429762
98304 96 0.128866386450457
98816 96.5 0.12906775861663
99328 97 0.129227277579483
99840 97.5 0.129343807505066
100352 98 0.129414999569948
100864 98.5 0.129454126837036
101376 99 0.129478869501758
101888 99.5 0.129501243098178
102400 100 0.12952490434698
102912 100.5 0.129551944360288
103424 101 0.129591349216055
103936 101.5 0.129653052537995
104448 102 0.129744612963762
104960 102.5 0.129871262030928
105472 103 0.130037398308808
105984 103.5 0.130242595712524
106496 104 0.13047413434924
107008 104.5 0.130718601251805
107520 105 0.13096152343606
108032 105.5 0.131188172530105
108544 106 0.131387275269579
109056 106.5 0.131553767947745
109568 107 0.131686888180709
110080 107.5 0.131788609212259
110592 108 0.131864014600053
111104 108.5 0.131916701919792
111616 109 0.131948128010668
112128 109.5 0.131961767855253
112640 110 0.131963944872843
113152 110.5 0.131958723844868
113664 111 0.131947951429673
114176 111.5 0.131933519007807
114688 112 0.131916486900316
115200 112.5 0.131897311834941
115712 113 0.131876754258294
116224 113.5 0.131853715052748
116736 114 0.13182647685997
117248 114.5 0.131794832110147
117760 115 0.1317585607799
