# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.0012786745346879
1024 1 0.00127744610538005
1536 1.5 0.00127644110416506
2048 2 0.00127582646260215
2560 2.5 0.00127587628436944
3072 3 0.00127644349167337
3584 3.5 0.00127735388810072
4096 4 0.00127850378442701
4608 4.5 0.00127979778259336
5120 5 0.00128113661426973
5632 5.5 0.00128230680575737
6144 6 0.00128327474312173
6656 6.5 0.00128411940235054
7168 7 0.00128496381619547
7680 7.5 0.00128593616458582
8192 8 0.00128711456958533
8704 8.5 0.00128856208058944
9216 9 0.00129030677663862
9728 9.5 0.00129229296254932
10240 10 0.00129438735306434
10752 10.5 0.00129649890726148
11264 11 0.00129860758641477
11776 11.5 0.00130068006699991
12288 12 0.00130270529228136
12800 12.5 0.00130471168167633
13312 13 0.00130672218210428
13824 13.5 0.00130879881703379
14336 14 0.00131097007738675
14848 14.5 0.0013132414187195
15360 15 0.00131564691788933
15872 15.5 0.00131819097856701
16384 16 0.00132082788013547
16896 16.5 0.00132355389922344
17408 17 0.0013263574417666
17920 17.5 0.00132917265974658
18432 18 0.00133200813506988
18944 18.5 0.00133486076566045
19456 19 0.00133769703505941
19968 19.5 0.00134054515967761
20480 20 0.00134341845207126
20992 20.5 0.00134630909541665
21504 21 0.00134924705950641
22016 21.5 0.00135225903932765
22528 22 0.00135533153334519
23040 22.5 0.00135848448589322
23552 23 0.00136172091283185
24064 23.5 0.00136502714589041
24576 24 0.00136839864255571
25088 24.5 0.00137179736046266
25600 25 0.00137520972337199
26112 25.5 0.00137863519622423
26624 26 0.00138204308847149
27136 26.5 0.00138541920730127
27648 27 0.00138877233001755
28160 27.5 0.0013921091120169
28672 28 0.00139543636878284
29184 28.5 0.0013987530246111
29696 29 0.00140205793669356
30208 29.5 0.00140535862305574
30720 30 0.00140865461485117
31232 30.5 0.0014119330672151
31744 31 0.00141518042316063
32256 31.5 0.00141838881986028
32768 32 0.0014215529512914
33280 32.5 0.00142466055009593
33792 33 0.00142769845627262
34304 33.5 0.0014306623056622
34816 34 0.00143355579870836
35328 34.5 0.00143638386564601
35840 35 0.00143914014039173
36352 35.5 0.00144182152794193
36864 36 0.00144443863533213
37376 36.5 0.0014470069869683
37888 37 0.00144954067059206
38400 37.5 0.0014520520443333
38912 38 0.00145455289522784
39424 38.5 0.00145705440704119
39936 39 0.00145956875361307
40448 39.5 0.00146210769602138
40960 40 0.00146467864628524
41472 40.5 0.00146729018831072
41984 41 0.00146994911483702
42496 41.5 0.00147266008640873
43008 42 0.0014754299686556
43520 42.5 0.00147825956612874
44032 43 0.00148115589724787
44544 43.5 0.00148412372107701
45056 44 0.00148715648347605
45568 44.5 0.00149025962183487
46080 45 0.00149343735800314
46592 45.5 0.00149668591285006
47104 46 0.00149999817852784
47616 46.5 0.00150337675576721
48128 47 0.00150683291447906
48640 47.5 0.00151037052899631
49152 48 0.00151399721806744
49664 48.5 0.0015177131770471
50176 49 0.00152151890728843
50688 49.5 0.00152542112015507
51200 50 0.00152940718656862
51712 50.5 0.00153345915536739
52224 51 0.00153759048728288
52736 51.5 0.00154179096764796
53248 52 0.0015460305304133
53760 52.5 0.00155032059686149
54272 53 0.00155465923747358
54784 53.5 0.00155902206778603
55296 54 0.00156341115167171
55808 54.5 0.00156782719857577
56320 55 0.00157225926477929
56832 55.5 0.00157670154682612
57344 56 0.00158115626260546
57856 56.5 0.00158562443217988
58368 57 0.00159011084489272
58880 57.5 0.00159463403657538
59392 58 0.00159922094536819
59904 58.5 0.00160390099300811
60416 59 0.00160870258995489
60928 59.5 0.00161366743641157
61440 60 0.001618812717133
61952 60.5 0.001624110157897
62464 61 0.00162953973791799
62976 61.5 0.00163508367202808
63488 62 0.00164071007294309
64000 62.5 0.00164639399210515
64512 63 0.0016521322112514
65024 63.5 0.00165794610862178
65536 64 0.00166385054565127
66048 64.5 0.00166986653022711
66560 65 0.00167600785922496
67072 65.5 0.00168228054815836
67584 66 0.00168869517255568
68096 66.5 0.00169527924274621
68608 67 0.00170203384337906
69120 67.5 0.00170888450636606
69632 68 0.00171571621469498
70144 68.5 0.00172240257665086
70656 69 0.00172882468301925
71168 69.5 0.00173489303048959
71680 70 0.00174055023517025
72192 70.5 0.00174576606387425
