# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00838671755976467 -0.00825303276951763 -0.00819842385572665
1024 1 -0.0113964549527046 -0.0110410439076561 -0.0108968812482209
1536 1.5 -0.0143520916029998 -0.013946999066592 -0.0137838618274672
2048 2 -0.0177553161537629 -0.017755316197825 -0.0177553153090681
2560 2.5 -0.0221911418715426 -0.0221911433042451 -0.0221911426289502
3072 3 -0.0266019273334178 -0.0266019309738842 -0.0266019312919837
3584 3.5 -0.0309738304381987 -0.0309738364995261 -0.0309738381082985
4096 4 -0.0352902795218529 -0.0352902895885963 -0.0352902945839637
4608 4.5 -0.0395298451341344 -0.0395298643331668 -0.0395298763437036
5120 5 -0.0436734768642332 -0.0436735203525577 -0.0436735400573794
5632 5.5 -0.0477379892978235 -0.0477380719610396 -0.0477381097488825
6144 6 -0.0517370737536788 -0.0517372118717013 -0.0517372839659676
6656 6.5 -0.0557806240183483 -0.0557806404728149 -0.0557806555069683
7168 7 -0.0598315453713029 -0.0598315696774389 -0.0598315913146481
7680 7.5 -0.0637812417441183 -0.0637812737484329 -0.0637813015104862
8192 8 -0.0676345872846522 -0.0676346244765952 -0.0676346562853739
8704 8.5 -0.0713901750873138 -0.0713902139338628 -0.0713902472750433
9216 9 -0.0750391765482634 -0.0750392112584707 -0.0750392413871808
9728 9.5 -0.0785784125790628 -0.0785784318426634 -0.0785784488208604
10240 10 -0.0820136851112957 -0.0820136715288673 -0.0820136597957225
10752 10.5 -0.0853498013653969 -0.0853497317591503 -0.0853496694959071
11264 11 -0.0885855123231264 -0.0885853554880115 -0.0885852116081064
11776 11.5 -0.0917197372612486 -0.0920547928384688 -0.0918418862051418
12288 12 -0.0947569649515254 -0.0963433933168203 -0.0961037420105347
12800 12.5 -0.097787834611196 -0.100931705669561 -0.100664716098948
13312 13 -0.102789518773782 -0.105872141232841 -0.105575906485115
13824 13.5 -0.108333586782314 -0.111221554055951 -0.11089322314707
14336 14 -0.114505640570336 -0.117047670788737 -0.116683519367473
14848 14.5 -0.121399379553095 -0.123438476372121 -0.123032530449081
15360 15 -0.128890631306486 -0.130515216565814 -0.130058208702465
15872 15.5 -0.137025612022071 -0.138415424004755 -0.137895070688869
16384 16 -0.146126386210489 -0.147398008583694 -0.146797273626799
16896 16.5 -0.156138354394773 -0.157398601731963 -0.156704544038888
17408 17 -0.167275855310032 -0.168594754102582 -0.167790836360771
17920 17.5 -0.17979691745454 -0.181221170238229 -0.180293473394765
18432 18 -0.194018699082394 -0.195588721514652 -0.19452632161495
18944 18.5 -0.210364369623102 -0.212119424707573 -0.210915059755539
19456 19 -0.229378497406149 -0.231351574892473 -0.229993858231603
19968 19.5 -0.251776720852518 -0.254142531042582 -0.25257049629209
20480 20 -0.278119081377703 -0.281372068964699 -0.279491790960511
20992 20.5 -0.309107215703099 -0.31402746822324 -0.311745877875902
21504 21 -0.345772925288442 -0.353484140809254 -0.350599685772558
22016 21.5 -0.389319048957992 -0.401242229892125 -0.397441715145709
22528 22 -0.440660006421147 -0.457735840418495 -0.453075605200328
23040 22.5 -0.499654804538068 -0.516055979827474 -0.511861565824719
23552 23 -0.558756525107085 -0.569539649906751 -0.565531657073436
24064 23.5 -0.607786291419076 -0.617522077491328 -0.613980025883114
24576 24 -0.64728052307412 -0.658664787585732 -0.656198563244749
25088 24.5 -0.677736772894037 -0.693065147659325 -0.692207516236477
25600 25 -0.701941740346937 -0.720758077086835 -0.721310173750855
26112 25.5 -0.719192824325543 -0.743020851611201 -0.745219994805535
26624 26 -0.731572948642855 -0.760320413172579 -0.763807657582371
27136 26.5 -0.741699474004439 -0.778057877914647 -0.774460162639143
27648 27 -0.776543638579156 -0.786145468432901 -0.781315174887365
28160 27.5 -0.776071721956521 -0.791564953553686 -0.76814631313321
28672 28 -0.765043023926106 -0.78055583927326 -0.75840506417183
29184 28.5 -0.732436539929224 -0.748402007593907 -0.739385505266791
29696 29 -0.700445436537254 -0.716686985868882 -0.730508666429675
30208 29.5 -0.663434744485716 -0.68685165118539 -0.72918645231236
30720 30 -0.624855917244702 -0.655689103654171 -0.696517608518685
31232 30.5 -0.594758662890172 -0.625204602988145 -0.631357593791598
31744 31 -0.616899642538612 -0.593679737972893 -0.613486000030749
32256 31.5 -0.599009141815305 -0.566360715177749 -0.568585356511278
32768 32 -0.57996723404908 -0.543750834957753 -0.573459177861723
33280 32.5 -0.626794597393776 -0.588380268865324 -0.553911290502093
33792 33 -0.685276139957821 -0.636427445886362 -0.605751202680045
34304 33.5 -0.73174238549381 -0.691171209734134 -0.65184634941883
34816 34 -0.756962365775826 -0.740182801015925 -0.689029031558002
35328 34.5 -0.77080821824803 -0.76554668076319 -0.720442044027737
35840 35 -0.779213908013022 -0.762956248068452 -0.75164658403493
36352 35.5 -0.783857858118611 -0.782231552767309 -0.776105935195143
36864 36 -0.79820603924407 -0.796996929848174 -0.793146388265105
37376 36.5 -0.808114383412492 -0.807042606543863 -0.804563450737282
37888 37 -0.814611196282702 -0.81392407777101 -0.812392847687872
38400 37.5 -0.817604444241178 -0.816310329739789 -0.815890217513773
38912 38 -0.810237318043335 -0.809354365994159 -0.810616851445992
39424 38.5 -0.793372636668355 -0.799958889658975 -0.804684364694332
39936 39 -0.77256792592578 -0.779203520440778 -0.787433160122293
40448 39.5 -0.748582356153521 -0.754075211070861 -0.763830587364688
40960 40 -0.723429587684922 -0.727069037730201 -0.740014923579514
41472 40.5 -0.714776581479409 -0.715857272088524 -0.726145862969947
41984 41 -0.718875695234386 -0.712682322061123 -0.706528563308059
42496 41.5 -0.701598393318912 -0.706357036174959 -0.686822602781683
43008 42 -0.676953426667595 -0.685461739243672 -0.670095908566593
43520 42.5 -0.672436229604478 -0.659784384938912 -0.673946370228403
44032 43 -0.639868417701766 -0.638701174295665 -0.665836891693265
44544 43.5 -0.622127458038034 -0.620462457382244 -0.648512041980936
45056 44 -0.604272693510577 -0.601532766107919 -0.631319839809582
45568 44.5 -0.586118241138757 -0.5837722611803 -0.61436495796771
46080 45 -0.595645569425695 -0.566897833965856 -0.597195430099366
46592 45.5 -0.640339037198519 -0.594633222887309 -0.580256681004831
47104 46 -0.679910771528978 -0.639608706247147 -0.595046210348381
47616 46.5 -0.713398859738375 -0.68433881719873 -0.655381338112859
48128 47 -0.741369324023157 -0.718876119859957 -0.698183280621467
48640 47.5 -0.763483895853054 -0.745999329930755 -0.730118496364947
49152 48 -0.77986286617643 -0.765395615919168 -0.75374989175566
49664 48.5 -0.791615874818803 -0.780786402669982 -0.7722925893941
50176 49 -0.800059702737486 -0.792267912334451 -0.7863450680619
50688 49.5 -0.805110016862273 -0.799853361715411 -0.796982021935643
51200 50 -0.805029254476129 -0.805898346089092 -0.803453454515938
51712 50.5 -0.799711347953319 -0.809593402417753 -0.803889416335624
52224 51 -0.790189477199815 -0.805135790772057 -0.79887362323353
52736 51.5 -0.773743772562502 -0.79683374728923 -0.796898988888756
53248 52 -0.749872304525611 -0.785801606537495 -0.792501769560924
53760 52.5 -0.72451249723894 -0.770431869144395 -0.783852947731717
54272 53 -0.697992734370861 -0.74755765869744 -0.770068742277917
54784 53.5 -0.670383204238133 -0.721907523115985 -0.746293255909837
55296 54 -0.641847091023419 -0.695197151112065 -0.71975444417486
55808 54.5 -0.642338977602508 -0.667387770945477 -0.692139788481351
56320 55 -0.67765869057467 -0.662736853306385 -0.663299404878223
56832 55.5 -0.708310925309627 -0.695322608276777 -0.682834162515945
57344 56 -0.734090693326443 -0.723210251725598 -0.712639311707295
57856 56.5 -0.753915866540825 -0.745671165060732 -0.73746912647037
58368 57 -0.781702468226317 -0.763818405403415 -0.756893284680839
58880 57.5 -0.793234255774514 -0.777275390449198 -0.773057245465088
59392 58 -0.800645981096373 -0.787613793458783 -0.784271171143153
59904 58.5 -0.805123827999275 -0.795397816852906 -0.793243934252548
60416 59 -0.801749559744495 -0.800788037512647 -0.799575104348866
60928 59.5 -0.804602878189564 -0.804244647802904 -0.803726886292953
61440 60 -0.806071528278737 -0.806121106271794 -0.804682202999708
61952 60.5 -0.804891772240237 -0.802105197781491 -0.799143280316461
62464 61 -0.79566043251694 -0.793446953108542 -0.791361671283407
62976 61.5 -0.784832265031175 -0.784278523942064 -0.785814754667163
63488 62 -0.772629248362115 -0.773658341643308 -0.776543961106081
64000 62.5 -0.750300493889664 -0.76210705001068 -0.765988124876104
64512 63 -0.729060758018174 -0.74907476256062 -0.754848046155195
65024 63.5 -0.74981004094756 -0.765463323037464 -0.756297364978191
65536 64 -0.770473803020921 -0.779698216031744 -0.775020755810743
66048 64.5 -0.783030149323158 -0.787770281283587 -0.785845820441194
66560 65 -0.789216203158508 -0.791273653438649 -0.788548386909131
67072 65.5 -0.790470322915679 -0.786994615461199 -0.782823528528635
67584 66 -0.778771516005639 -0.780841975749106 -0.773425864378202
68096 66.5 -0.769077712547786 -0.769708862442846 -0.762354977405915
68608 67 -0.772705077724935 -0.757070193224475 -0.749431908636201
69120 67.5 -0.761957820294083 -0.740986550554154 -0.733577383387256
69632 68 -0.752923199480807 -0.749431671107829 -0.730476242975828
70144 68.5 -0.762526673638569 -0.759575150998752 -0.744417612399602
70656 69 -0.768744934271892 -0.766234977498253 -0.754397161928668
71168 69.5 -0.771296264755887 -0.7695240621207 -0.760851475574367
71680 70 -0.763637715274512 -0.765271433426749 -0.763980040381654
72192 70.5 -0.749330915536318 -0.764036434683858 -0.760582682336593
72704 71 -0.73169998783204 -0.754201840629397 -0.746337249418769
73216 71.5 -0.709922980732162 -0.738186991649426 -0.731258000060188
73728 72 -0.680333513738052 -0.719220794748782 -0.711862913256519
74240 72.5 -0.646676246133178 -0.697276624223653 -0.691694306688533
74752 73 -0.611527057726771 -0.673098038499763 -0.670841253654522
75264 73.5 -0.574433011953461 -0.642133565193558 -0.650096778149036
75776 74 -0.535500328465761 -0.605036489195729 -0.628626784721791
76288 74.5 -0.495451397170219 -0.566197668946832 -0.603100643422637
76800 75 -0.455065578669524 -0.525630016397371 -0.571487615618017
77312 75.5 -0.414605823948234 -0.483918709710358 -0.533026637399308
77824 76 -0.375017104759952 -0.44127770478078 -0.490062337021981
78336 76.5 -0.33831376093657 -0.397414922929407 -0.44434993083471
78848 77 -0.330608645815081 -0.354612514462181 -0.399239626494913
