# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00030854784614
1024 1 1.00024319554859
1536 1.5 1.00019142462791
2048 2 1.00032609828199
2560 2.5 1.00048848197038
3072 3 1.00067891360202
3584 3.5 1.00089929543923
4096 4 1.00115897929345
4608 4.5 1.00144573281891
5120 5 1.00176467814735
5632 5.5 1.00210689761872
6144 6 1.00246937805817
6656 6.5 1.00284826384689
7168 7 1.00324213468715
7680 7.5 1.00364895073798
8192 8 1.00406703314196
8704 8.5 1.00449456092684
9216 9 1.00492913383927
9728 9.5 1.00536922398608
10240 10 1.0058199567453
10752 10.5 1.00627556070375
11264 11 1.00673295872187
11776 11.5 1.00723369119716
12288 12 1.00804181609712
12800 12.5 1.00890534114376
13312 13 1.00982664673686
13824 13.5 1.01080652687327
14336 14 1.01184252827078
14848 14.5 1.01293451039104
15360 15 1.01408218494761
15872 15.5 1.01555260872219
16384 16 1.0174040853726
16896 16.5 1.01948186145321
17408 17 1.02178031499835
17920 17.5 1.02433649337255
18432 18 1.02733965245582
18944 18.5 1.03082529886909
19456 19 1.03482690753516
19968 19.5 1.03954983628718
20480 20 1.04516840681212
20992 20.5 1.05182231154891
21504 21 1.05974512278799
22016 21.5 1.06922585250203
22528 22 1.08065389443995
23040 22.5 1.09453661050666
23552 23 1.1114045491046
24064 23.5 1.13189614366717
24576 24 1.15684221108662
25088 24.5 1.18707360555655
25600 25 1.22297927894678
26112 25.5 1.25915875275542
26624 26 1.29694031469014
27136 26.5 1.33713036186222
27648 27 1.37888630983546
28160 27.5 1.42109910326933
28672 28 1.46165663249551
29184 28.5 1.49407792959482
29696 29 1.5001270235236
