# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000204383041441187
512 0.5 -0.000239992893219109
1024 1 -0.000232657023955038
1536 1.5 -0.000257564615387765
2048 2 -0.000270300840515898
2560 2.5 -0.00028058876760055
3072 3 -0.000296472792838441
3584 3.5 -0.00030168913694958
4096 4 -0.000316966460417879
4608 4.5 -0.000326649676068232
5120 5 -0.000345687344538432
5632 5.5 -0.000363150828144694
6144 6 -0.000387123828924003
6656 6.5 -0.000409479113754667
7168 7 -0.000427685208161921
7680 7.5 -0.000452443723014548
8192 8 -0.000481420785865548
8704 8.5 -0.000503664216247941
9216 9 -0.000525771833289251
9728 9.5 -0.000555329931994157
10240 10 -0.000584169786050899
10752 10.5 -0.000608625359328749
11264 11 -0.000632843438079284
11776 11.5 -0.000659791436523254
12288 12 -0.000690810523299025
12800 12.5 -0.00071132009558564
13312 13 -0.000730172643715131
13824 13.5 -0.000762557936777264
14336 14 -0.000790011833504254
14848 14.5 -0.000805944178056317
15360 15 -0.000823914468291905
15872 15.5 -0.000864663749240382
16384 16 -0.00087950982122939
16896 16.5 -0.000895175042623715
17408 17 -0.000929507833570172
17920 17.5 -0.000956151674833752
18432 18 -0.00096480700440608
18944 18.5 -0.000996150240902981
19456 19 -0.00102739906843325
19968 19.5 -0.00103792931506969
20480 20 -0.00106350318494013
20992 20.5 -0.0010942967983487
21504 21 -0.00110810395914642
22016 21.5 -0.00112862102221726
22528 22 -0.0011532441979018
23040 22.5 -0.00117265833442961
23552 23 -0.001181921040012
24064 23.5 -0.00120937242950717
24576 24 -0.00122820806957542
25088 24.5 -0.00123712316471081
25600 25 -0.00126587367312412
26112 25.5 -0.00128605077598516
26624 26 -0.00129204161516341
27136 26.5 -0.00131236607117558
27648 27 -0.00133309291157153
28160 27.5 -0.00134660727287345
28672 28 -0.00135552721850772
29184 28.5 -0.00137979289959903
29696 29 -0.0013950947555787
30208 29.5 -0.00140520728231
30720 30 -0.00156225448340165
31232 30.5 -0.00173514490381178
31744 31 -0.00192392822105825
32256 31.5 -0.00213002996168574
32768 32 -0.00234369195453801
33280 32.5 -0.00256582633466678
33792 33 -0.00278717623877053
34304 33.5 -0.00298813251158409
34816 34 -0.00317973275920738
35328 34.5 -0.00338307032746884
35840 35 -0.00373878320837469
36352 35.5 -0.00409828180683885
36864 36 -0.00445132109419495
37376 36.5 -0.00477469205391259
37888 37 -0.00507661259364119
38400 37.5 -0.00534152549877564
38912 38 -0.00556075066557208
39424 38.5 -0.00577678355210292
39936 39 -0.00595147876664476
40448 39.5 -0.00608387925030692
40960 40 -0.006261233330531
41472 40.5 -0.00648139845359176
41984 41 -0.00667802789200969
42496 41.5 -0.0069075606802251
43008 42 -0.00710873298279447
43520 42.5 -0.00732204406067431
44032 43 -0.00744852270612033
44544 43.5 -0.00762281502250707
45056 44 -0.00766743484401068
45568 44.5 -0.00772183157270329
46080 45 -0.00768798335321989
46592 45.5 -0.0076509019267817
47104 46 -0.0075991735985447
47616 46.5 -0.00756275450527277
48128 47 -0.0075172700790589
48640 47.5 -0.00750295288271873
49152 48 -0.00747338131482387
49664 48.5 -0.00746563548954354
50176 49 -0.00746176140251466
50688 49.5 -0.00746480299656153
51200 50 -0.00746014899837169
51712 50.5 -0.00747634470121932
52224 51 -0.00747592533178164
52736 51.5 -0.00748666081092688
53248 52 -0.00748924366419062
53760 52.5 -0.00750312172760869
54272 53 -0.00750788609000052
54784 53.5 -0.00750434720087966
55296 54 -0.00752188789035763
55808 54.5 -0.00752006292893661
56320 55 -0.00752305553861073
56832 55.5 -0.00753256434852539
57344 56 -0.00752250458811487
57856 56.5 -0.00753201738142545
58368 57 -0.00753724075419149
58880 57.5 -0.00753372605055757
59392 58 -0.0075391074838377
59904 58.5 -0.00753322635706666
60416 59 -0.00754836686107189
60928 59.5 -0.00755908384507478
61440 60 -0.00756459335313678
61952 60.5 -0.00757850112932954
62464 61 -0.00759494618613751
62976 61.5 -0.00761218583958428
63488 62 -0.00763518421235287
64000 62.5 -0.00765480096570702
64512 63 -0.00767329304272515
65024 63.5 -0.00769977552821073
65536 64 -0.00772158216502707
66048 64.5 -0.00774539315222768
66560 65 -0.00776715164688733
67072 65.5 -0.00779172353171673
67584 66 -0.00781969839471292
68096 66.5 -0.00784373007696654
68608 67 -0.007883055978678
69120 67.5 -0.00792408868143563
69632 68 -0.00796524205189147
70144 68.5 -0.00802268915904793
70656 69 -0.00808395509263543
71168 69.5 -0.00815507372604296
71680 70 -0.00822781122575913
72192 70.5 -0.00834124021456391
72704 71 -0.00863891952335784
73216 71.5 -0.00892453844486829
73728 72 -0.00918243533094262
