# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 7.2112156758353e-07
512 0.5 9.18518268370454e-06
1024 1 1.40376720209053e-05
1536 1.5 1.65095921473951e-05
2048 2 1.67959053274196e-05
2560 2.5 1.64954740761701e-05
3072 3 1.70920600140345e-05
3584 3.5 1.80142684067342e-05
4096 4 1.82355504118702e-05
4608 4.5 1.79526925941484e-05
5120 5 1.78794400971322e-05
5632 5.5 1.84993910294229e-05
6144 6 1.87708311238688e-05
6656 6.5 1.86672359923637e-05
7168 7 1.85705247703933e-05
7680 7.5 1.88538256482615e-05
8192 8 1.91495579643818e-05
8704 8.5 1.91236582821641e-05
9216 9 1.90547996042406e-05
9728 9.5 1.91738411452925e-05
10240 10 1.94854191970094e-05
10752 10.5 1.9472130099178e-05
11264 11 1.94565252790248e-05
11776 11.5 1.9495115635261e-05
12288 12 1.97153564549758e-05
12800 12.5 1.98053228830626e-05
13312 13 1.9806895398842e-05
13824 13.5 1.98323071785356e-05
14336 14 1.99469211359461e-05
14848 14.5 2.00334273457613e-05
15360 15 2.00372279753018e-05
15872 15.5 2.01457505669384e-05
16384 16 2.02636799817575e-05
16896 16.5 2.0342013822099e-05
17408 17 2.03427694170924e-05
17920 17.5 2.04087626200906e-05
18432 18 2.05319101093046e-05
18944 18.5 2.06722246753545e-05
19456 19 2.07009301010726e-05
19968 19.5 2.07494983034603e-05
20480 20 2.08170167029634e-05
20992 20.5 2.09701029439205e-05
21504 21 2.10589891476987e-05
22016 21.5 2.11348936513243e-05
22528 22 2.1197095584936e-05
23040 22.5 2.13023528408131e-05
23552 23 2.14254330084553e-05
24064 23.5 2.15582579867634e-05
24576 24 2.16457394846745e-05
25088 24.5 2.17119608992179e-05
25600 25 2.18448289709555e-05
26112 25.5 2.19842444441477e-05
26624 26 2.214783841653e-05
27136 26.5 2.22506920372589e-05
27648 27 2.24154746933651e-05
28160 27.5 2.25642648828219e-05
28672 28 2.27630320156617e-05
29184 28.5 2.29116025523498e-05
29696 29 2.30993251718874e-05
30208 29.5 2.33657677919355e-05
30720 30 2.36359400479996e-05
31232 30.5 2.39199823778979e-05
31744 31 2.41160786519019e-05
32256 31.5 2.44018864298196e-05
32768 32 2.47031242379784e-05
33280 32.5 2.5083923655524e-05
33792 33 2.54060544598078e-05
34304 33.5 2.57297853154493e-05
34816 34 2.60372743428187e-05
35328 34.5 2.63939871262331e-05
35840 35 2.67930022854523e-05
36352 35.5 2.72052841343121e-05
36864 36 2.76584937484643e-05
37376 36.5 2.80911168132621e-05
37888 37 2.85670148680429e-05
38400 37.5 2.89894840034664e-05
38912 38 2.94656753842483e-05
39424 38.5 2.98835639373582e-05
39936 39 3.02506647775537e-05
40448 39.5 3.05192702192455e-05
40960 40 3.0713729131011e-05
41472 40.5 3.08610118882463e-05
41984 41 3.0968793305347e-05
42496 41.5 3.10420035471206e-05
43008 42 3.10805122946404e-05
43520 42.5 3.12437080852794e-05
44032 43 3.14671453888697e-05
44544 43.5 3.16860419906706e-05
45056 44 3.19017735554878e-05
45568 44.5 3.21011396240517e-05
46080 45 3.22808665010342e-05
46592 45.5 3.24711064732101e-05
47104 46 3.26288159724621e-05
47616 46.5 3.28166913828005e-05
48128 47 3.30037758104933e-05
48640 47.5 3.31866023146341e-05
49152 48 3.33401860899856e-05
49664 48.5 3.34183688835356e-05
50176 49 3.35292863432115e-05
50688 49.5 3.36280676011921e-05
51200 50 3.37423029007615e-05
51712 50.5 3.38074215214884e-05
52224 51 3.39027530823856e-05
52736 51.5 3.40261291315757e-05
53248 52 3.41547123335153e-05
53760 52.5 3.42658371384276e-05
54272 53 3.43287449120285e-05
54784 53.5 3.44089534418532e-05
55296 54 3.44736151853087e-05
55808 54.5 3.45175079336128e-05
56320 55 3.4595200642606e-05
56832 55.5 3.46827344616628e-05
57344 56 3.47801265338951e-05
57856 56.5 3.48572794821815e-05
58368 57 3.49163208742044e-05
58880 57.5 3.50213167108653e-05
59392 58 3.51250065687559e-05
59904 58.5 3.52171898937103e-05
60416 59 3.52758613535828e-05
60928 59.5 3.53473226489364e-05
61440 60 3.54631816783769e-05
61952 60.5 3.55795793790981e-05
62464 61 3.56793942145785e-05
62976 61.5 3.57298867732412e-05
63488 62 3.5813766477242e-05
64000 62.5 3.59211844373763e-05
64512 63 3.60297937756371e-05
65024 63.5 3.60945695293006e-05
65536 64 3.61809457033555e-05
66048 64.5 3.62666146771196e-05
66560 65 3.63852834350219e-05
