# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.36011185600505e-05 1.36011188992988e-05 1.36011187686577e-05
1024 1 1.18218708181421e-05 1.18218690970609e-05 1.18218644436397e-05
1536 1.5 1.58050546835228e-05 1.58048065880987e-05 1.58041313242965e-05
2048 2 1.49629512437932e-05 1.49629512438052e-05 1.49629512438172e-05
2560 2.5 1.74887217821058e-05 1.74885784122206e-05 1.74883091198701e-05
3072 3 2.19641222583115e-05 2.19694596471895e-05 2.19586085493953e-05
3584 3.5 1.83570460629993e-05 1.83773236870186e-05 1.83791672266949e-05
4096 4 2.03354631049746e-05 2.03430615742911e-05 2.03463627147348e-05
4608 4.5 1.76260811210048e-05 1.76387076757195e-05 1.76465896523782e-05
5120 5 1.56275748891172e-05 1.56254043680755e-05 1.5624427113954e-05
5632 5.5 1.68767923665611e-05 1.68881686862041e-05 1.68974239070644e-05
6144 6 2.11764558814687e-05 2.11870755919798e-05 2.11941238140193e-05
6656 6.5 1.85854682672586e-05 1.85778827240598e-05 1.85772989757267e-05
7168 7 2.34579904916447e-05 2.34536902815005e-05 2.34485939773079e-05
7680 7.5 1.69481935445002e-05 1.69551848849801e-05 1.69610411210598e-05
8192 8 1.38351591893143e-05 1.3828837089902e-05 1.38082341446246e-05
8704 8.5 2.22595496179212e-05 2.22576539860546e-05 2.22565122441027e-05
9216 9 1.88763292966839e-05 1.8875840061919e-05 1.88714959528029e-05
9728 9.5 1.72657426481918e-05 1.72735260151424e-05 1.72797708506799e-05
10240 10 1.7295094820265e-05 1.72989349059854e-05 1.73025170813484e-05
10752 10.5 2.8078433893297e-05 2.80759436921826e-05 2.8071967941909e-05
11264 11 1.93923950580317e-05 1.93937247539531e-05 1.93947745038068e-05
11776 11.5 1.47595231304327e-05 1.47588977285728e-05 1.47582096096793e-05
12288 12 2.39600783602998e-05 2.39604862365835e-05 2.39605360889203e-05
12800 12.5 1.82358895101567e-05 1.82324553625846e-05 1.82317957712009e-05
13312 13 1.69625147462283e-05 1.69623997738407e-05 1.69569526602469e-05
13824 13.5 1.97295058190628e-05 1.97353306273285e-05 1.97390178649212e-05
14336 14 1.89232589238152e-05 1.89181069835246e-05 1.89147383929841e-05
14848 14.5 2.16470865990608e-05 2.16505265975568e-05 2.16535736769995e-05
15360 15 2.2116786887531e-05 2.21176883444843e-05 2.21183620583141e-05
15872 15.5 1.93719873053508e-05 1.93771473678452e-05 1.93824273812469e-05
16384 16 1.97192466713477e-05 1.97131767772589e-05 1.97103656659783e-05
16896 16.5 2.95376388056337e-05 2.95408565060097e-05 2.9543720138747e-05
17408 17 2.50848538958861e-05 2.508713123461e-05 2.50887356433596e-05
17920 17.5 2.28684683973716e-05 2.28695389623139e-05 2.2870131744442e-05
18432 18 2.18336860660953e-05 2.18373627096684e-05 2.1840651870107e-05
18944 18.5 2.23651468830828e-05 2.23604906164894e-05 2.23615409252557e-05
19456 19 2.51547229725375e-05 2.51557813008191e-05 2.51572763961339e-05
19968 19.5 3.65219576850781e-05 3.65197738769078e-05 3.65149095447995e-05
20480 20 3.13590682242006e-05 3.13555384268708e-05 3.13491788794514e-05
20992 20.5 3.05965642404899e-05 3.05912756667715e-05 3.06002326029645e-05
21504 21 2.92803380355563e-05 2.92788430490056e-05 2.92763666558467e-05
