# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -1.2449567940267e-05 -1.24495679232699e-05 -1.24495679054675e-05
1024 1 -1.14234329219713e-05 -1.14234398975883e-05 -1.14234173409785e-05
1536 1.5 -1.451510122434e-05 -1.45160728433308e-05 -1.45182324730441e-05
2048 2 -2.51419286750923e-05 -2.51345958916337e-05 -2.51354468211574e-05
2560 2.5 -2.87947453078979e-05 -2.87939217274733e-05 -2.8794868064422e-05
3072 3 -2.00478534597477e-05 -2.00561928808687e-05 -2.0061620793818e-05
3584 3.5 -1.92720111348027e-05 -1.92812563038117e-05 -1.92829508416018e-05
4096 4 -2.45862550133939e-05 -2.45909706998842e-05 -2.45930987313862e-05
4608 4.5 -1.6592498478384e-05 -1.65950710383746e-05 -1.65973538480353e-05
5120 5 -1.57986141794509e-05 -1.58065034547017e-05 -1.58105887622032e-05
5632 5.5 -2.02876665592049e-05 -2.02919441529694e-05 -2.02949440490126e-05
6144 6 -2.27705801908326e-05 -2.27700201740555e-05 -2.27690641278879e-05
6656 6.5 -1.38585595978369e-05 -1.38610412321091e-05 -1.38633249811643e-05
7168 7 -1.27111101574583e-05 -1.27110971318445e-05 -1.27110892210684e-05
7680 7.5 -1.08350962642624e-05 -1.08350747429906e-05 -1.08350714210642e-05
8192 8 -1.21646257144726e-05 -1.21667998146824e-05 -1.21686280652616e-05
8704 8.5 -1.22575504355825e-05 -1.22600988407566e-05 -1.22564106797164e-05
9216 9 -1.23588348136595e-05 -1.23587538445855e-05 -1.23587038352982e-05
9728 9.5 -1.53758654443473e-05 -1.53757199085864e-05 -1.53756489798503e-05
10240 10 -1.38618925593065e-05 -1.3863442158303e-05 -1.38647906992454e-05
10752 10.5 -1.26024852103584e-05 -1.2596684354366e-05 -1.25946704963956e-05
11264 11 -1.20120437019161e-05 -1.20126971169045e-05 -1.20132091822595e-05
11776 11.5 -1.53867287486e-05 -1.53875942658502e-05 -1.53883037481525e-05
12288 12 -1.91539996127108e-05 -1.91542763074603e-05 -1.91545770363046e-05
12800 12.5 -1.34541075697537e-05 -1.34535299682069e-05 -1.34528109841547e-05
13312 13 -1.45798368601932e-05 -1.45798911686177e-05 -1.45801772913281e-05
13824 13.5 -1.95147046690999e-05 -1.95152873757758e-05 -1.95158893488241e-05
14336 14 -2.01162515572128e-05 -2.01173030900122e-05 -2.01180075588454e-05
14848 14.5 -1.93364971849365e-05 -1.93357468001038e-05 -1.93350492491632e-05
15360 15 -1.59989042843752e-05 -1.60032217809603e-05 -1.60067898564431e-05
15872 15.5 -1.17693781874383e-05 -1.17719914133347e-05 -1.17739950033406e-05
16384 16 -9.69650969513198e-06 -9.69293658081845e-06 -9.68985111456318e-06
16896 16.5 -1.04388030727829e-05 -1.0438566506514e-05 -1.04386613499804e-05
17408 17 -1.51740594174251e-05 -1.51757524205266e-05 -1.51773635399089e-05
17920 17.5 -1.87594542297783e-05 -1.87571702909851e-05 -1.87568177818026e-05
18432 18 -2.39911212532751e-05 -2.39831717168561e-05 -2.39790733273766e-05
18944 18.5 -1.53319150029884e-05 -1.53198305178729e-05 -1.53117247120121e-05
19456 19 -1.0190320983143e-05 -1.01878704160386e-05 -1.0186530633738e-05
19968 19.5 -1.30514005079365e-05 -1.30530722995211e-05 -1.30544612088472e-05
20480 20 -2.17368911487634e-05 -2.17398113352535e-05 -2.17424265830699e-05
20992 20.5 -2.91562315665032e-05 -2.91593844530666e-05 -2.91620155171639e-05
21504 21 -2.59287293048282e-05 -2.59288495009496e-05 -2.59286489254843e-05
22016 21.5 -1.68749066439723e-05 -1.6866337950209e-05 -1.68565908802173e-05
22528 22 -2.16424775467385e-05 -2.16440437504853e-05 -2.16448056674613e-05
23040 22.5 -2.14757405889266e-05 -2.14774402797039e-05 -2.14769306958147e-05
23552 23 -1.77421400955196e-05 -1.77820634027481e-05 -1.779846921876e-05
24064 23.5 -2.60588092936007e-05 -2.60617275935044e-05 -2.60634661350077e-05
24576 24 -2.50136253259634e-05 -2.5000644438624e-05 -2.49823526909356e-05
25088 24.5 -2.17052097391679e-05 -2.1713249619664e-05 -2.17984739350183e-05
25600 25 -1.5641290656885e-05 -1.56114050105075e-05 -1.55862096048373e-05
26112 25.5 -1.92272053349194e-05 -1.92286606405328e-05 -1.92298017306623e-05
