# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:53:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.53.24-502534
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 5.30641778460627e-07 5.3064594168306e-07 5.30650255990644e-07
1024 1 1.22678104405986e-06 1.22678053760512e-06 1.22678018530585e-06
1536 1.5 2.11028530935523e-06 2.11028644179073e-06 2.11028891288789e-06
2048 2 2.38010535239812e-06 2.3801065433984e-06 2.38010979760091e-06
2560 2.5 2.13596037407763e-06 2.13596061413233e-06 2.13596283112172e-06
3072 3 2.19749542791402e-06 2.19750250206969e-06 2.19750998530744e-06
3584 3.5 2.28409711478765e-06 2.28411299356876e-06 2.2841248114212e-06
4096 4 2.1769750366557e-06 2.1769842601356e-06 2.17699277907274e-06
4608 4.5 2.19129372838655e-06 2.1912950338176e-06 2.19129760884219e-06
5120 5 2.19545803991479e-06 2.19545855493112e-06 2.19545937868103e-06
5632 5.5 2.13074554467426e-06 2.13075034666352e-06 2.13075556477602e-06
6144 6 2.09426897644055e-06 2.09426685173387e-06 2.09426576690777e-06
6656 6.5 2.05929515044212e-06 2.05929002792777e-06 2.05928652806636e-06
7168 7 2.00462240673842e-06 2.00462139944587e-06 2.00462105407615e-06
7680 7.5 1.95167166355379e-06 1.95167554215622e-06 1.95167891472521e-06
8192 8 1.94082915197925e-06 1.94083257056114e-06 1.94083495163198e-06
8704 8.5 1.93924457545431e-06 1.93924744860651e-06 1.93924917282905e-06
9216 9 1.94813329816959e-06 1.94813788997129e-06 1.94814058556798e-06
9728 9.5 1.97473476635219e-06 1.97474255688875e-06 1.97474876406173e-06
