# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669862472313011
1024 1 0.669867579810387
1536 1.5 0.669873178862658
2048 2 0.669876069062586
2560 2.5 0.66987806073377
3072 3 0.669879377531882
3584 3.5 0.669878105086265
4096 4 0.669875263591591
4608 4.5 0.669872053964509
5120 5 0.669867107860021
5632 5.5 0.66986079560775
6144 6 0.669855062854617
6656 6.5 0.66984810210235
7168 7 0.669833439767148
7680 7.5 0.669800620984035
8192 8 0.669740025940961
8704 8.5 0.669667686338836
9216 9 0.669639807475618
9728 9.5 0.669672522731804
10240 10 0.669662951304377
10752 10.5 0.669562723504794
11264 11 0.669513823624573
11776 11.5 0.669565913853043
12288 12 0.669573068715454
12800 12.5 0.669519404041105
13312 13 0.669517635002623
13824 13.5 0.669528653545837
14336 14 0.669500261661983
14848 14.5 0.669498079076149
15360 15 0.6695056770419
15872 15.5 0.669472302683724
16384 16 0.669467098864663
16896 16.5 0.669481479057048
17408 17 0.669447368941942
17920 17.5 0.669449959555966
18432 18 0.669457897993232
18944 18.5 0.669430254012551
19456 19 0.669438630012255
19968 19.5 0.669439263356869
20480 20 0.669409141709134
20992 20.5 0.669408875094171
21504 21 0.669433623166606
22016 21.5 0.669462218091281
22528 22 0.669544231490815
23040 22.5 0.669635131446171
23552 23 0.669733606389913
24064 23.5 0.669885383484489
24576 24 0.670015652880727
25088 24.5 0.670086198803595
25600 25 0.670142915547121
26112 25.5 0.670231026547918
26624 26 0.670336554512783
27136 26.5 0.67039566179488
27648 27 0.670440129536055
28160 27.5 0.670528960602092
28672 28 0.670604503366003
29184 28.5 0.670640127857803
29696 29 0.670682745974717
30208 29.5 0.670734648878053
30720 30 0.670776786980436
31232 30.5 0.670803094592607
31744 31 0.670804374432845
32256 31.5 0.67079623264096
32768 32 0.670805368394228
33280 32.5 0.670824424017489
33792 33 0.670823756128287
34304 33.5 0.670801686631868
34816 34 0.670789496760869
35328 34.5 0.670797254546647
35840 35 0.670800731703715
36352 35.5 0.670787551996629
36864 36 0.670763350318357
37376 36.5 0.670737183244366
37888 37 0.670721404434544
38400 37.5 0.670716335288398
38912 38 0.670707896956547
39424 38.5 0.670696611650453
39936 39 0.6706855396129
40448 39.5 0.670664158883434
40960 40 0.670636479526719
41472 40.5 0.670610348099132
41984 41 0.670593183248964
42496 41.5 0.670575648595089
43008 42 0.670537947755359
43520 42.5 0.670498847738348
44032 43 0.670473311667189
44544 43.5 0.670446287135839
45056 44 0.670403264024701
45568 44.5 0.67035517269519
46080 45 0.670331635230757
46592 45.5 0.670311398795506
47104 46 0.670255964157502
47616 46.5 0.670204049488029
48128 47 0.670189149489279
48640 47.5 0.670159110865966
49152 48 0.670092560495145
49664 48.5 0.670040335745499
50176 49 0.670011317013338
50688 49.5 0.669951060799913
51200 50 0.669876416627746
51712 50.5 0.66983566387968
52224 51 0.669778157754457
52736 51.5 0.669701019484013
53248 52 0.669636217862119
53760 52.5 0.669547022599835
54272 53 0.669447745762201
54784 53.5 0.669369333366225
55296 54 0.669281918030879
55808 54.5 0.66919345942937
56320 55 0.669105575862989
56832 55.5 0.668996407393155
57344 56 0.668891534136406
57856 56.5 0.668785499392832
58368 57 0.668666713093308
58880 57.5 0.668556680060033
59392 58 0.668438273564547
59904 58.5 0.668300923213181
60416 59 0.668164394022787
60928 59.5 0.668054968628882
61440 60 0.667917753541738
61952 60.5 0.667758577965842
62464 61 0.667603976278098
62976 61.5 0.667476191563625
63488 62 0.667262502989817
64000 62.5 0.666933936426882
64512 63 0.66675094404347
65024 63.5 0.666797151619132
65536 64 0.666696436096309
66048 64.5 0.666388513160162
66560 65 0.666245526179098
67072 65.5 0.666095023774385
67584 66 0.665897369958475
68096 66.5 0.665779276075333
68608 67 0.665469922598692
69120 67.5 0.665262730721528
69632 68 0.665170199920668
70144 68.5 0.664849564343004
70656 69 0.664603348511944
71168 69.5 0.664517818977619
71680 70 0.664128748526393
72192 70.5 0.663995216866587
72704 71 0.663778209229866
73216 71.5 0.663434141760683
73728 72 0.663283085178836
74240 72.5 0.663001703203217
74752 73 0.662826215197356
75264 73.5 0.662527455607434
75776 74 0.662337486991725
76288 74.5 0.662171140655521
76800 75 0.661968825452466
77312 75.5 0.661779150443853
77824 76 0.66160388741854
78336 76.5 0.661422781256688
78848 77 0.661269318639275
79360 77.5 0.661138131001159
79872 78 0.660952097011864
80384 78.5 0.660825054491998
80896 79 0.66070241130592
81408 79.5 0.660559266588729
81920 80 0.660431867572261
82432 80.5 0.660298209887281
82944 81 0.660176623329732
83456 81.5 0.660066915296805
83968 82 0.659916090641601
84480 82.5 0.659769933036072
84992 83 0.659665807588528
85504 83.5 0.659545551649335
86016 84 0.65937905895522
86528 84.5 0.659206914772547
87040 85 0.659105207569006
87552 85.5 0.658977535577808
88064 86 0.658811136217819
88576 86.5 0.658688562682328
89088 87 0.658580756970639
89600 87.5 0.658394332832404
90112 88 0.658210328235845
90624 88.5 0.657953449485084
91136 89 0.657314992081512
91648 89.5 0.655715022388114
92160 90 0.653960029109629
92672 90.5 0.653979179932301
93184 91 0.654394479071632
93696 91.5 0.653668901112298
94208 92 0.654005622582463
94720 92.5 0.654207679625508
95232 93 0.652938392938303
95744 93.5 0.653342173287571
96256 94 0.653692824324116
96768 94.5 0.652699541704818
97280 95 0.652558603540877
97792 95.5 0.652400814073051
98304 96 0.651960832898048
98816 96.5 0.652408779574082
99328 97 0.65113210238792
99840 97.5 0.650490852327417
100352 98 0.651044653543321
100864 98.5 0.650427064701502
101376 99 0.649341200506348
101888 99.5 0.648744794396206
102400 100 0.649193348647509
102912 100.5 0.647587572372333
103424 101 0.64698864548705
103936 101.5 0.635061061746758
104448 102 0.607740442719209
104960 102.5 0.577303843952748
105472 103 0.543832273748223
105984 103.5 0.508066219520354
106496 104 0.471206657578595
107008 104.5 0.433914651920791
107520 105 0.396241341660753
108032 105.5 0.357326357341653
108544 106 0.330715118619638
109056 106.5 0.303985443586589
109568 107 0.278219231479125
110080 107.5 0.245952384581507
110592 108 0.220139819954791
111104 108.5 0.184118410941961
111616 109 0.147767530155008
112128 109.5 0.118654540118191
112640 110 0.0774700110921664
113152 110.5 0
113664 111 0
114176 111.5 0
114688 112 0
