# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 8.38765086938488e-07 8.38765677915399e-07 8.38766348836935e-07
1024 1 3.25576884699748e-06 3.25578182839603e-06 3.25581556683587e-06
1536 1.5 4.59824085804054e-06 4.59837685180885e-06 4.59855776829367e-06
2048 2 5.21607519226618e-06 5.22266136185614e-06 5.22704575738212e-06
2560 2.5 6.34714270618895e-06 6.35947893441451e-06 6.36960893722733e-06
3072 3 5.88851120380665e-06 5.88851120380665e-06 5.88851120380664e-06
3584 3.5 6.57217175916303e-06 6.57217175916302e-06 6.57217175916301e-06
4096 4 6.75065868946335e-06 6.75065868946342e-06 6.75065868946355e-06
4608 4.5 7.09912097825614e-06 7.09912097825776e-06 7.09912097826094e-06
5120 5 7.21469223451409e-06 7.21469223455898e-06 7.21469223445659e-06
5632 5.5 7.20118076154244e-06 7.20118076134096e-06 7.20118076058654e-06
6144 6 7.44423906746888e-06 7.44423906539454e-06 7.44423908104498e-06
6656 6.5 7.22488616022446e-06 7.2248863350457e-06 7.22488633948453e-06
7168 7 7.49735114293599e-06 7.49735085233176e-06 7.4973494410279e-06
7680 7.5 7.62592045667997e-06 7.62526868621154e-06 7.62385550029477e-06
8192 8 1.06501620528949e-05 1.06448659558759e-05 1.06391802328223e-05
8704 8.5 1.38165654097321e-05 1.38153904268515e-05 1.38136727255622e-05
9216 9 1.4270762670801e-05 1.4265267825717e-05 1.42591614021849e-05
9728 9.5 1.84180382445726e-05 1.84122246909586e-05 1.84061118307858e-05
10240 10 1.60129607519794e-05 1.60068906428859e-05 1.6000388404038e-05
10752 10.5 1.83409865426491e-05 1.83323344100569e-05 1.8323721575926e-05
11264 11 1.66651627813665e-05 1.66574215700586e-05 1.66499680884356e-05
11776 11.5 1.50884689337299e-05 1.50833703583179e-05 1.50772948153953e-05
12288 12 1.64368463831069e-05 1.64309058041244e-05 1.6424227719865e-05
12800 12.5 1.64558520177564e-05 1.64480289418369e-05 1.64398504633435e-05
13312 13 1.61026660225787e-05 1.60994779163991e-05 1.60959796297202e-05
13824 13.5 1.44591855987061e-05 1.44553476854458e-05 1.44517071675295e-05
