# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -1.26080309513881e-06 -1.26126653575251e-06 -1.26125039080878e-06
1024 1 -3.63492816435889e-06 -3.63492959394737e-06 -3.63492983485356e-06
1536 1.5 -5.91972648450947e-06 -5.91973060210837e-06 -5.91973571701335e-06
2048 2 -5.56440611660473e-06 -5.56440460064491e-06 -5.5644103502663e-06
2560 2.5 -6.11434768677734e-06 -6.11434620093417e-06 -6.1143517105632e-06
3072 3 -9.34456843642653e-06 -9.33857424104369e-06 -9.33231564777047e-06
3584 3.5 -1.14482839388764e-05 -1.14388559834855e-05 -1.14284431443925e-05
4096 4 -1.08767977113238e-05 -1.08639147669032e-05 -1.08492641321291e-05
4608 4.5 -1.21142650704671e-05 -1.20967092694019e-05 -1.20769886557082e-05
5120 5 -1.53578653421205e-05 -1.53333899889433e-05 -1.53063406746488e-05
5632 5.5 -1.8043638372526e-05 -1.80104210975521e-05 -1.79737850911387e-05
6144 6 -1.93873302158649e-05 -1.9344784836593e-05 -1.92966143063192e-05
6656 6.5 -2.05183562807772e-05 -2.04668032767896e-05 -2.04055286825985e-05
7168 7 -2.24322803113964e-05 -2.23726018037309e-05 -2.22972414322606e-05
7680 7.5 -2.50253888581411e-05 -2.49591535038146e-05 -2.48701347842934e-05
8192 8 -2.72750068719493e-05 -2.72037248614271e-05 -2.71029315676551e-05
8704 8.5 -2.89641073309314e-05 -2.88883038454879e-05 -2.87771434518333e-05
