# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 8.91127586364746 0 0.248045206069946 0 8.72647523880005 0 0 0 0 0 0 0 0 0 18.0071391569784 49068.0690382157 0 49068.0690382157 238 553859 2003 551856 0 0 0 0 8.9084095954895 1752356494.29651 399
512 0.5 1289.59967094464 1289.59967094464 10.3863499164581 1.39578199386597 1.64536166191101 0 8.74445819854736 7 350576.237657776 350576.237657776 489328 489328 206244.242485653 206244.242485653 287872 287872 29.7449204172934 64727.806916532 1593.52690958646 63134.2800069455 264 565982 14126 551856 0 0 0 0 10.3715453147888 1752356495.77159 1907
1024 1 1251.65627439413 1251.65627439413 11.8667569160461 2.87618899345398 3.0645854473114 0 8.83214330673218 14 340261.367464849 340261.367464849 978656 978656 200175.997234659 200175.997234659 575744 575744 40.6717821019068 66008.8254431061 1742.86538889763 64265.9600542084 398 586686 15534 571152 0 0 0 0 11.8402626514435 1752356497.25199 3415
1536 1.5 1258.5121387977 1258.5121387977 13.2813489437103 4.29078102111816 4.43502974510193 0 8.85183119773865 21 342125.126585334 342125.126585334 1467984 1467984 201272.448011095 201272.448011095 863616 863616 47.477373421713 66454.4187024676 1890.61683447179 64563.8018679958 424 588078 16926 571152 0 0 0 0 13.243307352066 1752356498.66658 4923
2048 2 1223.44925146909 1223.44925146909 14.8755688667297 5.88500094413757 5.87704682350159 0 9.06311726570129 28 332593.319623815 332593.319623815 1957312 1957312 195664.879399394 195664.879399394 1151488 1151488 66.8998750137014 112729.623278901 2018.10918645983 110711.514092442 684 1141359 18351 1123008 0 0 0 0 14.8246746063232 1752356500.2608 6431
2560 2.5 1203.91205745063 1214.55827748925 16.466197013855 7.47562909126282 7.39159202575684 0 9.08001017570496 35 327282.15513789 327282.15513789 2446640 2446640 192540.317668015 192540.317668015 1439360 1439360 77.7995296683391 125907.078214261 2154.25354884754 123752.824665414 710 1142756 19748 1123008 0 0 0 0 16.4042444229126 1752356501.85143 7939
3072 3 1184.68593865653 1208.41920183712 18.106908082962 9.11634016036987 8.96674489974976 0 9.16818881034851 42 322055.556106068 322055.556106068 2935968 2935968 189465.505851629 189465.505851629 1727232 1727232 87.9634185828001 126673.996600692 2296.34849830148 124377.64810239 844 1163486 21182 1142304 0 0 0 0 18.0330123901367 1752356503.49214 9447
3584 3.5 1194.14470345988 1203.92143410007 19.5420529842377 10.5514850616455 10.363153219223 0 9.18258452415466 49 324626.910808119 324626.910808119 3425296 3425296 190978.23559689 190978.23559689 2015104 2015104 94.3468195720751 126886.885118757 2437.98282723314 124448.902291524 870 1164883 22579 1142304 0 0 0 0 19.4568381309509 1752356504.92729 10955
4096 4 1199.05772347973 1202.27484840681 20.9999980926514 12.0094301700592 11.6895434856415 0 9.37082552909851 56 325962.509841606 325962.509841606 3914624 3914624 191763.969429754 191763.969429754 2302976 2302976 112.561635734839 170905.832976402 2558.30687172531 168347.526104676 1130 1718171 24011 1694160 0 0 0 0 20.9029748439789 1752356506.38523 12463
4608 4.5 1206.48804411103 1200.8876588662 22.4179699420929 13.4274020195007 13.0354449748993 0 9.38658976554871 63 327982.434249314 327982.434249314 4403952 4403952 192952.292352407 192952.292352407 2590848 2590848 122.781447854178 183252.376733539 2686.90998298942 180565.46675055 1156 1719571 25411 1694160 0 0 0 0 22.3096301555634 1752356507.80321 13971
