# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127858043316716
1024 1 0.00127718837244639
1536 1.5 0.00127598048421821
2048 2 0.00127505099322323
2560 2.5 0.00127444859934251
3072 3 0.00127417299128067
3584 3.5 0.00127419010638125
4096 4 0.00127444144034522
4608 4.5 0.00127485843807726
5120 5 0.00127537362975431
5632 5.5 0.00127592387546926
6144 6 0.00127645521059006
6656 6.5 0.00127692818438897
7168 7 0.00127731740439535
7680 7.5 0.00127761089247993
8192 8 0.00127781109028877
8704 8.5 0.00127793529086548
9216 9 0.00127800607045631
9728 9.5 0.00127804032963036
10240 10 0.00127805430740724
10752 10.5 0.0012780644616635
11264 11 0.00127807484493529
11776 11.5 0.00127809884204102
12288 12 0.00127815810391211
12800 12.5 0.00127823445126513
13312 13 0.00127830780954344
13824 13.5 0.00127840249391581
14336 14 0.00127851418071089
14848 14.5 0.00127860984094501
15360 15 0.00127870227118787
15872 15.5 0.00127880274014468
16384 16 0.0012788765843252
16896 16.5 0.0012789363529808
17408 17 0.00127900422429696
17920 17.5 0.00127903910822929
18432 18 0.0012790674626563
18944 18.5 0.00127910125437538
19456 19 0.00127910846738772
19968 19.5 0.00127911337204668
20480 20 0.00127912625528165
20992 20.5 0.00127913082778871
21504 21 0.0012791416237053
22016 21.5 0.0012791715147634
22528 22 0.00127919486838593
23040 22.5 0.00127922705319986
23552 23 0.00127926360688292
24064 23.5 0.00127927981344174
