# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0304570335962402 0.0304571235648788 0.0304571310494661
1024 1 0.0282260995416852 0.0282264743098837 0.0282266059102342
1536 1.5 0.0260620331496697 0.0260624316544094 0.0260629760871684
2048 2 0.0239684384684138 0.0239683927558946 0.0239694470783552
2560 2.5 0.0223046236614658 0.0222995118607275 0.0222957702206998
3072 3 0.0209958614095245 0.0209896162132663 0.0209851252846005
3584 3.5 0.0196943200497531 0.019687378995804 0.0196825147929028
4096 4 0.0184053299437838 0.018398272071895 0.0183934908803922
4608 4.5 0.0170610512223632 0.0170543870747027 0.0170499927719517
5120 5 0.0155149544503284 0.0155091665935589 0.0155052851759917
5632 5.5 0.0137699575235549 0.0137649301442375 0.0137614613018752
6144 6 0.0118895287756367 0.0118851424830419 0.0118819833385414
6656 6.5 0.00992002792833946 0.00991617140957508 0.00991322654871459
7168 7 0.00802513516037947 0.00802245209866121 0.00801935803801455
7680 7.5 0.00824550887632168 0.00824243808211252 0.00823886850619376
8192 8 0.00845039386193645 0.00844699439651428 0.00844296315968893
8704 8.5 0.00863944445584582 0.00863577652215174 0.00863127333624715
9216 9 0.00881248696284908 0.0088086074655792 0.00880360710776829
9728 9.5 0.00896696242851379 0.00896282777268242 0.00895726169384989
10240 10 0.00909862362954778 0.00909408086486019 0.00908786958803006
10752 10.5 0.00920588323100339 0.00920090368345468 0.00919404061955293
11264 11 0.00934448459875011 0.00933754539962199 0.00932193356630936
11776 11.5 0.00946350728164858 0.00945670639763831 0.0094399494084109
12288 12 0.0095547434875389 0.00954833893200913 0.0095305802485061
12800 12.5 0.00964835273755722 0.00963272767280281 0.00961243215954979
13312 13 0.0097208646520731 0.00970494784834858 0.00968529385196983
13824 13.5 0.00976966054662454 0.00975302279074611 0.00973418194874649
14336 14 0.00979108608520864 0.00977421042605825 0.00975639132347173
14848 14.5 0.00978169201246897 0.00976510019108007 0.00974854783059183
15360 15 0.00974362482775125 0.00972788469870138 0.00971286374132669
15872 15.5 0.00968871667945691 0.00967437504657431 0.00966119097127009
16384 16 0.00962528863055888 0.00961284615987868 0.00960175395173927
16896 16.5 0.00954462067080549 0.00953452457646611 0.00952567077486872
17408 17 0.00943846004768838 0.00943117197348623 0.00942463941077338
17920 17.5 0.00931230973254061 0.00930824841828521 0.00930413502930562
18432 18 0.00917344901152127 0.00917326046419539 0.00917170247767098
18944 18.5 0.00901927313799478 0.00902324802193375 0.00902501343354226
19456 19 0.00884654139498871 0.0088544847963613 0.00885986956824373
19968 19.5 0.0086623421967207 0.0086739944958923 0.00868279499762547
20480 20 0.00846621632641058 0.00848111191637895 0.00849301961755415
20992 20.5 0.00825373157403826 0.0082713523598865 0.00828592697423295
