# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00838752948822155 -0.00838884783699162 -0.0083875137504329
1024 1 -0.0112243709112866 -0.0112301619782063 -0.011218077201693
1536 1.5 -0.013982894792265 -0.0139913402056761 -0.0139777130797189
2048 2 -0.0175531432442432 -0.0175531433099044 -0.0175531413277742
2560 2.5 -0.0219219088202213 -0.0219219094782305 -0.0219219066059898
3072 3 -0.026285676775869 -0.0262856809098345 -0.0262856818613105
3584 3.5 -0.0306198270059819 -0.030619835031913 -0.0306198416394506
4096 4 -0.0349125470656552 -0.0349125579702111 -0.0349125691668424
4608 4.5 -0.0391421464577969 -0.0391421642977226 -0.0391421774256184
5120 5 -0.0432922870747102 -0.043292319689842 -0.0432923331228928
5632 5.5 -0.0473513120674909 -0.047351370908416 -0.0473513876238583
6144 6 -0.0513119511516145 -0.0513120460353624 -0.0513120814059546
6656 6.5 -0.055262095443689 -0.055262114665398 -0.0552621325915453
7168 7 -0.0593936773426295 -0.0593937065851201 -0.0593937334131726
7680 7.5 -0.0634375851825043 -0.0634376254515733 -0.0634376618429517
8192 8 -0.0673986178799367 -0.0673986685340265 -0.0673987144971505
8704 8.5 -0.071274836995443 -0.0712748974287488 -0.0712749539139883
9216 9 -0.0750564307795602 -0.0750564991015467 -0.075056565861288
9728 9.5 -0.0787388540239561 -0.0787389234877121 -0.0787389954475842
10240 10 -0.0823262530724812 -0.0823263121935046 -0.0823263794422708
10752 10.5 -0.0858216161165639 -0.0858216507662724 -0.0858216995198466
11264 11 -0.0892218403754596 -0.0892218327145194 -0.0892218436666685
11776 11.5 -0.0925241136650906 -0.0925240400393604 -0.092523986097906
12288 12 -0.0957314099276841 -0.095731239987697 -0.0957310847847827
12800 12.5 -0.0988484892163126 -0.0988481861084494 -0.0988478845335127
13312 13 -0.10187558625239 -0.101875108847428 -0.101874609133174
13824 13.5 -0.104810677303375 -0.104809983654317 -0.104809228785408
14336 14 -0.107656018147255 -0.107655065403506 -0.107653992268176
14848 14.5 -0.110417079909101 -0.110415825311871 -0.110414369212521
