# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00064338195368
1024 1 1.00055345214415
1536 1.5 1.00047345882164
2048 2 1.00040282634646
2560 2.5 1.00048933025733
3072 3 1.0006825580796
3584 3.5 1.0009152226671
4096 4 1.00117530407059
4608 4.5 1.0014613710897
5120 5 1.00177340574845
5632 5.5 1.00222676314623
6144 6 1.00277679697856
6656 6.5 1.00338959533599
7168 7 1.00405212546538
7680 7.5 1.00476172183959
8192 8 1.00551590887548
8704 8.5 1.00631274769237
9216 9 1.00711743427009
9728 9.5 1.00792821232155
10240 10 1.00869206291694
10752 10.5 1.00931583229313
11264 11 1.00989171287706
11776 11.5 1.01054529445029
12288 12 1.01178179778237
12800 12.5 1.01315012293741
13312 13 1.01467653145588
13824 13.5 1.01638532330716
14336 14 1.01831162435873
14848 14.5 1.02050258364603
15360 15 1.02299713155559
15872 15.5 1.02583425209712
16384 16 1.0290392214585
16896 16.5 1.03262509532759
17408 17 1.03662129112509
17920 17.5 1.04103956505095
18432 18 1.04594214008967
18944 18.5 1.05138785330962
19456 19 1.0574247789633
19968 19.5 1.06411522129292
20480 20 1.07152937373623
20992 20.5 1.07972134644685
21504 21 1.08868123755686
22016 21.5 1.09846902780393
22528 22 1.10926490764388
23040 22.5 1.12115697191691
23552 23 1.13408560689276
24064 23.5 1.14798868807691
24576 24 1.16277626366497
25088 24.5 1.17830857527134
25600 25 1.19439097489248
26112 25.5 1.2108227171887
26624 26 1.22741207975834
27136 26.5 1.24379789834881
27648 27 1.25963821963493
28160 27.5 1.27458962016695
28672 28 1.28831042908822
29184 28.5 1.30048967481232
29696 29 1.31090935184384
30208 29.5 1.31946888548998
30720 30 1.32612536909233
31232 30.5 1.33082450282442
31744 31 1.33362567671299
32256 31.5 1.33469366901613
32768 32 1.39350301146643
33280 32.5 1.5216076878145
33792 33 1.68508959656793
34304 33.5 1.87539983043735
34816 34 2.09126545831636
35328 34.5 2.3406149898852
35840 35 2.5965321403532
36352 35.5 2.99331280136339
36864 36 4.40705496243233
37376 36.5 6.08608543839192
37888 37 8.48584840769259
38400 37.5 20.5842590122444
38912 38 16.8674779724471
39424 38.5 17.1317535966014
39936 39 20.2243444676466
40448 39.5 21.2058554688795
40960 40 23.0033410635199
41472 40.5 63.4200131218728
41984 41 39.9986732711746
42496 41.5 29.3952456253066
43008 42 29.5326381511486
43520 42.5 33.69852910207
44032 43 35.2552761520893
44544 43.5 35.568029971818
45056 44 159.787023625869
45568 44.5 120.069218560531
46080 45 98.3855453019934
46592 45.5 84.4945978524608
47104 46 74.5403271757408
47616 46.5 66.8250709946488
48128 47 60.6243812950529
48640 47.5 55.4536887386833
49152 48 50.9733268027645
49664 48.5 46.9777899259883
50176 49 43.3447130398664
50688 49.5 39.9901798651956
51200 50 38.6631647928373
51712 50.5 38.4797499092616
52224 51 41.0570310362417
52736 51.5 40.0854428355018
53248 52 41.6773008654133
53760 52.5 42.5786976474599
54272 53 45.0373188017343
54784 53.5 45.7654881693631
55296 54 45.1024987621627
55808 54.5 44.0523388223041
56320 55 43.2900326187349
56832 55.5 41.5183314794693
57344 56 38.6626184141725
57856 56.5 35.3990859743184
58368 57 30.3356406052297
58880 57.5 27.5177177014284
59392 58 24.4620002944231
59904 58.5 24.128653204357
60416 59 23.2433204238739
60928 59.5 21.7993646157336
61440 60 19.9885071825475
61952 60.5 19.5960813961648
62464 61 19.7496425325155
62976 61.5 17.4614390355105
63488 62 16.5185263315726
64000 62.5 15.6937342262681
64512 63 15.3292729338292
65024 63.5 15.9841379633366
65536 64 19.527003714988
66048 64.5 23.478650125778
66560 65 26.1209555232349
67072 65.5 30.854222953202
67584 66 37.4174489344134
68096 66.5 48.3096177306118
68608 67 63.2637205984597
69120 67.5 74.4038528081811
69632 68 75.7085440599197
70144 68.5 79.0996122961084
70656 69 79.8406710587032
71168 69.5 80.5915558351425
71680 70 81.3506991029807
72192 70.5 81.4434648074534
72704 71 80.7136977084894
73216 71.5 83.8378562083684
73728 72 90.0840113378382
74240 72.5 95.0668070826638
74752 73 98.5771370819199
75264 73.5 101.231528448327
75776 74 103.072347157493
76288 74.5 103.958493612161
76800 75 103.839630992268
77312 75.5 102.830293747179
77824 76 100.844324343173
78336 76.5 98.0205750862155
78848 77 94.4847896687674
79360 77.5 90.4143637486429
79872 78 86.0728517673585
80384 78.5 81.2422791477978
80896 79 76.0883869739256
81408 79.5 69.8538415071537
81920 80 62.1230042802322
82432 80.5 59.4955786171155
82944 81 100.494830362164
83456 81.5 82.5765643775439
83968 82 83.4978755676833
84480 82.5 89.7497812828973
84992 83 113.676727622237
85504 83.5 113.185277889015
86016 84 112.341677001202
86528 84.5 107.463173577097
87040 85 128.984099784973
87552 85.5 116.341368523167
88064 86 117.651297900138
88576 86.5 118.991086467104
89088 87 130.648242295933
89600 87.5 143.398473130511
90112 88 156.473856970907
90624 88.5 169.368900057544
91136 89 186.289846307464
91648 89.5 202.62442325491
92160 90 217.746737060607
92672 90.5 233.368185945579
93184 91 249.793662471466
93696 91.5 267.280901481163
94208 92 285.646081780083
94720 92.5 304.695624153641
95232 93 308.330298400234
95744 93.5 314.572144006754
96256 94 323.536128606183
96768 94.5 822.024350850182
97280 95 828.266246729774
97792 95.5 834.63639181935
98304 96 1173.345497016
98816 96.5 1133.42669235411
99328 97 1147.74057396082
99840 97.5 1164.31700468109
100352 98 1180.79173921604
100864 98.5 1198.54170267013
101376 99 1218.03938018854
101888 99.5 1238.04296072354
102400 100 1258.61341018001
102912 100.5 1280.38240008692
103424 101 1304.14251061099
103936 101.5 1328.56056324821
104448 102 1353.66401843933
104960 102.5 1384.97134266514
105472 103 1413.09210922687
105984 103.5 1442.43864483994
106496 104 1473.1565736952
107008 104.5 1505.35857257163
107520 105 1539.4672785583
108032 105.5 1575.10656131027
108544 106 1612.58067489512
109056 106.5 1652.23072868967
109568 107 1695.1530473602
110080 107.5 1741.62533196043
110592 108 1791.19104038471
111104 108.5 1844.04505172792
111616 109 1899.7484457938
112128 109.5 1959.01266545186
112640 110 2479.75578198367
113152 110.5 -nan
113664 111 -nan
114176 111.5 -nan
114688 112 -nan
