# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1
1024 1 1
1536 1.5 1
2048 2 1
2560 2.5 1
3072 3 1
3584 3.5 1
4096 4 1
4608 4.5 1
5120 5 1
5632 5.5 1
6144 6 1
6656 6.5 1
7168 7 1
7680 7.5 1
8192 8 1
8704 8.5 1
9216 9 1
9728 9.5 1
10240 10 1
10752 10.5 1
11264 11 1
11776 11.5 1
12288 12 1
12800 12.5 1
13312 13 1
13824 13.5 1
14336 14 1
14848 14.5 1
15360 15 1
15872 15.5 1
16384 16 1
16896 16.5 1
17408 17 1
17920 17.5 1
18432 18 1
18944 18.5 1
19456 19 1
19968 19.5 1
20480 20 1
20992 20.5 1
21504 21 1
22016 21.5 1
22528 22 1
23040 22.5 1
23552 23 1
24064 23.5 1
24576 24 1
25088 24.5 1
25600 25 1
26112 25.5 1
26624 26 1
27136 26.5 1
27648 27 1
28160 27.5 1
28672 28 1
29184 28.5 1
29696 29 1
30208 29.5 1
30720 30 1
31232 30.5 1
31744 31 1
32256 31.5 1
32768 32 1
33280 32.5 1
33792 33 1
34304 33.5 1
34816 34 1
35328 34.5 1
35840 35 1
36352 35.5 1
36864 36 1
37376 36.5 1
37888 37 1
38400 37.5 1
38912 38 1
39424 38.5 1
39936 39 1
40448 39.5 1
40960 40 1
41472 40.5 1
41984 41 1
42496 41.5 1
43008 42 1
43520 42.5 1
44032 43 1
44544 43.5 1
45056 44 1
45568 44.5 1
46080 45 1
46592 45.5 1
47104 46 1
47616 46.5 1
48128 47 1
48640 47.5 1
49152 48 1
49664 48.5 1
50176 49 1
50688 49.5 1
51200 50 1
51712 50.5 1
52224 51 1
52736 51.5 1
53248 52 1
53760 52.5 1
54272 53 1
54784 53.5 1
55296 54 1
55808 54.5 1
56320 55 1
56832 55.5 1
57344 56 1
57856 56.5 1
58368 57 1
58880 57.5 1
59392 58 1
59904 58.5 1
60416 59 1
60928 59.5 1
61440 60 1
61952 60.5 1
62464 61 1
62976 61.5 1
63488 62 1
64000 62.5 1
64512 63 1
65024 63.5 1
65536 64 1
66048 64.5 1
66560 65 1
67072 65.5 1
67584 66 1
68096 66.5 1
68608 67 1
69120 67.5 1
69632 68 1
70144 68.5 1
70656 69 1
71168 69.5 1
71680 70 1
72192 70.5 1
72704 71 1
73216 71.5 1
73728 72 1
74240 72.5 1
74752 73 1
75264 73.5 1
75776 74 1
76288 74.5 1
76800 75 1
77312 75.5 1
77824 76 1
78336 76.5 1
78848 77 1
79360 77.5 1
79872 78 1
80384 78.5 1
80896 79 1
81408 79.5 1
81920 80 1
82432 80.5 1
82944 81 1
83456 81.5 1
83968 82 1
84480 82.5 1
84992 83 1
85504 83.5 1
86016 84 1
86528 84.5 1
87040 85 1
87552 85.5 1
88064 86 1
88576 86.5 1
89088 87 1
89600 87.5 1
90112 88 1
90624 88.5 1
91136 89 1
91648 89.5 1
92160 90 1
92672 90.5 1
93184 91 1
93696 91.5 1
94208 92 1
94720 92.5 1
95232 93 1
95744 93.5 1
96256 94 1
96768 94.5 1
97280 95 1
97792 95.5 1
98304 96 1
98816 96.5 1
99328 97 1
99840 97.5 1
100352 98 1
100864 98.5 1
101376 99 1
101888 99.5 1
102400 100 1
102912 100.5 1
103424 101 1
103936 101.5 1
104448 102 1
104960 102.5 1
105472 103 1
105984 103.5 1
106496 104 1
107008 104.5 1
107520 105 1
108032 105.5 1
108544 106 1
109056 106.5 1
109568 107 1
110080 107.5 1
110592 108 1
111104 108.5 1
111616 109 1
112128 109.5 1
112640 110 1
113152 110.5 -nan
113664 111 -nan
114176 111.5 -nan
114688 112 -nan
