# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000535684518303649
512 0.5 -0.000597833412841435
1024 1 -0.000578886386107795
1536 1.5 -0.000581345074912162
2048 2 -0.000574571749636642
2560 2.5 -0.000587646567828988
3072 3 -0.000585731854557864
3584 3.5 -0.000579803212815013
4096 4 -0.000591492561343383
4608 4.5 -0.000583882967122828
5120 5 -0.000596963945416655
5632 5.5 -0.000590554422311858
6144 6 -0.000595837103991729
6656 6.5 -0.00059613318688885
7168 7 -0.000600655266979334
7680 7.5 -0.000601800847023188
8192 8 -0.000604116306735799
8704 8.5 -0.000602906200412023
9216 9 -0.000607740079315494
9728 9.5 -0.000607761567274149
10240 10 -0.000613027948569212
10752 10.5 -0.000612186849316416
11264 11 -0.000624689040077537
11776 11.5 -0.00068856076516427
12288 12 -0.000691081459586147
12800 12.5 -0.000679894689010027
13312 13 -0.000755815417446179
13824 13.5 -0.000787131768988768
14336 14 -0.000741264683671221
14848 14.5 -0.000832970102233481
15360 15 -0.000850630914588843
15872 15.5 -0.000820268268505359
16384 16 -0.000899291534608051
16896 16.5 -0.000919616571831351
17408 17 -0.000907909855884355
17920 17.5 -0.000947324622020963
18432 18 -0.00100523182011861
18944 18.5 -0.000970570127273002
19456 19 -0.00102027593949369
19968 19.5 -0.00107491068991966
20480 20 -0.00104067471856522
20992 20.5 -0.00109735764619735
21504 21 -0.00112113916622177
22016 21.5 -0.00112145098265081
22528 22 -0.00115322686145201
23040 22.5 -0.00117851691551204
23552 23 -0.00118962453326555
24064 23.5 -0.00119276220798374
24576 24 -0.00123773289276426
25088 24.5 -0.00124496408504082
25600 25 -0.00125865987953299
26112 25.5 -0.00127725835269517
26624 26 -0.00130074127495262
27136 26.5 -0.00132072800432923
27648 27 -0.00131547888948483
28160 27.5 -0.00134309274472454
28672 28 -0.00137187326478183
29184 28.5 -0.00137016061978388
29696 29 -0.00138098536008721
30208 29.5 -0.00140949441529495
30720 30 -0.00141930226532616
31232 30.5 -0.00142467574873644
31744 31 -0.00144477131079155
32256 31.5 -0.00146037545167658
32768 32 -0.00146857548704296
33280 32.5 -0.0014830876812099
33792 33 -0.00149714208343716
34304 33.5 -0.00150735285637757
34816 34 -0.00155295393527268
35328 34.5 -0.00170498651045917
35840 35 -0.00194309234762642
36352 35.5 -0.00221113627759888
36864 36 -0.00251320255253328
37376 36.5 -0.00284952445971843
37888 37 -0.00317563647664974
38400 37.5 -0.00352648441411474
38912 38 -0.00378100445488278
39424 38.5 -0.00395462677778016
39936 39 -0.00408609443843326
40448 39.5 -0.00418112736889731
40960 40 -0.00427379608356758
41472 40.5 -0.00435708439782296
41984 41 -0.00440521302571678
42496 41.5 -0.00450063872718893
43008 42 -0.00452056755963082
43520 42.5 -0.00455765644015003
44032 43 -0.00454356169838232
44544 43.5 -0.00476184116622143
45056 44 -0.00524371810510575
45568 44.5 -0.0054607499059165
46080 45 -0.00571323439561317
46592 45.5 -0.00833215848417481
47104 46 -0.0101867002055884
47616 46.5 -0.0125603283215578
48128 47 -0.0147168356927557
48640 47.5 -0.0169514767697105
49152 48 -0.019113624078646
49664 48.5 -0.0214360668515026
50176 49 -0.023587150571723
50688 49.5 -0.0258765696995195
51200 50 -0.0281220221416447
51712 50.5 -0.0303783010075704
52224 51 -0.0326540861013755
52736 51.5 -0.0349444026771836
53248 52 -0.0372310648901276
53760 52.5 -0.0395316133451253
54272 53 -0.0418738709759565
54784 53.5 -0.0429738575847138
55296 54 -0.0416879819303063
55808 54.5 -0.0422752171206809
56320 55 -0.041002021025908
56832 55.5 -0.0411229462658089
57344 56 -0.0405313859410078
57856 56.5 -0.0402071444622197
58368 57 -0.0396425507819101
58880 57.5 -0.0396072162474196
59392 58 -0.0387148675513353
59904 58.5 -0.0388621871270332
60416 59 -0.0381152610335276
60928 59.5 -0.0379058686544294
61440 60 -0.0375287021952918
61952 60.5 -0.0371458324305149
62464 61 -0.0368321960831754
62976 61.5 -0.0364227357076493
63488 62 -0.0361923683090153
64000 62.5 -0.0357518606139818
64512 63 -0.035464460516397
65024 63.5 -0.0351853971925728
65536 64 -0.0347874169693886
66048 64.5 -0.0345238456287321
66560 65 -0.0342524543284474
67072 65.5 -0.0338825571810853
67584 66 -0.033630646773927
68096 66.5 -0.0333611934852929
68608 67 -0.0330112102146366
69120 67.5 -0.0327913379376342
69632 68 -0.0325158924089437
70144 68.5 -0.032225332351851
70656 69 -0.0319504437322045
71168 69.5 -0.0317759489687233
71680 70 -0.0313556230521792
72192 70.5 -0.0312725805811647
72704 71 -0.0309133790965758
73216 71.5 -0.0307342355728651
73728 72 -0.0304761085325551
74240 72.5 -0.0302251945698965
74752 73 -0.0299284510602566
75264 73.5 -0.0298342003479126
75776 74 -0.0295192974368383
76288 74.5 -0.0292075838118984
76800 75 -0.0291205754904122
77312 75.5 -0.0286559696003108
77824 76 -0.028926237729439
78336 76.5 -0.0284914685983922
78848 77 -0.0287045238022377
79360 77.5 -0.0284406345499892
79872 78 -0.0285240576091508
80384 78.5 -0.0283594845884304
80896 79 -0.0283424583744457
81408 79.5 -0.0373317496333267
81920 80 -0.0402648529935432
82432 80.5 -0.0399257617330806
82944 81 -0.416529468629027
83456 81.5 -0.526082756079808
83968 82 -0.460047913764234
84480 82.5 -0.533474659993086
84992 83 -0.580287479797997
85504 83.5 -0.72175042092974
86016 84 -0.853143967123635
86528 84.5 -0.985090840507876
87040 85 -1.1247485107995
87552 85.5 -1.25559296140156
88064 86 -1.40137981607787
88576 86.5 -1.53181254946917
89088 87 -1.68389994495284
89600 87.5 -1.82299889788967
90112 88 -1.97236963288287
90624 88.5 -2.12982983770428
91136 89 -2.27809493528066
91648 89.5 -2.44647443324093
92160 90 -2.61155992759666
92672 90.5 -2.78359512134714
93184 91 -2.96542571230282
93696 91.5 -3.15425511259494
94208 92 -3.35025250612289
94720 92.5 -3.55833814326346
95232 93 -3.77671964724824
95744 93.5 -4.00490866963437
96256 94 -4.43266689600804
96768 94.5 -4.92428993615597
97280 95 -5.48273829512375
97792 95.5 -6.11970600554761
98304 96 -6.84641695636844
98816 96.5 -7.68845305972934
99328 97 -8.65758331314667
99840 97.5 -9.79313675903324
100352 98 -11.1216146757941
100864 98.5 -12.7037748061841
101376 99 -14.5670562524244
101888 99.5 -16.8169934444407
102400 100 -19.5655514773792
102912 100.5 -22.8576383258384
103424 101 -26.8342955431686
103936 101.5 -31.553012561438
104448 102 -37.2042409226638
104960 102.5 -43.7775502487655
105472 103 -51.2133225239667
105984 103.5 -59.3449905807752
106496 104 -67.6266006109314
107008 104.5 -75.5898149765457
107520 105 -83.2459888769046
108032 105.5 -89.0215111549408
108544 106 -91.6380047693272
109056 106.5 -93.2697625924971
109568 107 -94.950958543485
110080 107.5 -98.9230562020659
110592 108 -106.908406757602
111104 108.5 -121.660973321333
111616 109 -147.080526175238
112128 109.5 -185.958759354975
112640 110 -291.162767317699
113152 110.5 -nan
113664 111 -nan
114176 111.5 -nan
114688 112 -nan
