# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.67413206221845e-06
512 0.5 1.12843441374487e-05
1024 1 1.62578974836011e-05
1536 1.5 1.8531911910728e-05
2048 2 1.87433078142276e-05
2560 2.5 1.84176881051118e-05
3072 3 1.90014965484367e-05
3584 3.5 1.99929949842831e-05
4096 4 2.01309428396258e-05
4608 4.5 1.98655968812289e-05
5120 5 1.98205611740217e-05
5632 5.5 2.04508097393886e-05
6144 6 2.07253271238019e-05
6656 6.5 2.06267083776217e-05
7168 7 2.05268026719903e-05
7680 7.5 2.08207592891139e-05
8192 8 2.11173331307179e-05
8704 8.5 2.11163585744473e-05
9216 9 2.10180859854536e-05
9728 9.5 2.11476965182061e-05
10240 10 2.15118423830471e-05
10752 10.5 2.1446943703828e-05
11264 11 2.14510777573118e-05
11776 11.5 2.15349010358903e-05
12288 12 2.17478594339225e-05
12800 12.5 2.18909730749856e-05
13312 13 2.18561879545221e-05
13824 13.5 2.18911672043192e-05
14336 14 2.20775676608428e-05
14848 14.5 2.2162726844028e-05
15360 15 2.2278701805817e-05
15872 15.5 2.2365854937621e-05
16384 16 2.24216092424094e-05
16896 16.5 2.25101363672638e-05
17408 17 2.25231399315549e-05
17920 17.5 2.26923872100071e-05
18432 18 2.28661400048355e-05
18944 18.5 2.29406764790859e-05
19456 19 2.29277925004934e-05
19968 19.5 2.2982684349798e-05
20480 20 2.31264303707195e-05
20992 20.5 2.33211986305865e-05
21504 21 2.34051265902369e-05
22016 21.5 2.34419070120396e-05
22528 22 2.3520935681262e-05
23040 22.5 2.36363169742896e-05
23552 23 2.37791562959774e-05
24064 23.5 2.39455309241136e-05
24576 24 2.39732714868988e-05
25088 24.5 2.4073456804716e-05
25600 25 2.4164623287887e-05
26112 25.5 2.43494792198595e-05
26624 26 2.45351040617345e-05
27136 26.5 2.45893979348443e-05
27648 27 2.46881659261833e-05
28160 27.5 2.47558805623881e-05
28672 28 2.49742010542e-05
29184 28.5 2.51198769394615e-05
29696 29 2.52856018908863e-05
30208 29.5 2.53640059883229e-05
30720 30 2.5461928466298e-05
31232 30.5 2.56910721598117e-05
31744 31 2.58457508513915e-05
32256 31.5 2.61260730551446e-05
32768 32 2.62366928154984e-05
33280 32.5 2.64170441416475e-05
33792 33 2.66102843923925e-05
34304 33.5 2.68399034916675e-05
34816 34 2.71233107172841e-05
35328 34.5 2.74103201313574e-05
35840 35 2.76701712557137e-05
36352 35.5 2.78881554994692e-05
36864 36 2.82052941340033e-05
37376 36.5 2.8492661411526e-05
37888 37 2.88520443359613e-05
38400 37.5 2.91198367287956e-05
38912 38 2.94362796411738e-05
39424 38.5 2.96336676748886e-05
39936 39 2.98703169549272e-05
40448 39.5 3.01509580442224e-05
40960 40 3.03482076703516e-05
41472 40.5 3.05534946160377e-05
41984 41 3.06826690121502e-05
42496 41.5 3.08607606035088e-05
43008 42 3.11061408896049e-05
43520 42.5 3.13204117246054e-05
44032 43 3.15134937915865e-05
44544 43.5 3.15894312900312e-05
45056 44 3.18020408362685e-05
45568 44.5 3.20072145790994e-05
46080 45 3.22591407926144e-05
46592 45.5 3.25725716899401e-05
47104 46 3.26446012767005e-05
47616 46.5 3.29201375030327e-05
48128 47 3.31523241743576e-05
48640 47.5 3.34848358860095e-05
49152 48 3.37911326695009e-05
49664 48.5 3.39875615413853e-05
50176 49 3.42523321872402e-05
50688 49.5 3.45128493753888e-05
51200 50 3.48306739908792e-05
51712 50.5 3.50885641706377e-05
52224 51 3.53999295358782e-05
52736 51.5 3.56612063054592e-05
53248 52 3.59432656796301e-05
53760 52.5 3.62541442274973e-05
54272 53 3.64925776767995e-05
54784 53.5 3.68774897466755e-05
55296 54 3.71597429186675e-05
55808 54.5 3.76749783743918e-05
56320 55 3.7905434309155e-05
56832 55.5 3.82022496381723e-05
57344 56 3.83314507404504e-05
57856 56.5 3.87274285740748e-05
58368 57 3.8934887959211e-05
58880 57.5 3.91391339109231e-05
59392 58 3.95970646342511e-05
59904 58.5 3.9797467402316e-05
60416 59 4.01122284369793e-05
60928 59.5 4.03047268267143e-05
61440 60 4.06526142995726e-05
61952 60.5 4.09090024340182e-05
62464 61 4.12322623985664e-05
62976 61.5 4.14854202094496e-05
63488 62 4.17733003638569e-05
64000 62.5 4.20432948704626e-05
64512 63 4.23202644537522e-05
65024 63.5 4.26039690040035e-05
65536 64 4.28185194260605e-05
66048 64.5 4.31121239443991e-05
66560 65 4.33609132907358e-05
67072 65.5 4.35972682464409e-05
67584 66 4.39181232234265e-05
68096 66.5 4.41224937764495e-05
68608 67 4.4380734123399e-05
69120 67.5 4.46819312107462e-05
69632 68 4.48602463132875e-05
70144 68.5 4.51869548625767e-05
70656 69 4.54731874540521e-05
71168 69.5 4.56342191270558e-05
71680 70 4.600623912706e-05
72192 70.5 4.61839437124678e-05
72704 71 4.65500789190967e-05
73216 71.5 4.68876938700283e-05
73728 72 4.70604302014077e-05
74240 72.5 4.74232315256532e-05
74752 73 4.7610991594369e-05
75264 73.5 4.80343650638278e-05
75776 74 4.83441425983672e-05
76288 74.5 4.87198629890779e-05
76800 75 4.8843798289074e-05
77312 75.5 4.92557939300571e-05
77824 76 4.95980292039596e-05
78336 76.5 4.99122383797524e-05
78848 77 5.0237487286465e-05
79360 77.5 5.05792264372815e-05
79872 78 5.08626853930231e-05
80384 78.5 5.12122147502e-05
80896 79 5.14525671645242e-05
81408 79.5 5.22826920748027e-05
81920 80 5.28421029126471e-05
82432 80.5 5.3799454087385e-05
82944 81 5.89733295865289e-05
83456 81.5 7.17248980887661e-05
83968 82 8.07751053647994e-05
84480 82.5 9.35203534660733e-05
84992 83 0.000103905072762436
85504 83.5 0.000116764323807349
86016 84 0.000128129443306891
86528 84.5 0.00013775824406398
87040 85 0.000150009855857506
87552 85.5 0.000161429454147964
88064 86 0.000173288533064382
88576 86.5 0.000186146367471527
89088 87 0.000198172672877303
89600 87.5 0.000211545228280061
90112 88 0.000224315168836551
90624 88.5 0.000238782258426692
91136 89 0.000252638489179163
91648 89.5 0.000267259184523819
92160 90 0.000282292354187877
92672 90.5 0.000298283301305639
93184 91 0.000314590719758209
93696 91.5 0.000332753120018099
94208 92 0.000350803463869223
94720 92.5 0.000370411966142995
95232 93 0.000390964576860604
95744 93.5 0.000413651224991605
96256 94 0.000436796194309173
96768 94.5 0.000462449693670813
97280 95 0.00049047343251731
97792 95.5 0.000520318758177719
98304 96 0.000556880061130125
98816 96.5 0.000593599049248974
99328 97 0.000637260950007085
99840 97.5 0.000684531369109801
100352 98 0.000738676150280657
100864 98.5 0.000802549234051209
101376 99 0.00087211609343827
101888 99.5 0.000953194892136853
102400 100 0.00104301726343306
102912 100.5 0.00114667535159303
103424 101 0.00126524067857367
103936 101.5 0.00139744148937257
104448 102 0.00154792820923865
104960 102.5 0.0017136360377974
105472 103 0.00189178845049639
105984 103.5 0.00207779556215887
106496 104 0.00226010094743508
107008 104.5 0.0024390321103619
107520 105 0.00259869000355144
108032 105.5 0.00280586713102853
108544 106 0.00303405674700371
109056 106.5 0.00326122015507153
109568 107 0.00361897317782958
110080 107.5 0.00391580995267518
110592 108 0.00412371939211515
111104 108.5 0.00479713063704096
111616 109 0.0060285295669767
112128 109.5 0.00709124526967604
112640 110 0.00917171511459808
113152 110.5 nan
113664 111 nan
114176 111.5 nan
114688 112 nan
