# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.19544015236767e-05 2.19543998037252e-05 2.19544055675042e-05
1024 1 3.08531054646981e-05 3.08542822129656e-05 3.08558828207234e-05
1536 1.5 4.70526319801571e-05 4.70519347857023e-05 4.70531637483072e-05
2048 2 4.48873559038202e-05 4.49013650173343e-05 4.49464212310959e-05
2560 2.5 3.08227273702487e-05 3.08116820552592e-05 3.07880825929151e-05
3072 3 4.32524904248423e-05 4.32651509114268e-05 4.32947868450345e-05
3584 3.5 4.76000270767659e-05 4.76014825422083e-05 4.76032196917419e-05
4096 4 4.15054102756129e-05 4.13921790618598e-05 4.12716976859958e-05
4608 4.5 4.48344858002917e-05 4.48356054311896e-05 4.48367537269613e-05
5120 5 4.82311401975941e-05 4.82312498082091e-05 4.82326554734656e-05
5632 5.5 3.60481939443467e-05 3.60487087915723e-05 3.60491404985017e-05
6144 6 4.40826689868846e-05 4.40821742589394e-05 4.40825257354275e-05
6656 6.5 3.4080852886461e-05 3.41319040137795e-05 3.41831498464966e-05
7168 7 3.48260193838701e-05 3.48371358047726e-05 3.48455974216931e-05
7680 7.5 4.536694378167e-05 4.54140869096868e-05 4.54540703978507e-05
8192 8 4.34103188722524e-05 4.34434768323214e-05 4.3469133608001e-05
8704 8.5 5.15797074792218e-05 5.16168415136534e-05 5.16434176360687e-05
9216 9 4.35640539551052e-05 4.35150682273425e-05 4.34719541744491e-05
