# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -3.61754071814896e-05 -3.61801599482573e-05 -3.61436268607136e-05
1024 1 -4.48872548947027e-05 -4.48946882918067e-05 -4.48855627923226e-05
1536 1.5 -4.94308188682615e-05 -4.94308356873162e-05 -4.94307901314878e-05
2048 2 -4.0850589913922e-05 -4.0858311846086e-05 -4.08588460871008e-05
2560 2.5 -4.16672333933226e-05 -4.16785536983499e-05 -4.16741811948093e-05
3072 3 -5.15780136066494e-05 -5.15620915078589e-05 -5.15399168461154e-05
3584 3.5 -5.07002774798061e-05 -5.06919063226492e-05 -5.06743521897284e-05
4096 4 -3.03100078441744e-05 -3.03172170854105e-05 -3.03240818446497e-05
4608 4.5 -3.44295700831416e-05 -3.44377821341126e-05 -3.44140332640601e-05
5120 5 -4.07890850735791e-05 -4.0831650363968e-05 -4.08098618220506e-05
5632 5.5 -4.23251411359213e-05 -4.2364329122908e-05 -4.24328833750904e-05
6144 6 -3.95802372702371e-05 -3.95943912893304e-05 -3.96099463835233e-05
6656 6.5 -4.62926270591702e-05 -4.62953280442952e-05 -4.6285648331247e-05
7168 7 -4.50031553477642e-05 -4.49926906202815e-05 -4.49809762262617e-05
7680 7.5 -5.44804354523548e-05 -5.4487843245266e-05 -5.44870532449346e-05
8192 8 -5.17503317137444e-05 -5.17951336594401e-05 -5.18428945564205e-05
8704 8.5 -6.97548781527397e-05 -6.97825639708443e-05 -6.98093602166494e-05
9216 9 -5.76907724638859e-05 -5.76970305251178e-05 -5.76955916857588e-05
9728 9.5 -5.13412619311014e-05 -5.1418819223497e-05 -5.15011053097824e-05
10240 10 -6.92390143239442e-05 -6.92966609910196e-05 -6.93535474829118e-05
10752 10.5 -6.97199115264278e-05 -6.97848247012665e-05 -6.98322277196573e-05
11264 11 -5.58568534699078e-05 -5.5922547641779e-05 -5.59734319350599e-05
11776 11.5 -6.09670521781015e-05 -6.09786414044279e-05 -6.09760799278044e-05
12288 12 -7.30577367544958e-05 -7.31173976228362e-05 -7.31427195717103e-05
12800 12.5 -5.89182316369006e-05 -5.89250546054492e-05 -5.88995433963435e-05
13312 13 -5.68492610529801e-05 -5.68929633176284e-05 -5.68989508358607e-05
13824 13.5 -4.661797863717e-05 -4.66300334849419e-05 -4.66295236113523e-05
14336 14 -3.94512690455887e-05 -3.94796528304424e-05 -3.94707796668206e-05
14848 14.5 -6.1835470026818e-05 -6.18325253789048e-05 -6.18196486152283e-05
15360 15 -5.64951742244587e-05 -5.6518192915432e-05 -5.65140006756105e-05
15872 15.5 -6.42045600694098e-05 -6.42286010480598e-05 -6.42347812168823e-05
