# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:41:34+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.41.24-497199
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.24940734376392e-06 1.24949194898519e-06 1.24955875677912e-06
1024 1 1.95122901516133e-06 1.95142959967049e-06 1.9516269974941e-06
1536 1.5 2.60522872955187e-06 2.60517968079106e-06 2.60520037109988e-06
2048 2 2.87197420198624e-06 2.87183550540797e-06 2.87182471534725e-06
2560 2.5 2.70612588808426e-06 2.70603479029758e-06 2.70597302645843e-06
3072 3 2.94170530929852e-06 2.94181296299621e-06 2.94189966190468e-06
3584 3.5 2.91735574113854e-06 2.91752743799414e-06 2.91771294865631e-06
4096 4 2.79906563017156e-06 2.7991553793587e-06 2.79927475722317e-06
4608 4.5 2.8001208034649e-06 2.80009612942846e-06 2.80011016807303e-06
5120 5 2.77705422253028e-06 2.77693943218811e-06 2.7768428899399e-06
5632 5.5 2.72431245873975e-06 2.72420246457277e-06 2.72410032555519e-06
6144 6 2.70461374964202e-06 2.70460488811358e-06 2.70464295557767e-06
6656 6.5 2.65195362585197e-06 2.65210294329346e-06 2.65225971700041e-06
7168 7 2.5844514208968e-06 2.58460991647693e-06 2.58479359907275e-06
7680 7.5 2.56767583014649e-06 2.56774916428784e-06 2.56786117767011e-06
8192 8 2.54842980056342e-06 2.54852178784112e-06 2.54858149527153e-06
8704 8.5 2.55657264260141e-06 2.5567337814693e-06 2.55690020556209e-06
9216 9 2.52811293623933e-06 2.52816504734945e-06 2.52829653252777e-06
9728 9.5 2.56234248260757e-06 2.56231582295332e-06 2.56237700959148e-06
10240 10 2.63950146648731e-06 2.63955347959255e-06 2.63962366896188e-06
10752 10.5 2.66292527895825e-06 2.66302024288373e-06 2.66309589490922e-06
11264 11 2.70573867801786e-06 2.70581976572987e-06 2.70596485079077e-06
11776 11.5 2.81150595936528e-06 2.81160741013189e-06 2.81177204836645e-06
12288 12 2.78601597945582e-06 2.78609838237413e-06 2.78624042384055e-06
12800 12.5 2.53494726654369e-06 2.53500670688946e-06 2.53512292219595e-06
13312 13 2.5210907130682e-06 2.52117851856435e-06 2.52134840949985e-06
13824 13.5 2.70766494276187e-06 2.70785240745326e-06 2.70814593596814e-06
14336 14 2.64028874618448e-06 2.64050643294425e-06 2.64080266859454e-06
14848 14.5 2.53006977767933e-06 2.53027674056161e-06 2.53048155163205e-06
15360 15 2.49051283374841e-06 2.49073439236668e-06 2.49091794383857e-06
15872 15.5 2.53889694547471e-06 2.53903921387142e-06 2.53924351988061e-06
16384 16 2.54837879774506e-06 2.54843699432897e-06 2.54860689680131e-06
16896 16.5 2.60426724019471e-06 2.60446714638362e-06 2.60462908017343e-06
17408 17 2.63514471604512e-06 2.63540057719841e-06 2.63554528528754e-06
17920 17.5 2.60005439265471e-06 2.60017523185189e-06 2.60017430637972e-06
18432 18 2.59699091538729e-06 2.59728861772953e-06 2.59745503229752e-06
18944 18.5 2.55977352564314e-06 2.56020419289375e-06 2.56048740368344e-06
19456 19 2.55062332103184e-06 2.55081622766856e-06 2.55097615356661e-06
19968 19.5 2.66142663257667e-06 2.66145674967615e-06 2.66146928376739e-06
20480 20 2.63241028728339e-06 2.63247914910264e-06 2.6324927854701e-06
20992 20.5 2.51320085817846e-06 2.51332475295589e-06 2.51329484270643e-06
