# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.5 0.966884141513851
1024 1 0.966891919746972
1536 1.5 0.966899267429123
2048 2 0.96690729298555
2560 2.5 0.966915662729129
3072 3 0.966924064392414
3584 3.5 0.966932585276906
4096 4 0.96694128440886
4608 4.5 0.966950141093017
5120 5 0.966959130753755
5632 5.5 0.966968260804103
6144 6 0.96697755502245
6656 6.5 0.966987009618371
7168 7 0.966996606245822
7680 7.5 0.967006347837615
8192 8 0.967016245734971
8704 8.5 0.967026296690252
9216 9 0.967036492282801
9728 9.5 0.967046832626872
10240 10 0.967057322185159
10752 10.5 0.96706795969734
11264 11 0.96707873875911
11776 11.5 0.967089656905442
12288 12 0.967100715711179
12800 12.5 0.967111912726231
13312 13 0.96712324163886
13824 13.5 0.96713469854381
14336 14 0.967146281798572
14848 14.5 0.967157987388711
15360 15 0.967169808485288
15872 15.5 0.967181739005742
16384 16 0.967193774542702
16896 16.5 0.967205909229582
17408 17 0.967218134628269
17920 17.5 0.967230442498377
18432 18 0.967242825748161
18944 18.5 0.967255276109984
19456 19 0.967267783295785
19968 19.5 0.967280336811313
20480 20 0.967292926844924
20992 20.5 0.967305542861444
21504 21 0.967318172636954
22016 21.5 0.967330803493757
22528 22 0.967343423697589
23040 22.5 0.967356022330535
23552 23 0.967368587852024
24064 23.5 0.967381103264923
24576 24 0.967393537923845
25088 24.5 0.967405844847917
25600 25 0.967417958919039
26112 25.5 0.967429757878859
26624 26 0.967440997170126
27136 26.5 0.967451386468464
27648 27 0.967460933704805
28160 27.5 0.967470223988779
28672 28 0.967480092138351
29184 28.5 0.967490956069732
29696 29 0.967502831536794
30208 29.5 0.96751602843332
30720 30 0.967531180940285
31232 30.5 0.96754846698412
31744 31 0.967567668958137
32256 31.5 0.967589133293934
32768 32 0.967613612627356
33280 32.5 0.967641135189289
33792 33 0.967671035521521
34304 33.5 0.967702644610623
34816 34 0.967735106423197
35328 34.5 0.967767673909331
35840 35 0.96780065825746
36352 35.5 0.967834192707902
36864 36 0.967866252170337
37376 36.5 0.967894453213622
37888 37 0.96791902890207
38400 37.5 0.967941403700169
38912 38 0.967961204845164
39424 38.5 0.967977013601218
39936 39 0.967988631605916
40448 39.5 0.967996978071665
40960 40 0.968002744232391
41472 40.5 0.968005972424698
41984 41 0.968006702840339
42496 41.5 0.968005759789079
43008 42 0.968004361686481
43520 42.5 0.968002968726721
44032 43 0.968001505861244
44544 43.5 0.968000475170759
45056 44 0.968000494653129
45568 44.5 0.968001242287769
46080 45 0.968002212394298
46592 45.5 0.968003633866364
47104 46 0.9680055046952
47616 46.5 0.96800703015645
48128 47 0.968007897842767
48640 47.5 0.968008696572745
49152 48 0.968009680538862
49664 48.5 0.968010443180894
