# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 9.42366909980774 0 0.699535369873047 0 8.78889322280884 0 0 0 0 0 0 0 0 0 17.8814315356864 48725.525440012 0 48725.525440012 238 553859 2003 551856 0 0 0 0 9.42059636116028 1752354675.37607 399
512 0.5 1219.05391789599 1219.05391789599 10.979523897171 1.47655487060547 2.17785406112671 0 8.80539989471436 7 331398.453075671 331398.453075671 489328 489328 194961.938584752 194961.938584752 287872 287872 29.539849238068 64281.4386973503 1582.42700072235 62699.011696628 264 565981 14125 551856 0 0 0 0 10.9642286300659 1752354676.93192 1907
1024 1 1266.22345684541 1266.22345684541 12.3460690975189 2.84310007095337 3.48148345947266 0 8.89103889465332 14 344221.439828472 344221.439828472 978656 978656 202505.710538334 202505.710538334 575744 575744 40.385418407318 65543.6163317449 1730.14291093027 63813.4734208146 398 586682 15530 571152 0 0 0 0 12.3191471099854 1752354678.29847 3415
1536 1.5 1253.28231796267 1253.28231796267 13.8116550445557 4.30868601799011 4.90862345695496 0 8.90657734870911 21 340703.405602243 340703.405602243 1467984 1467984 200436.048575861 200436.048575861 863616 863616 47.1749421382415 66030.9911534783 1878.46126742846 64152.5298860498 424 588077 16925 571152 0 0 0 0 13.7733211517334 1752354679.76405 4923
2048 2 1250.8769396594 1250.8769396594 15.2589309215546 5.75596189498901 6.23935174942017 0 9.07054162025452 28 340049.506183143 340049.506183143 1957312 1957312 200051.359096462 200051.359096462 1151488 1151488 66.7436904218162 112466.555328207 2013.50857433655 110453.046753871 684 1141357 18349 1123008 0 0 0 0 15.2090089321136 1752354681.21133 6431
2560 2.5 1247.93157919079 1244.54871763237 16.7149028778076 7.21193385124207 7.63364124298096 0 9.08624172210693 35 339248.813212372 339248.813212372 2446640 2446640 199580.310869339 199580.310869339 1439360 1439360 77.7425019110217 125814.126488583 2152.01376040665 123662.112728177 710 1142750 19742 1123008 0 0 0 0 16.653692483902 1752354682.6673 7939
3072 3 1226.57008732957 1242.16303550197 18.3080101013184 8.80504107475281 9.15530943870544 0 9.18009924888611 42 333441.715384891 333441.715384891 2935968 2935968 196163.991210965 196163.991210965 1727232 1727232 87.8429252345366 126499.930750436 2292.65664567353 124207.274104762 844 1163475 21171 1142304 0 0 0 0 18.2351160049438 1752354684.26041 9447
3584 3.5 1235.13113839247 1238.55783744384 19.7043149471283 10.2013459205627 10.5134365558624 0 9.19452738761902 49 335769.02760406 335769.02760406 3425296 3425296 197533.150595176 197533.150595176 2015104 2015104 94.2238557767192 126720.640880941 2433.93493501756 124286.705945923 870 1164875 22571 1142304 0 0 0 0 19.6195909976959 1752354685.65671 10955
4096 4 1236.36883509276 1237.34137380329 21.1499788761139 11.6470098495483 11.8384730815887 0 9.36983847618103 56 336105.494076817 336105.494076817 3914624 3914624 197731.094053235 197731.094053235 2302976 2302976 112.548928511239 170885.894839434 2557.3736971738 168328.52114226 1130 1718164 24004 1694160 0 0 0 0 21.0540218353271 1752354687.10238 12463
4608 4.5 1237.24963906881 1235.6276071472 22.5965270996094 13.0935580730438 13.2158191204071 0 9.38467597961426 63 336344.939659035 336344.939659035 4403952 4403952 197871.960054454 197871.960054454 2590848 2590848 122.805229898859 183286.699022286 2686.25780227549 180600.44122001 1156 1719559 25399 1694160 0 0 0 0 22.4892601966858 1752354688.54893 13971
