# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.121599999282678
512 0.5 0.12147408079535
1024 1 0.121357380011105
1536 1.5 0.12126190489568
2048 2 0.121203513947204
2560 2.5 0.121208247015096
3072 3 0.12126213170897
3584 3.5 0.121348619369569
4096 4 0.121457859520566
4608 4.5 0.121580789346369
5120 5 0.121707978355624
5632 5.5 0.12181914654695
6144 6 0.121911100596564
6656 6.5 0.121991343223302
7168 7 0.122071562538569
7680 7.5 0.122163935635652
8192 8 0.122275884110606
8704 8.5 0.122413397655997
9216 9 0.122579143780669
9728 9.5 0.122767831442186
10240 10 0.122966798541113
10752 10.5 0.123167396189841
11264 11 0.123367720709403
11776 11.5 0.123564606364991
12288 12 0.123757002766729
12800 12.5 0.123947609759251
13312 13 0.124138607299906
13824 13.5 0.12433588761821
14336 14 0.124542157351741
14848 14.5 0.124757934778352
15360 15 0.124986457199486
15872 15.5 0.125228142963866
16384 16 0.12547864861287
16896 16.5 0.125737620426227
17408 17 0.126003956967827
17920 17.5 0.126271402675925
18432 18 0.126540772831638
18944 18.5 0.126811772737742
19456 19 0.127081218330643
19968 19.5 0.127351790169373
20480 20 0.127624752946769
20992 20.5 0.127899364064582
21504 21 0.128178470653109
22016 21.5 0.128464608736126
22528 22 0.128756495667793
23040 22.5 0.129056026159856
23552 23 0.129363486719025
24064 23.5 0.129677578859589
24576 24 0.129997871042792
25088 24.5 0.130320749243953
25600 25 0.130644923720339
26112 25.5 0.130970343641301
26624 26 0.131294093404791
27136 26.5 0.13161482469362
27648 27 0.131933371351667
28160 27.5 0.132250365641606
28672 28 0.13256645503437
29184 28.5 0.132881537338054
