# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000155647998163655
512 0.5 0.000155325813737634
1024 1 0.000155027512454313
1536 1.5 0.0001547836797782
2048 2 0.000154634650454212
2560 2.5 0.000154646727836554
3072 3 0.000154784258806355
3584 3.5 0.000155005130767373
4096 4 0.000155284333045448
4608 4.5 0.000155598824611434
5120 5 0.000155924547320138
5632 5.5 0.000156209520688708
6144 6 0.000156445436301743
6656 6.5 0.000156651450751846
7168 7 0.000156857540848504
7680 7.5 0.000157095022842019
8192 8 0.000157383071947688
8704 8.5 0.000157737262375634
9216 9 0.000158164699894757
9728 9.5 0.000158652004600178
10240 10 0.000159166668878427
10752 10.5 0.00015968639457037
11264 11 0.000160206258031929
11776 11.5 0.000160718020485633
12288 12 0.000161218902461097
12800 12.5 0.000161715894368753
13312 13 0.000162214671814319
13824 13.5 0.000162730662629559
14336 14 0.000163271041661325
14848 14.5 0.000163837287264837
15360 15 0.000164438047192411
15872 15.5 0.000165074608317668
16384 16 0.000165735697449601
16896 16.5 0.000166420517794209
17408 17 0.000167126286016317
17920 17.5 0.000167836496144692
18432 18 0.000168553338829772
18944 18.5 0.000169276060051462
19456 19 0.000169996168972639
19968 19.5 0.000170720825887831
20480 20 0.000171453448049725
20992 20.5 0.000172192077138152
21504 21 0.000172944424620736
22016 21.5 0.000173717428397116
22528 22 0.000174507738701583
23040 22.5 0.000175320609349195
23552 23 0.000176156965222142
24064 23.5 0.000177013415356684
24576 24 0.000177888910270088
25088 24.5 0.000178773659826371
25600 25 0.000179664169409401
26112 25.5 0.00018056032540548
26624 26 0.000181454094347221
27136 26.5 0.000182341706096131
27648 27 0.000183225415539126
28160 27.5 0.000184106939077246
28672 28 0.000184988052635574
29184 28.5 0.000185868452266576
29696 29 0.000186747813495314
30208 29.5 0.000187628121642727
30720 30 0.000188509243274441
31232 30.5 0.000189387723698068
31744 31 0.000190259884859224
32256 31.5 0.000191123550208941
32768 32 0.000191977215365901
33280 32.5 0.000192817479884965
33792 33 0.000193640673794107
34304 33.5 0.000194445490120056
34816 34 0.000195232811660984
35328 34.5 0.000196003867901376
35840 35 0.000196756812650239
36352 35.5 0.000197490685251496
36864 36 0.000198208282267815
37376 36.5 0.000198913775931831
37888 37 0.000199610974791545
38400 37.5 0.00020030323824799
38912 38 0.000200993791876491
39424 38.5 0.000201685716782423
39936 39 0.000202382389919744
40448 39.5 0.000203087096902671
40960 40 0.000203801936003977
41472 40.5 0.000204529347187727
41984 41 0.000205271288019962
42496 41.5 0.000206029134359631
43008 42 0.00020680489127867
43520 42.5 0.000207598877760858
44032 43 0.000208413165235452
44544 43.5 0.000209249205849028
45056 44 0.000210105268602761
45568 44.5 0.000210983005344783
46080 45 0.000211883738516543
46592 45.5 0.000212806528563762
47104 46 0.000213749480880748
47616 46.5 0.000214713458629208
48128 47 0.000215701816054958
48640 47.5 0.000216715817811755
49152 48 0.000217757819750013
49664 48.5 0.000218828062339327
50176 49 0.000219926879597437
50688 49.5 0.000221056411412439
51200 50 0.000222213202521136
51712 50.5 0.000223392213212107
52224 51 0.000224597528125366
52736 51.5 0.000225826341852479
53248 52 0.000227069988092153
53760 52.5 0.000228331925540032
54272 53 0.000229611707742884
54784 53.5 0.000230902231745162
55296 54 0.00023220417077129
55808 54.5 0.000233517801836426
56320 55 0.00023483992359001
56832 55.5 0.000236168837937567
57344 56 0.000237505237043763
57856 56.5 0.000238849459792947
58368 57 0.000240202987409318
58880 57.5 0.000241571482507445
59392 58 0.000242963225049909
59904 58.5 0.000244387347560377
60416 59 0.000245852782178118
60928 59.5 0.000247372646556835
61440 60 0.000248952688249393
61952 60.5 0.0002505847114735
62464 61 0.000252262976958113
62976 61.5 0.00025398236838062
63488 62 0.000255733306628408
64000 62.5 0.000257508251837794
64512 63 0.000259306380128172
65024 63.5 0.000261134603413939
65536 64 0.000262997870635081
66048 64.5 0.00026490315173341
66560 65 0.000266855222697463
67072 65.5 0.000268856445057639
67584 66 0.000270910681652221
68096 66.5 0.000273027312534186
68608 67 0.00027520732438073
69120 67.5 0.000277427194329307
69632 68 0.000279649802289889
70144 68.5 0.000281833710425085
70656 69 0.000283939304538578
71168 69.5 0.000285936113587927
71680 70 0.000287803936509365
72192 70.5 0.000289531419228625
72704 71 0.000291134861096608
73216 71.5 0.000292595319212304
73728 72 0.000293837054346083
74240 72.5 0.000294769758256237
74752 73 0.000295355031145982
75264 73.5 0.000295470884563132
75776 74 0.000295056888698523
76288 74.5 0.000294266709598866
76800 75 0.000293300122608254
77312 75.5 0.000292175590589075
77824 76 0.000290928339909396
78336 76.5 0.000289587490440216
78848 77 0.000288172108257539
79360 77.5 0.000286697705190622
79872 78 0.000285184761637158
80384 78.5 0.000283654255511631
80896 79 0.000282135380752823
81408 79.5 0.00028067966077298
81920 80 0.000279331686790935
82432 80.5 0.000278116731259428
82944 81 0.000277049090939608
83456 81.5 0.000276128378057262
83968 82 0.000275322808925323
84480 82.5 0.000274615723504143
84992 83 0.000274000279497551
85504 83.5 0.000273497493852019
86016 84 0.000273184293255738
86528 84.5 0.000273049790570312
87040 85 0.000273055720344199
87552 85.5 0.000273171700827482
88064 86 0.000273375954247834
88576 86.5 0.000273640660059685
89088 87 0.000273937433311212
89600 87.5 0.000274252140521152
90112 88 0.000274570748756467
90624 88.5 0.000274862787615004
91136 89 0.000275116697715706
91648 89.5 0.000275328400731162
92160 90 0.000275492327191575
92672 90.5 0.000275600993227209
93184 91 0.000275656656009423
93696 91.5 0.000275673409362001
94208 92 0.000275664927651334
94720 92.5 0.000275645860052194
95232 93 0.000275631128971104
95744 93.5 0.00027562861888227
96256 94 0.00027564024398294
96768 94.5 0.000275666731815111
97280 95 0.000275702884849214
97792 95.5 0.000275739425568129
98304 96 0.000275771724787985
98816 96.5 0.00027579176707927
99328 97 0.000275788946761426
99840 97.5 0.000275747419797375
100352 98 0.000275646246617795
100864 98.5 0.00027546010288987
101376 99 0.000275172026362246
