# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0293476768498871 0.0293477477402021 0.0293477575051412
1024 1 0.0268294580229888 0.0268297150632916 0.0268298319822873
1536 1.5 0.0243684833773491 0.0243686716040921 0.0243690751593605
2048 2 0.0219688410781709 0.021968814200464 0.0219693443677749
2560 2.5 0.0198568367481942 0.0198483338391995 0.0198421689769996
3072 3 0.0182012570830938 0.0181906655871683 0.0181831299294923
3584 3.5 0.0165501157418864 0.0165382230985122 0.0165298542862715
4096 4 0.0149100275978613 0.01489786712854 0.0148893557467326
4608 4.5 0.0131948456317998 0.0131835441497886 0.0131756186103621
5120 5 0.0112530485598158 0.0112431645053578 0.0112361336628961
5632 5.5 0.00912068435362061 0.00911205404907718 0.00910578015428261
6144 6 0.0068585950637174 0.00685106629660076 0.00684542041473066
6656 6.5 0.00450782748652541 0.00450123497331699 0.00449607676311522
7168 7 0.0031023762044168 0.00310003223764739 0.00309689396199653
7680 7.5 0.0030418569078877 0.00303896014795818 0.00303513520609905
8192 8 0.00297105807356533 0.00296756946432878 0.00296299875846289
8704 8.5 0.00288944448597106 0.00288534150868306 0.0028800000190357
9216 9 0.00279614305540936 0.0027914467238175 0.0027853397844963
9728 9.5 0.00268818525143946 0.0026829247947228 0.00267606293735548
10240 10 0.00256202926661343 0.00255623086623178 0.00254861670730824
10752 10.5 0.00241554827653279 0.00240924054124601 0.0024008804471928
11264 11 0.00229792239566604 0.00228824793976631 0.00226774236336375
11776 11.5 0.00215007079354852 0.0021404659714997 0.00211922110442024
12288 12 0.00196940351501271 0.00196012213552217 0.00193915030021866
12800 12.5 0.00175235523135594 0.0017434741370354 0.00172365070775302
13312 13 0.00150497684882207 0.00149133148253847 0.00147266850965345
13824 13.5 0.00124656943446607 0.00122587585569198 0.00119524992443248
14336 14 0.000957160941341259 0.000936846591081561 0.000907308831146116
14848 14.5 0.000636208815006812 0.000616022219067294 0.000587247969510624
15360 15 0.000288417915214608 0.000268115421384922 0.000239785344363738
15872 15.5 6.36266342754068e-19 9.2431614093432e-19 8.45290274336744e-25
16384 16 7.630910025996e-19 1.36810644521538e-18 1.01790668353891e-24
16896 16.5 6.71386846164533e-19 1.40698394087989e-18 1.68101003109023e-24
17408 17 4.24253370895524e-19 1.67036559480254e-18 2.01469361071118e-24
17920 17.5 6.41028137497527e-19 1.35667517487817e-18 1.83795325039127e-24
18432 18 4.87292979041031e-19 1.13456567390912e-18 1.4374184243129e-24
18944 18.5 6.83726159344864e-19 9.50938467657994e-19 1.42087039669426e-24
19456 19 8.1657799697417e-19 9.61485420510065e-19 2.30589886492001e-24
19968 19.5 9.54579565748979e-19 1.57885192558967e-18 3.05621352550873e-24
20480 20 1.01747186254238e-18 1.90211971678692e-18 2.48098954959704e-24
20992 20.5 1.23618653188196e-18 2.00808239043301e-18 3.29007437388249e-24
21504 21 1.3953319969733e-18 1.44424932228228e-18 2.83503156874816e-24
22016 21.5 7.84594502948754e-19 1.21581306030503e-18 3.84948388366602e-24
22528 22 1.16766277185908e-18 1.49236584573707e-18 3.62698001190768e-24
23040 22.5 1.43325537577602e-18 2.7555881310623e-18 4.24577905295521e-24
23552 23 1.35274644790904e-18 1.8473003312712e-18 3.21029054715128e-24
24064 23.5 1.22322341841322e-18 1.55786214002178e-18 2.63928427069913e-24
24576 24 1.70001349109843e-18 1.98767966415161e-18 2.28342315902184e-24
25088 24.5 1.54908940610219e-18 1.43150487668231e-18 2.57086810896887e-24
25600 25 9.47408853754069e-19 1.42217347318661e-18 2.74216899310179e-24
26112 25.5 8.47728716671757e-19 1.77681575816822e-18 3.88881699243256e-24
26624 26 1.58635092866718e-18 1.38740123928203e-18 5.25026569409283e-24
27136 26.5 1.56637942081554e-18 9.3999275067116e-19 3.08412582099455e-24
27648 27 1.46071128354624e-18 1.26113896719249e-18 5.30046365451763e-24
28160 27.5 0.0550135663906094 1.32386216100206e-18 4.78473672183563e-24
28672 28 0.0780697758324528 1.49932294392806e-18 6.78320194635843e-24
29184 28.5 1.35257133281223e-18 1.5497949046628e-18 5.94040343697117e-24
29696 29 1.53682336515628e-18 1.45047655780702e-18 3.36523421850997e-24
30208 29.5 0.0151127756365671 1.68885873915226e-18 7.273844185578e-24
30720 30 1.01736546063925e-18 1.25443624924676e-18 7.57719573171114e-24
31232 30.5 8.32885219022326e-19 1.26934432570337e-18 0.0604757231804243
31744 31 1.14763440208415e-18 1.92034686253695e-18 1.97882282214354e-23
32256 31.5 2.56538173232891e-18 1.56610097918314e-18 1.02196126161294e-23
32768 32 1.29577729128113e-05 0.00047030316721573 0.000307967505154067
33280 32.5 0.000658736634686989 0.00115052472742065 0.000930818213779014
33792 33 0.00121765066498653 0.00173118484679379 0.0014434170918741
34304 33.5 0.00164652127926503 0.0021686571490135 0.00180555381936166
34816 34 0.00189104213307868 0.00241909284779183 0.00198565661120293
35328 34.5 0.00187027659869052 0.00247197649488551 0.0019571387682552
35840 35 0.00153506566700794 0.00224992320720943 0.00164580573635243
36352 35.5 0.000937937716826269 0.00171092786819449 0.00103455932540931
36864 36 0.000215911438571211 0.000894503920714936 0.00100044769564028
37376 36.5 0.000147631235268057 0.000230747051161594 0.000868208139374126
37888 37 0.000584723750594414 0.000524595195034198 0.000644321971801537
38400 37.5 0.00177279171224317 0.00154418793706139 0.00150323694863924
38912 38 0.00275233478937614 0.00234366910187694 0.00236588261167147
39424 38.5 0.00352726278858298 0.00316251645075311 0.00298476993311064
39936 39 0.00440680963079091 0.00400743824280896 0.00367412234615999
40448 39.5 0.00524832551431183 0.00458855634463829 0.00522084404016514
40960 40 0.00604173438424661 0.00476674857397133 0.0069019305624993
41472 40.5 0.00753418602824799 0.00677845379696155 0.00855256750507936
41984 41 0.00886194339456396 0.00937979795669243 0.0100918619714977
42496 41.5 0.011325920425409 0.0118447186776202 0.0125802834399417
43008 42 0.013435456075315 0.0136130884698066 0.0146966091298331
43520 42.5 0.0148499443124428 0.014718593935693 0.0162318342172766
44032 43 0.0157245167721172 0.0161159101676649 0.0172059708212474
44544 43.5 0.0162072081969269 0.017750701679388 0.0177323965439064
45056 44 0.0165702994768926 0.0189468462085509 0.0178350037796156
45568 44.5 0.0170125811436613 0.0197816152599012 0.0183020454170618
46080 45 0.0187027742155561 0.0202490244166383 0.0201236678537112
46592 45.5 0.0201106854804412 0.0217039058141179 0.021607254794099
47104 46 0.0211538646368959 0.0226456901094791 0.0226453874936449
47616 46.5 0.0217167444451486 0.0226981955379733 0.023126275389613
48128 47 0.0216998726475427 0.0219003126824136 0.0229205770793629
48640 47.5 0.0211089837986976 0.0205646376283617 0.0220205207499521
49152 48 0.0200202076954886 0.0189700486981458 0.0206490819478902
49664 48.5 0.0185320168865737 0.0182267866732882 0.0189875413562154
50176 49 0.0173992995281858 0.01723376286633 0.017166882323609
50688 49.5 0.0190252825931911 0.015977722768963 0.0151025162819164
51200 50 0.020500970715404 0.0163003147027136 0.0158929752866375
51712 50.5 0.0218307387902462 0.0179604296095574 0.0173573023111853
52224 51 0.0230205734366393 0.0194842500512803 0.0187477703846361
52736 51.5 0.0240788861966168 0.0207513088755174 0.0200672726796632
53248 52 0.0250075732929191 0.0217003834261905 0.0211135966310349
53760 52.5 0.0258142884894655 0.0223247571571197 0.0218610137610247
54272 53 0.0265181002590463 0.0226199815656029 0.0222907913955488
54784 53.5 0.0271741826191056 0.0226139729271949 0.0224128844719191
55296 54 0.0277465030038701 0.0224225239110645 0.0222687317125248
55808 54.5 0.0281999834667433 0.0232624063949146 0.0219169434724986
56320 55 0.0285129487218696 0.0243399004838564 0.0225672520369988
56832 55.5 0.0286589916822749 0.025759229799295 0.0241625237889875
57344 56 0.0286153465898471 0.0274426092915643 0.0265662913487395
57856 56.5 0.0290990917858916 0.0284071338422625 0.0314043627822036
58368 57 0.0298163802307843 0.0297725814814826 0.0358067892517849
58880 57.5 0.0308488681310671 0.0337247032051561 0.0397576129593832
59392 58 0.0319867717080914 0.0372312945881745 0.0432630914448112
59904 58.5 0.0345927491129311 0.0401741873496201 0.04640621957592
60416 59 0.0380716385684938 0.042602161233979 0.0493386983470036
60928 59.5 0.0419956338254312 0.0445623039917689 0.0523766661021752
61440 60 0.0457355245493961 0.0461079680799774 0.0556235961729538
61952 60.5 0.0488679053490981 0.0473706493462964 0.0592089725007791
62464 61 0.0514064044688092 0.049474333497496 0.0629229038959609
62976 61.5 0.0533907156127987 0.0510338022481291 0.0664218277479767
63488 62 0.054904747647941 0.0521568168072301 0.0695986615960148
64000 62.5 0.0560569613911855 0.0529608549463131 0.0723631525832856
64512 63 0.0569651792142847 0.0535724084601991 0.0746227716028664
65024 63.5 0.0577331898431508 0.0541139521441952 0.0764159669233808
65536 64 0.0584492938487342 0.0546852235584409 0.0778048572671934
66048 64.5 0.0592281017767004 0.0553658542443106 0.0788398749037409
66560 65 0.0601723221769831 0.0562029435804687 0.0795641466011669
67072 65.5 0.061315841297027 0.0572820011507305 0.080020279988281
67584 66 0.0625701916211088 0.0586957563974458 0.0804994625345583
68096 66.5 0.063873867297011 0.0608187746285336 0.0818762320387385
68608 67 0.0655263521012566 0.0634535274173266 0.0829177317007677
69120 67.5 0.0674833196506753 0.0662406485934959 0.0837248806745004
69632 68 0.0695933075817882 0.0688745192875028 0.0843544365796222
70144 68.5 0.0720818094274518 0.0711747585730364 0.0848554102814361
70656 69 0.0740426360996433 0.072996759979918 0.0851971046951928
71168 69.5 0.075387463688911 0.0742042653338503 0.0858392860668802
71680 70 0.0760834940984439 0.0747543659290944 0.0874352464645025
72192 70.5 0.0761067833069693 0.0746595734274455 0.0888712135023278
72704 71 0.0755684560492032 0.0740099628632683 0.089938542991463
73216 71.5 0.0747176878115027 0.0729790091305311 0.0904597191626703
73728 72 0.073692510344206 0.0717883918475658 0.0904474373328699
74240 72.5 0.0735133767107352 0.072442261559206 0.0899787954444364
74752 73 0.0751552619778928 0.0741236128407961 0.0891595276224875
75264 73.5 0.0764273702910362 0.075448281591301 0.0881686841986774
75776 74 0.0773419873462782 0.0764066723560079 0.0870080356743857
76288 74.5 0.0779444801083211 0.077170796512706 0.0861753410521981
76800 75 0.0782296787785993 0.077790702198545 0.0861493297284012
77312 75.5 0.0780671206549794 0.0785582410996612 0.0868908924369021
77824 76 0.0781761347745117 0.0800877057599568 0.0867515525793706
78336 76.5 0.0787462387696265 0.0811172853375307 0.0859576479111899
