# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00059737941073
1024 1 1.00050026801303
1536 1.5 1.00041460220166
2048 2 1.00033984790436
2560 2.5 1.00050000083916
3072 3 1.00069991927203
3584 3.5 1.00093555031765
4096 4 1.00119824805403
4608 4.5 1.00148655630587
5120 5 1.00179945957262
5632 5.5 1.00213643035342
6144 6 1.00249737557846
6656 6.5 1.00288174017287
7168 7 1.00328904125408
7680 7.5 1.00372244738396
8192 8 1.00420975147704
8704 8.5 1.0047074398092
9216 9 1.00521217609179
9728 9.5 1.00572299409343
10240 10 1.00623984146298
10752 10.5 1.00676660296758
11264 11 1.00733767623447
11776 11.5 1.00794177048201
12288 12 1.00857305891896
12800 12.5 1.00923331421632
13312 13 1.00993123683492
13824 13.5 1.01067776748451
14336 14 1.01175263882741
14848 14.5 1.01315172131553
15360 15 1.01476752569193
15872 15.5 1.01662981863322
16384 16 1.01884267273351
16896 16.5 1.02146193789909
17408 17 1.02465936899696
17920 17.5 1.02854202520956
18432 18 1.03328546833142
18944 18.5 1.0392205657376
19456 19 1.04679879107769
19968 19.5 1.05669175062129
20480 20 1.06995540016011
20992 20.5 1.08821615553703
21504 21 1.11403131758413
22016 21.5 1.15172297321898
22528 22 1.20872396305417
23040 22.5 1.29795893987538
23552 23 1.42758424957308
24064 23.5 1.58849378497717
24576 24 1.7820628099825
25088 24.5 1.99987028051032
25600 25 2.24361244801334
26112 25.5 2.49755555919185
26624 26 2.75606355137677
27136 26.5 3.09579271560575
27648 27 4.21929160452057
28160 27.5 4.12348685770549
28672 28 3.80451486573512
29184 28.5 3.39703381424513
29696 29 6.70347801393988
30208 29.5 4.02770852825972
30720 30 11.7545676420317
31232 30.5 16.2854969863962
31744 31 6.42176280925528
32256 31.5 3.17148456383163
32768 32 2.54455799813151
33280 32.5 2.07578705991247
33792 33 1.72350922958543
34304 33.5 2.0151870720028
34816 34 2.27805786857381
35328 34.5 2.50240556154568
35840 35 2.70492540591745
36352 35.5 2.66635829002159
36864 36 3.03149895610854
37376 36.5 3.38709390327247
37888 37 3.69552028899154
38400 37.5 8.532528004726
38912 38 3.77106967341388
39424 38.5 3.17652497583686
39936 39 12.2371271042856
40448 39.5 7.82772071493903
40960 40 4.4812935346237
41472 40.5 12.0879952140948
41984 41 5.47957637725964
42496 41.5 5.0953823127831
43008 42 5.41033378932783
43520 42.5 5.44710521414513
44032 43 5.35523499905934
44544 43.5 5.12629811869767
45056 44 3.87317543168889
45568 44.5 2.64168399316157
46080 45 2.21886459261251
46592 45.5 1.94993675103742
47104 46 1.76185299236893
47616 46.5 1.87649504037633
48128 47 2.09957749946987
48640 47.5 2.35626283625033
49152 48 2.62953953725456
49664 48.5 2.90246593260631
50176 49 3.16459994517155
50688 49.5 3.36211868520275
51200 50 3.39556882420038
51712 50.5 3.57217262869564
52224 51 3.36465190164623
52736 51.5 3.06352149740696
53248 52 2.93432211423168
53760 52.5 2.72288278749363
54272 53 2.46725859444007
54784 53.5 2.16192614267196
55296 54 1.9323203961274
55808 54.5 1.76171804049096
56320 55 1.6869013192725
56832 55.5 1.8523861334938
57344 56 2.04580639817804
57856 56.5 2.27841115002925
58368 57 2.76660441608657
58880 57.5 3.08937107448406
59392 58 3.37243630500111
59904 58.5 3.58883601429977
60416 59 3.30162340513563
60928 59.5 3.41515181879124
61440 60 3.48813418340457
61952 60.5 3.42756131596555
62464 61 3.07295172740972
62976 61.5 2.79997230946523
63488 62 2.60096334432615
64000 62.5 2.42069728956406
64512 63 2.26763835283063
65024 63.5 2.44185122374599
65536 64 2.7078243794841
66048 64.5 2.90721623798383
66560 65 3.01016219515948
67072 65.5 2.98946955052271
67584 66 2.77548738117159
68096 66.5 2.54921846047231
68608 67 2.61411016833079
69120 67.5 2.42637651056442
69632 68 2.29616999904654
70144 68.5 2.43385426142475
70656 69 2.53875709139055
71168 69.5 2.58650359268524
71680 70 2.47988485384951
72192 70.5 2.45784949891872
72704 71 2.31351283330969
73216 71.5 2.12756568070784
73728 72 1.95975928746655
74240 72.5 1.81131128198734
74752 73 1.6850133047212
75264 73.5 1.58970132709816
75776 74 1.5162225728563
76288 74.5 1.44339074081693
76800 75 1.36951896934044
77312 75.5 1.29747229185348
77824 76 1.23369396704912
78336 76.5 1.17997496062373
78848 77 1.13771581982059
79360 77.5 1.10501574559029
79872 78 1.10159169159814
80384 78.5 1.09834536792045
80896 79 1.09504530784374
81408 79.5 1.09236120533774
81920 80 1.10125448345153
82432 80.5 1.10800734187199
82944 81 1.1135670793097
83456 81.5 1.11877139710212
83968 82 1.12412354919067
84480 82.5 1.12964433337185
84992 83 1.13554220492063
85504 83.5 1.14259543588103
86016 84 1.15120862809226
86528 84.5 1.1624607024062
87040 85 1.19805964085871
87552 85.5 1.24720920077214
88064 86 1.27939927543789
88576 86.5 1.30324632457369
89088 87 1.3216094748619
89600 87.5 1.33719265460893
90112 88 1.35369923189627
90624 88.5 1.41263572462178
91136 89 1.50955013408099
91648 89.5 1.6333577508979
92160 90 1.75166844774512
92672 90.5 1.86816533608069
93184 91 1.9876448919207
93696 91.5 2.10667939017781
94208 92 2.24096843827345
94720 92.5 2.37386549600768
95232 93 2.50613211785223
95744 93.5 2.6260269661273
96256 94 2.71236753289574
96768 94.5 2.62780214330976
97280 95 2.44959124737314
97792 95.5 2.41683840311007
98304 96 2.62918144218705
98816 96.5 2.86412850153874
99328 97 3.11237141212192
99840 97.5 3.37389350489887
100352 98 3.62064336567888
100864 98.5 3.83460735360248
101376 99 4.00643303586258
101888 99.5 4.12615403760266
102400 100 4.16798897985682
102912 100.5 4.20175252783797
103424 101 4.31771540558279
103936 101.5 4.15414272423023
104448 102 3.7020904287687
104960 102.5 3.32892458993352
105472 103 3.04813048132858
105984 103.5 2.82841333044351
106496 104 2.62071983294538
107008 104.5 2.46150211243422
107520 105 2.33490445233576
108032 105.5 2.18403582059599
108544 106 2.01668438322652
109056 106.5 1.86115972897853
109568 107 1.76682474914571
110080 107.5 1.6787997274029
110592 108 1.60593081053075
111104 108.5 1.59047812094575
111616 109 1.61386106632848
112128 109.5 1.61245214116059
112640 110 1.64159979718406
113152 110.5 1.60911105476532
113664 111 1.56666417052555
114176 111.5 1.51590277038022
114688 112 1.45611430966493
115200 112.5 1.39777644740398
115712 113 1.42720994501046
116224 113.5 1.46028269034408
116736 114 1.49728955264029
117248 114.5 1.53863639728223
117760 115 1.58510703405299
118272 115.5 1.6372657385854
118784 116 1.69556831806095
119296 116.5 1.75985053533054
119808 117 1.9495410846288
120320 117.5 2.11577679023812
120832 118 2.17579082008897
121344 118.5 2.19880960427995
121856 119 2.2109781046477
122368 119.5 2.2207903415822
122880 120 2.23940170649997
123392 120.5 2.25702336074288
123904 121 2.18995080058806
124416 121.5 2.00635606677784
124928 122 1.86880704887062
125440 122.5 1.74508237928983
125952 123 1.62837554337974
126464 123.5 1.50537136565223
126976 124 1.39837537758509
127488 124.5 1.31500191247594
128000 125 1.25249196280799
128512 125.5 1.20635588588379
129024 126 1.20673742288733
129536 126.5 1.22063502482561
130048 127 1.24488729862385
130560 127.5 1.29025710376201
131072 128 1.34697809594848
131584 128.5 1.4142396832352
132096 129 1.48784727433972
132608 129.5 1.56285103053425
133120 130 1.61084635918472
133632 130.5 1.64763525511465
134144 131 1.70118140082763
134656 131.5 1.7624088117567
135168 132 1.84093021078879
135680 132.5 1.90213230477416
136192 133 1.95255073436639
136704 133.5 1.99506811758872
137216 134 2.00437480763988
137728 134.5 1.99137927190882
138240 135 1.99985216526917
138752 135.5 1.98158821124928
139264 136 2.00445022806513
139776 136.5 2.06503074518914
140288 137 2.10925853170862
140800 137.5 2.18985501166407
141312 138 2.19205993208114
141824 138.5 2.17426873874562
142336 139 2.24422211714197
142848 139.5 2.4128385681887
143360 140 2.65208928944098
143872 140.5 2.98811726526461
144384 141 2.97902278421778
144896 141.5 2.89172793209795
145408 142 2.76949537531434
145920 142.5 2.57920428035603
146432 143 2.38124669403678
146944 143.5 2.18486725576822
147456 144 1.9979357930896
147968 144.5 1.82973778656793
148480 145 2.05002976901623
148992 145.5 2.32052866503218
149504 146 4.29851234154811
150016 146.5 6.03872566458529
150528 147 6.33860344657662
151040 147.5 4.74348062832339
151552 148 3.355901225717
152064 148.5 5.22925554756075
152576 149 3.64506703808542
153088 149.5 4.51639242900939
153600 150 4.8828504306058
154112 150.5 2.46467493716389
154624 151 1.8519651026944
155136 151.5 1.96792735239328
155648 152 2.08026990222779
