# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000535268156601292
512 0.5 -0.000597563936141153
1024 1 -0.000578897161672482
1536 1.5 -0.000581610861116659
2048 2 -0.000575125470231994
2560 2.5 -0.000588685477789668
3072 3 -0.000587456166435121
3584 3.5 -0.000582580727804055
4096 4 -0.000595811213479973
4608 4.5 -0.000587483563273255
5120 5 -0.000605069501741789
5632 5.5 -0.000599586452014485
6144 6 -0.000606021979867312
6656 6.5 -0.000605574439984818
7168 7 -0.000614192731462199
7680 7.5 -0.000615901370734343
8192 8 -0.000617631751088977
8704 8.5 -0.00061890122196456
9216 9 -0.000623114832211086
9728 9.5 -0.000625260999956671
10240 10 -0.000632772148420749
10752 10.5 -0.000634014018621979
11264 11 -0.000637642854308898
11776 11.5 -0.000641105795778094
12288 12 -0.000644649671499585
12800 12.5 -0.00064922359205541
13312 13 -0.00065486264768751
13824 13.5 -0.000658328892539916
14336 14 -0.000657743070880794
14848 14.5 -0.000662654316153661
15360 15 -0.000676536721929155
15872 15.5 -0.000683387863114893
16384 16 -0.000684841164852805
16896 16.5 -0.000695630798531967
17408 17 -0.000707222391613813
17920 17.5 -0.000715310526365258
18432 18 -0.000723844737966424
18944 18.5 -0.000731644904691271
19456 19 -0.000738380606776788
19968 19.5 -0.000745650790881343
20480 20 -0.000756235580061138
20992 20.5 -0.000765752467248688
21504 21 -0.000777865193867375
22016 21.5 -0.00078017011138148
22528 22 -0.000798098829978601
23040 22.5 -0.000835404341019115
23552 23 -0.000877014075287762
24064 23.5 -0.000918160184528917
24576 24 -0.000964670929590355
25088 24.5 -0.00102256296465082
25600 25 -0.00112646640199321
26112 25.5 -0.00124856235354537
26624 26 -0.00138654095897445
27136 26.5 -0.00154611509422354
