# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -3.65398750806675e-05 -3.65441759512609e-05 -3.65084675440606e-05
1024 1 -4.56570717086817e-05 -4.56766083818046e-05 -4.56660972448327e-05
1536 1.5 -4.92782452450635e-05 -4.92782710737886e-05 -4.92782620207295e-05
2048 2 -4.20544488943351e-05 -4.20621703696356e-05 -4.20632568642094e-05
2560 2.5 -4.48990829311044e-05 -4.49108560567563e-05 -4.49061676871483e-05
3072 3 -5.59364451941255e-05 -5.59139033841137e-05 -5.58829580432452e-05
3584 3.5 -5.6210937305314e-05 -5.61959998227139e-05 -5.61719958956544e-05
4096 4 -3.81095612494515e-05 -3.81054791550333e-05 -3.80949531294011e-05
4608 4.5 -4.10017499598659e-05 -4.10093808562449e-05 -4.10118694313175e-05
5120 5 -5.22426259173985e-05 -5.20497790251691e-05 -5.18056525565899e-05
5632 5.5 -6.09334217717195e-05 -6.09805635264008e-05 -6.10561811193437e-05
6144 6 -5.8372788131558e-05 -5.84145404770742e-05 -5.84796263529903e-05
6656 6.5 -6.67483078894529e-05 -6.67385973128766e-05 -6.67257770302496e-05
7168 7 -6.47630597038042e-05 -6.47599921658226e-05 -6.47496195571049e-05
7680 7.5 -7.23740615944332e-05 -7.23450704382198e-05 -7.2311394982108e-05
8192 8 -6.86121248124782e-05 -6.86379676179239e-05 -6.86485994422006e-05
8704 8.5 -8.34144086138105e-05 -8.3449472778181e-05 -8.34976244165913e-05
9216 9 -6.32898096997698e-05 -6.32907291706298e-05 -6.3283269447038e-05
9728 9.5 -5.30355952059126e-05 -5.30910110432085e-05 -5.31530922289294e-05
10240 10 -7.1392420330699e-05 -7.14573893850612e-05 -7.15246375463063e-05
10752 10.5 -6.70755647717273e-05 -6.71360311334082e-05 -6.71783147016064e-05
11264 11 -3.8349687568286e-05 -3.83548893783827e-05 -3.83554214495799e-05
11776 11.5 -4.76601061908399e-05 -4.76713467244109e-05 -4.76691708318247e-05
12288 12 -6.09266288594614e-05 -6.09896613029322e-05 -6.10198206748068e-05
12800 12.5 -4.73840947971252e-05 -4.73961631399282e-05 -4.73735951573789e-05
13312 13 -4.21267261208509e-05 -4.21741744719418e-05 -4.21840485629771e-05
13824 13.5 -4.18073261832108e-05 -4.18182305078866e-05 -4.18174419387955e-05
14336 14 -3.50538457518827e-05 -3.50845735834018e-05 -3.5079407792368e-05
14848 14.5 -5.79682626633385e-05 -5.79684469901057e-05 -5.7956690040306e-05
15360 15 -5.376611151229e-05 -5.37890740109002e-05 -5.37872879744107e-05
15872 15.5 -6.06915924128208e-05 -6.0719611171177e-05 -6.07288253701089e-05
16384 16 -3.05853140052645e-05 -3.05905544273139e-05 -3.05862038217227e-05
16896 16.5 -4.73398693467189e-05 -4.73327398429579e-05 -4.7333158373599e-05
17408 17 -9.10878498839819e-05 -9.10642448786574e-05 -9.10495603466044e-05
17920 17.5 -0.000110165195690214 -0.000110153747383109 -0.000110166230664719
18432 18 -4.36424816414498e-05 -4.36522968747414e-05 -4.3668827213372e-05
18944 18.5 -8.13839650361249e-05 -8.1379018467494e-05 -8.13706768402258e-05
19456 19 -8.16684290580564e-05 -8.16790999268459e-05 -8.17056521375684e-05
19968 19.5 -5.53061313637383e-05 -5.53278212714759e-05 -5.53697214710902e-05
20480 20 -0.000105065169365956 -0.000105065254176514 -0.00010506125038333
20992 20.5 -0.000123195824168106 -0.000123198571852539 -0.000123211722172329
21504 21 -6.90826462506166e-05 -6.91299854318407e-05 -6.91862320625758e-05
22016 21.5 -9.38959529460619e-05 -9.38724015624121e-05 -9.38577830314162e-05
22528 22 -9.24073187649e-05 -9.23968578923341e-05 -9.23895507207906e-05
23040 22.5 -8.55009692797541e-05 -8.55897836382869e-05 -8.5704447037706e-05
23552 23 -9.21353022523934e-05 -9.20957651933942e-05 -9.2065116950364e-05
24064 23.5 -0.000103798863097349 -0.000103811554677055 -0.000103834456376449
24576 24 -8.07588093793194e-05 -8.07757386231954e-05 -8.07917256268017e-05
25088 24.5 -0.000104113637179402 -0.000104168433731374 -0.000104216863637563
25600 25 -0.000132333225220825 -0.000132321142367399 -0.000132347293714216
26112 25.5 -8.13456440024686e-05 -8.1288227917879e-05 -8.13248949517183e-05
26624 26 -8.50331257714248e-05 -8.49817897696e-05 -8.49998064222839e-05
27136 26.5 -0.000103707345426129 -0.000103706025863464 -0.00010366223593396
27648 27 -7.99845677183425e-05 -8.01372427172397e-05 -8.03747984808495e-05
28160 27.5 -6.44084154444426e-05 -6.4373675737132e-05 -6.43878519258999e-05
28672 28 -7.59506573415863e-05 -7.59073566598897e-05 -7.58496344214069e-05
29184 28.5 -9.37651158810487e-05 -9.37815837564372e-05 -9.37913617517703e-05
29696 29 -0.000129760296657751 -0.000129695220751649 -0.000129626760997114
30208 29.5 -0.000106876866781383 -0.000106897159432352 -0.000106874673095426
30720 30 -0.000101840071918898 -0.000101818064126554 -0.000101752942969311
31232 30.5 -6.9180507581995e-05 -6.90434150728025e-05 -6.89544490493346e-05
31744 31 -6.34077857314012e-05 -6.3230776929467e-05 -6.31894487707647e-05
32256 31.5 -5.96417847582217e-05 -5.93800131069814e-05 -5.91662521736629e-05
32768 32 -8.33872623380752e-05 -8.31012199366723e-05 -8.28280039119649e-05
33280 32.5 -4.70735747533938e-05 -4.68589665969802e-05 -4.66552481154714e-05
33792 33 -3.92725153520142e-05 -4.06799545934085e-05 -4.12902095582616e-05
34304 33.5 -4.81505028147758e-05 -4.76024239858719e-05 -4.62012809042842e-05
34816 34 -4.33253612981735e-05 -4.33741955821524e-05 -4.2964755648729e-05
35328 34.5 -4.55252967480251e-05 -4.25897567125265e-05 -4.26950236371526e-05
35840 35 -5.09603659432532e-05 -5.11135362933625e-05 -5.11062122424889e-05
36352 35.5 -7.45728502848181e-05 -6.64453139189168e-05 -5.93722352536332e-05
36864 36 -7.33652644373072e-05 -6.85461864683107e-05 -6.50198986777827e-05
37376 36.5 -7.20058011210246e-05 -6.79195722971016e-05 -6.28026574500349e-05
37888 37 -7.68534387286678e-05 -7.65825312113157e-05 -7.34001185472739e-05
38400 37.5 -8.33059434093699e-05 -8.16597912851233e-05 -7.56634611393328e-05
38912 38 -0.00021324547281107 -9.05371362399017e-05 -8.78865837456088e-05
39424 38.5 -9.35805483352652e-05 -9.60602815853867e-05 -9.9014437250505e-05
39936 39 -0.000116038989114753 -0.000114290851387904 -0.000117289950906432
40448 39.5 -0.000118947512086085 -0.000106768925290486 -0.000114432930395285
40960 40 -9.91337974883699e-05 -8.17370009758283e-05 -8.084377748382e-05
41472 40.5 -8.47962962717889e-05 -8.83607022255387e-05 -8.32042062804627e-05
41984 41 -8.84322785737954e-05 -8.48390969129765e-05 -9.75298718475498e-05
42496 41.5 -9.21947576014433e-05 -5.97450794548931e-05 -7.57220436240753e-05
43008 42 -6.78403924550002e-05 -6.24736593980283e-05 -6.21576499324972e-05
43520 42.5 -6.97497141418076e-05 -6.87431754746532e-05 -6.90614618533177e-05
44032 43 -7.9178181373767e-05 -7.92668553826909e-05 -7.81229966371962e-05
44544 43.5 -6.77155459341127e-05 -7.10074640250484e-05 -6.57218533191196e-05
45056 44 -7.93395244159202e-05 -7.84897317847311e-05 -7.36206170215292e-05
45568 44.5 -7.21276129112693e-05 -6.63479057491083e-05 -6.23373381487101e-05
46080 45 -6.29179610115069e-05 -5.98059965579824e-05 -6.22073257939756e-05
46592 45.5 -5.86458911788589e-05 -5.8709091523151e-05 -5.82818407632901e-05
47104 46 -5.9926117204931e-05 -5.83990272564372e-05 -5.81883977304054e-05
47616 46.5 -6.10829714709493e-05 -5.40435455826365e-05 -5.27657574146345e-05
48128 47 -6.51270028908014e-05 -5.76349836631629e-05 -5.80922540954786e-05
48640 47.5 -6.13021991252287e-05 -4.89846213083232e-05 -4.4756272206491e-05
49152 48 -5.63920810158499e-05 -5.72360748835945e-05 -5.525824730539e-05
49664 48.5 -6.19628105523946e-05 -6.8851773891304e-05 -6.90697626514986e-05
50176 49 -6.2769934241004e-05 -6.73683558401728e-05 -7.14591497515348e-05
50688 49.5 -6.45291644170105e-05 -6.04212061779498e-05 -6.84732361505504e-05
51200 50 -7.15969725630486e-05 -6.14355385004157e-05 -5.96339296621494e-05
51712 50.5 -8.52780923628521e-05 -7.31541959432331e-05 -7.17306406727293e-05
52224 51 -8.57431129760404e-05 -8.66852365878947e-05 -8.61985960733893e-05
52736 51.5 -6.8821893167161e-05 -8.25397731772084e-05 -8.75988385750799e-05
53248 52 -6.24069656132176e-05 -6.6926642452588e-05 -8.28468856463838e-05
53760 52.5 -6.23817781819721e-05 -6.50071776133953e-05 -7.50415471924032e-05
54272 53 -6.28989304377254e-05 -6.89357677280341e-05 -7.34195810814475e-05
54784 53.5 -6.98868059506154e-05 -5.9632046664386e-05 -7.27469450495257e-05
55296 54 -7.37222680318674e-05 -6.49683940609958e-05 -7.00852058523458e-05
55808 54.5 -7.86866972165642e-05 -6.95398648325235e-05 -7.59162990639758e-05
56320 55 -7.93791033036541e-05 -6.71881699995023e-05 -7.46583072263735e-05
56832 55.5 -7.9200518244366e-05 -7.7003888781974e-05 -7.27544562257325e-05
57344 56 -7.94643957775089e-05 -8.18932921778801e-05 -8.30116395822005e-05
57856 56.5 -8.08387854097997e-05 -7.89372552522711e-05 -8.43128703185368e-05
58368 57 -8.86507930465015e-05 -6.95251691544969e-05 -7.62843308563284e-05
58880 57.5 -8.43387998341375e-05 -7.70708877332467e-05 -7.27617765271128e-05
59392 58 -9.42382443707686e-05 -8.97908722513026e-05 -8.98216729835031e-05
59904 58.5 -0.000112913347691541 -9.39827952005698e-05 -9.33112848246969e-05
60416 59 -0.00013973150571282 -9.04714193589832e-05 -9.03743622806855e-05
60928 59.5 -0.00013175138872642 -8.69984313522369e-05 -9.44173478509703e-05
61440 60 -0.000146385202878698 -9.28427712082743e-05 -9.48626937984247e-05
61952 60.5 -0.00015170014288617 -9.8220843551553e-05 -0.000100421616154108
62464 61 -0.000133770818450834 -0.000109641308516164 -0.000113169213480386
62976 61.5 -0.000122400809527774 -0.000121897748615554 -0.000125838121371673
63488 62 -0.00015279715548857 -0.000116915170800375 -0.000122320779391231
64000 62.5 -0.000164141560098691 -9.42443907990328e-05 -0.000103387573248741
64512 63 -0.000157707922589543 -7.0488067819911e-05 -7.51224748462273e-05
65024 63.5 -0.000140690050004692 -7.41350409279747e-05 -7.68914856598963e-05
65536 64 -0.000112527865353537 -8.07907718492347e-05 -7.77903260791742e-05
66048 64.5 -0.000101461938758914 -8.54215281259296e-05 -8.26273640558212e-05
66560 65 -0.00011454014706578 -0.000108562462728259 -0.000101281780958896
67072 65.5 -0.000136488075827389 -0.0001259001581096 -0.000119875962620793
67584 66 -0.000145275110235853 -0.000133340685107661 -0.000129752999706497
68096 66.5 -0.000136045444022113 -0.000137116238744095 -0.000122138118722385
