# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.27758238890284e-06 1.27766411680122e-06 1.27772705121205e-06
1024 1 2.01530693289695e-06 2.01550081780081e-06 2.01568560476442e-06
1536 1.5 2.69585822486662e-06 2.69581409371569e-06 2.69582699397785e-06
2048 2 3.00498972622663e-06 3.00484755290387e-06 3.0048457919489e-06
2560 2.5 2.91501752960832e-06 2.91492898949501e-06 2.91488465123219e-06
3072 3 3.20169666524406e-06 3.20183402531823e-06 3.20191503391056e-06
3584 3.5 3.23839730786926e-06 3.23859941562154e-06 3.23875801433776e-06
4096 4 3.17177591335153e-06 3.17185984002234e-06 3.17194055528921e-06
4608 4.5 3.20423773747424e-06 3.20420043349673e-06 3.20417928485523e-06
5120 5 3.20854932988846e-06 3.20846717286554e-06 3.20837099492873e-06
5632 5.5 3.17434067425379e-06 3.17427914321081e-06 3.17420290754253e-06
6144 6 3.15043676759202e-06 3.15046846682068e-06 3.15049346690292e-06
6656 6.5 3.08829658849294e-06 3.08845577375108e-06 3.08855574192226e-06
7168 7 3.00910130125274e-06 3.00928531763253e-06 3.00938960472812e-06
7680 7.5 2.94917463961669e-06 2.94930802055106e-06 2.94934107549729e-06
8192 8 2.88623201038501e-06 2.88637954092093e-06 2.88638604595665e-06
8704 8.5 2.86625016790913e-06 2.86646421325565e-06 2.86655537782806e-06
9216 9 2.81401398880154e-06 2.81419350161954e-06 2.81425998601553e-06
9728 9.5 2.8153868871059e-06 2.81553657310636e-06 2.81556343074938e-06
10240 10 2.86753980590072e-06 2.86772875030795e-06 2.86777512560861e-06
10752 10.5 2.87168896657308e-06 2.87191880870942e-06 2.87200708123367e-06
11264 11 2.89912180690176e-06 2.89936005675434e-06 2.89949658207695e-06
11776 11.5 2.9749988120312e-06 2.97521529770942e-06 2.97537218791308e-06
12288 12 2.92416841459005e-06 2.92441030669961e-06 2.92456112044654e-06
12800 12.5 2.67279380726034e-06 2.67297215467114e-06 2.67307099675677e-06
13312 13 2.64112608313685e-06 2.64130574432682e-06 2.64146867841252e-06
13824 13.5 2.7766412892883e-06 2.77695241618873e-06 2.77724420664863e-06
14336 14 2.66436925661189e-06 2.66473701872164e-06 2.66506775770032e-06
14848 14.5 2.52786797757004e-06 2.5282254482103e-06 2.52849662846703e-06
15360 15 2.47543847031798e-06 2.47575126036916e-06 2.47592241341359e-06
15872 15.5 2.50843537390058e-06 2.50864182941868e-06 2.50871010326688e-06
16384 16 2.51138130710725e-06 2.51155655904818e-06 2.511603853526e-06
16896 16.5 2.59426544843119e-06 2.59436986338706e-06 2.59430769526922e-06
17408 17 2.66721263422154e-06 2.66707889637417e-06 2.66677040162072e-06
17920 17.5 2.68512998817234e-06 2.68478809642554e-06 2.68425401441941e-06
18432 18 2.7490941716974e-06 2.74886309438042e-06 2.74847399341905e-06
18944 18.5 2.81189647718552e-06 2.81174390714403e-06 2.81142705770765e-06
19456 19 2.90949090545256e-06 2.9091775378855e-06 2.90868542123054e-06
19968 19.5 3.09111901886535e-06 3.09055089290561e-06 3.08984328124598e-06
20480 20 3.13474344626903e-06 3.13421137029949e-06 3.13354397845066e-06
20992 20.5 3.08688289232606e-06 3.08640100594742e-06 3.0858611903127e-06
21504 21 3.10578624628203e-06 3.10489233295331e-06 3.10393025874472e-06
22016 21.5 3.1476135272364e-06 3.14645956968042e-06 3.14512751863758e-06
22528 22 3.14370428156625e-06 3.14230152630365e-06 3.14081630377746e-06
23040 22.5 3.06458531258273e-06 3.06288743130589e-06 3.06128866915579e-06
23552 23 3.05044308039441e-06 3.04918157566148e-06 3.04792204467718e-06
24064 23.5 3.07854417031799e-06 3.07816723253794e-06 3.0775287608228e-06
24576 24 3.0596415715275e-06 3.0593042381028e-06 3.05880166273778e-06
25088 24.5 3.0295436112401e-06 3.02855321734529e-06 3.02779288024049e-06
25600 25 2.99136508577183e-06 2.98969546139192e-06 2.98830586849728e-06
26112 25.5 2.86813596474118e-06 2.86572122673268e-06 2.86376922509347e-06
26624 26 2.77971792046014e-06 2.77675057127728e-06 2.77424129599314e-06
27136 26.5 2.80475289743216e-06 2.80268535718714e-06 2.79980266574144e-06
27648 27 2.73652007060782e-06 2.73496030845943e-06 2.73352236203083e-06
28160 27.5 2.76035519971724e-06 2.75877565545348e-06 2.76040156272819e-06
28672 28 2.85561754839476e-06 2.85791345565951e-06 2.85481942420767e-06
29184 28.5 2.8399647973736e-06 2.84006935321107e-06 2.83173073496502e-06
29696 29 2.84329239314664e-06 2.84545274252465e-06 2.83910219319091e-06
30208 29.5 2.93083472452635e-06 2.92866016600782e-06 2.92022892362393e-06
30720 30 2.98822689247374e-06 2.98331717178183e-06 2.97261282946069e-06
31232 30.5 2.93546278708381e-06 2.93250406207498e-06 2.93051000865697e-06
31744 31 2.89368574117491e-06 2.89880214981675e-06 2.89975211865e-06
32256 31.5 2.94652439440569e-06 2.95099796189322e-06 2.94960204176684e-06
