# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.75 0.9668881053075
1024 1.5 0.966899823688441
1536 2.25 0.966911137125821
2048 3 0.966923630731684
2560 3.75 0.966936748762888
3072 4.5 0.966949996229391
3584 5.25 0.966963515526586
4096 6 0.966977413721171
4608 6.75 0.966991668576013
5120 7.5 0.967006244759763
5632 8.25 0.967021155396472
6144 9 0.967036441029542
6656 9.75 0.967052098329858
7168 10.5 0.967068097558118
7680 11.25 0.967084441213089
8192 12 0.967101146569581
8704 12.75 0.967118207521121
9216 13.5 0.96713560695324
9728 14.25 0.967153339330296
10240 15 0.967171405650849
10752 15.75 0.967189796599557
11264 16.5 0.967208491384044
11776 17.25 0.967227471951692
12288 18 0.967246724386685
12800 18.75 0.967266225605665
13312 19.5 0.967285941757956
13824 20.25 0.967305837786086
14336 21 0.967325877954962
14848 21.75 0.967346020202046
15360 22.5 0.967366220529872
15872 23.25 0.967386432280517
16384 24 0.967406557418071
16896 24.75 0.967426416769958
17408 25.5 0.96744596071436
17920 26.25 0.967465561215075
18432 27 0.967485530995265
18944 27.75 0.967505022919623
19456 28.5 0.967522685227082
19968 29.25 0.967539314175077
20480 30 0.967557543449069
20992 30.75 0.967577615780184
21504 31.5 0.967597219118915
22016 32.25 0.967615790040608
22528 33 0.967632951593623
23040 33.75 0.967645594930069
23552 34.5 0.96765513268072
24064 35.25 0.967669851142871
24576 36 0.96769130430946
25088 36.75 0.967711964898012
25600 37.5 0.967730484101982
26112 38.25 0.967750915145861
26624 39 0.967770855741851
27136 39.75 0.967788213722135
27648 40.5 0.967807335588586
28160 41.25 0.967828427734689
28672 42 0.96784796289815
29184 42.75 0.967868324546593
29696 43.5 0.96789187839026
30208 44.25 0.967914462579338
30720 45 0.967932538815872
31232 45.75 0.967947561193224
31744 46.5 0.967962930295015
32256 47.25 0.96798051445233
32768 48 0.967998488334858
33280 48.75 0.968014603101945
33792 49.5 0.968029922376703
34304 50.25 0.968045273758825
34816 51 0.968059789461294
35328 51.75 0.968074426284238
35840 52.5 0.968089959999655
36352 53.25 0.968104206555365
36864 54 0.968116276497086
37376 54.75 0.968128343407285
37888 55.5 0.968141121115849
38400 56.25 0.968153216096528
38912 57 0.968164968163902
39424 57.75 0.968177719473274
39936 58.5 0.968190087214355
40448 59.25 0.968199691710438
40960 60 0.9682068521483
41472 60.75 0.968212134083444
