# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.75 -1.87128496620077e-06 -1.87128496620077e-06 -1.87128496620077e-06
1024 1.5 -6.18119570137152e-06 -6.18119570137151e-06 -6.18119570137146e-06
1536 2.25 -8.65926149784981e-06 -8.65926149784978e-06 -8.65926149784981e-06
2048 3 -1.43374288219536e-05 -1.43374288219536e-05 -1.43374288219536e-05
2560 3.75 -2.49345307551185e-05 -2.49345307551186e-05 -2.49345307551186e-05
3072 4.5 -3.75090009107091e-05 -3.75090009107092e-05 -3.75090009107092e-05
3584 5.25 -4.88073445943587e-05 -4.88073445943592e-05 -4.88073445943586e-05
4096 6 -5.87919561771387e-05 -5.87919561771386e-05 -5.87919561771386e-05
4608 6.75 -7.08919122467746e-05 -7.08919122467753e-05 -7.08919122467754e-05
5120 7.5 -8.49136849362426e-05 -8.49136849362431e-05 -8.49136849362447e-05
5632 8.25 -0.000101805798768441 -0.000101805798768439 -0.000101805798768441
6144 9 -0.00012075464096857 -0.000120754640968567 -0.000120754640968581
6656 9.75 -0.000137288501301274 -0.00013728850130127 -0.000137288501301284
7168 10.5 -0.000148616676920077 -0.00014861667692007 -0.000148616676920036
7680 11.25 -0.00015829935919209 -0.000158299359192113 -0.00015829935919212
8192 12 -0.000171539405738092 -0.000171539405738085 -0.000171539405738075
8704 12.75 -0.000191013045188595 -0.000191013045188573 -0.000191013045188666
9216 13.5 -0.000209998825587075 -0.000209998825587068 -0.000209998825587111
9728 14.25 -0.000225458926670011 -0.000225458926670029 -0.000225458926669966
10240 15 -0.000239428327949098 -0.000239428327949097 -0.000239428327949074
10752 15.75 -0.000253901482241578 -0.000253901482241592 -0.000253901482241563
11264 16.5 -0.000270123950923115 -0.000270123950923134 -0.000270123950922987
11776 17.25 -0.000288714410772148 -0.000288714410772114 -0.000288714410772008
12288 18 -0.000307571507597132 -0.000307571507597133 -0.000307571507597239
12800 18.75 -0.000323585614827559 -0.000323585614827645 -0.000323585614827751
13312 19.5 -0.000336882920195832 -0.00033688292019598 -0.000336882920195858
13824 20.25 -0.000349907808009935 -0.000349907808010099 -0.000349907808009858
14336 21 -0.000363990379746478 -0.00036399037974654 -0.000363990379746408
