# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.75 0.0036776443713391
1024 1.5 0.00366083753556243
1536 2.25 0.00364229330892557
2048 3 0.0036273795457096
2560 3.75 0.00361489554955634
3072 4.5 0.00360603879738064
3584 5.25 0.00359814566610349
4096 6 0.00359405376290176
4608 6.75 0.00359381968312809
5120 7.5 0.00359488808723837
5632 8.25 0.00359718275055226
6144 9 0.00360049986776837
6656 9.75 0.0036045519690056
7168 10.5 0.00360909461192934
7680 11.25 0.00361402813326177
8192 12 0.00361933859396857
8704 12.75 0.00362495505518393
9216 13.5 0.00363070498020015
9728 14.25 0.00363636593622693
10240 15 0.00364175330873139
10752 15.75 0.00364673504579392
11264 16.5 0.00365116703854854
11776 17.25 0.00365488416216268
12288 18 0.00365774453719702
12800 18.75 0.00365965696041808
13312 19.5 0.00366055567313225
13824 20.25 0.00366036382128052
14336 21 0.00365900251153409
14848 21.75 0.00365642635488502
15360 22.5 0.00365262743356513
15872 23.25 0.00364760448651984
16384 24 0.00364134472135381
16896 24.75 0.00363387013079667
17408 25.5 0.00362527451970161
17920 26.25 0.00361572065315217
18432 27 0.00360543012715132
18944 27.75 0.00359464097522328
19456 28.5 0.00358355901720885
19968 29.25 0.00357233536462356
20480 30 0.00356108188623412
20992 30.75 0.00354990900029286
21504 31.5 0.00353895378131884
22016 32.25 0.00352837026284432
22528 33 0.00351828477179011
23040 33.75 0.00350875665702752
23552 34.5 0.00349978746484446
24064 35.25 0.00349137162790372
24576 36 0.00348353458366606
25088 36.75 0.00347631928064241
25600 37.5 0.00346974251880904
26112 38.25 0.00346377243731468
26624 39 0.00345835047574521
27136 39.75 0.00345343324885686
27648 40.5 0.00344901091887091
28160 41.25 0.00344508628957586
28672 42 0.00344164202753083
29184 42.75 0.00343863467818354
29696 43.5 0.00343602046445246
30208 44.25 0.00343377963786111
30720 45 0.00343191070272184
31232 45.75 0.00343040497760033
31744 46.5 0.00342923503485988
32256 47.25 0.00342837034654601
32768 48 0.00342779567784309
33280 48.75 0.00342750978041281
33792 49.5 0.00342751529794939
34304 50.25 0.0034278035168539
34816 51 0.0034283518267951
35328 51.75 0.00342913787797411
35840 52.5 0.00343015182554961
36352 53.25 0.0034313818733575
36864 54 0.00343280837056362
37376 54.75 0.00343442389119572
37888 55.5 0.00343623330180674
38400 56.25 0.00343824194709745
38912 57 0.00344044692568268
39424 57.75 0.00344284285875722
39936 58.5 0.00344257758701546
40448 59.25 0.00344260378554945
40960 60 0.00344286827525834
41472 60.75 0.00344258597962909
41984 61.5 0.00344619435925049
42496 62.25 0.0034489443010813
43008 63 0.00345013191230539
43520 63.75 0.00345403609343703
44032 64.5 0.00345621800985994
44544 65.25 0.00346010781096909
45056 66 0.003464348768737
45568 66.75 0.00346922264459062
46080 67.5 0.00347420655020403
46592 68.25 0.0034794877327108
47104 69 0.00348494818564785
47616 69.75 0.00349063556501177
48128 70.5 0.00349630370632058
48640 71.25 0.00350218772469869
49152 72 0.00350842280270172
49664 72.75 0.00351495046891946
50176 73.5 0.00352128836346248
50688 74.25 0.0035279016087177
51200 75 0.003534808932909
51712 75.75 0.00354184173824159
52224 76.5 0.0035489087354315
52736 77.25 0.00355606028091571
53248 78 0.00356363702599945
53760 78.75 0.00357087059342692
54272 79.5 0.0035784552110071
54784 80.25 0.00358639842466892
55296 81 0.00359459479726884
55808 81.75 0.00360297296654506
56320 82.5 0.00361158061377839
56832 83.25 0.00362032726555071
57344 84 0.00362927698515968
57856 84.75 0.00363836911739028
58368 85.5 0.00364768564766195
58880 86.25 0.00365723129438962
59392 87 0.00366701011998389
59904 87.75 0.00367706647773342
60416 88.5 0.00368752606708491
