# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.75 1.1053990159357e-10
1024 1.5 1.1053990159357e-10
1536 2.25 1.1053990159357e-10
2048 3 1.1053990159357e-10
2560 3.75 1.1053990159357e-10
3072 4.5 1.1053990159357e-10
3584 5.25 1.1053990159357e-10
4096 6 1.1053990159357e-10
4608 6.75 1.1053990159357e-10
5120 7.5 1.1053990159357e-10
5632 8.25 1.10540100976919e-10
6144 9 1.10540907686535e-10
6656 9.75 1.10541740168374e-10
7168 10.5 1.10542595819271e-10
7680 11.25 1.10543473918038e-10
8192 12 1.10544375007252e-10
8704 12.75 1.10545298478289e-10
9216 13.5 1.10546242985833e-10
9728 14.25 1.1054720783246e-10
10240 15 1.10548192831053e-10
10752 15.75 1.10549197296923e-10
11264 16.5 1.10550219853009e-10
11776 17.25 1.10551259231983e-10
12288 18 1.10552314459358e-10
12800 18.75 1.10553384108797e-10
13312 19.5 1.10554466121002e-10
13824 20.25 1.10555558331036e-10
14336 21 1.1055665856942e-10
14848 21.75 1.10557764404012e-10
15360 22.5 1.10558873354971e-10
15872 23.25 1.10559982468547e-10
16384 24 1.10561085140201e-10
16896 24.75 1.10562170890525e-10
17408 25.5 1.1056324035118e-10
17920 26.25 1.10564318857906e-10
18432 27 1.1056541811044e-10
18944 27.75 1.10566476028093e-10
19456 28.5 1.1056742069456e-10
19968 29.25 1.10568326093851e-10
20480 30 1.10569349621458e-10
20992 30.75 1.10570474504068e-10
21504 31.5 1.1057155148117e-10
22016 32.25 1.10572555453702e-10
22528 33 1.10573454283992e-10
23040 33.75 1.10574080262321e-10
23552 34.5 1.10574585996021e-10
24064 35.25 1.10575466733467e-10
24576 36 1.10576721953197e-10
25088 36.75 1.10577869908904e-10
25600 37.5 1.10578880137133e-10
26112 38.25 1.10580005051974e-10
26624 39 1.10581092288034e-10
27136 39.75 1.10582042658887e-10
27648 40.5 1.10583109626885e-10
28160 41.25 1.10584278108207e-10
28672 42 1.10585359642117e-10
29184 42.75 1.10586509457658e-10
29696 43.5 1.10587828175637e-10
30208 44.25 1.1058904847682e-10
30720 45 1.10589989876897e-10
31232 45.75 1.10590775731817e-10
31744 46.5 1.10591621252899e-10
32256 47.25 1.10592612319762e-10
32768 48 1.10593607048048e-10
33280 48.75 1.10594475478399e-10
33792 49.5 1.10595299645569e-10
34304 50.25 1.10596132629362e-10
34816 51 1.10596926670155e-10
35328 51.75 1.10597736630237e-10
35840 52.5 1.10598589511127e-10
36352 53.25 1.10599351262532e-10
36864 54 1.10599990559547e-10
37376 54.75 1.10600646022023e-10
37888 55.5 1.10601347073043e-10
38400 56.25 1.10602006377276e-10
38912 57 1.10602651016062e-10
39424 57.75 1.10603352431374e-10
39936 58.5 1.10604014022423e-10
40448 59.25 1.10604502224576e-10
40960 60 1.10604848437438e-10
41472 60.75 1.10605080781049e-10
41984 61.5 1.10605120867232e-10
42496 62.25 1.10605120867232e-10
43008 63 1.10605120867232e-10
43520 63.75 1.10605120867232e-10
44032 64.5 1.10605120867232e-10
44544 65.25 1.10605120867232e-10
45056 66 1.10605120867232e-10
45568 66.75 1.10605120867232e-10
46080 67.5 1.10605120867232e-10
46592 68.25 1.10605120867232e-10
47104 69 1.10605120867232e-10
47616 69.75 1.10605120867232e-10
48128 70.5 1.10605120867232e-10
48640 71.25 1.10605120867232e-10
49152 72 1.10605120867232e-10
49664 72.75 1.10605120867232e-10
50176 73.5 1.10605120867232e-10
50688 74.25 1.10605120867232e-10
51200 75 1.10605120867232e-10
51712 75.75 1.10605120867232e-10
52224 76.5 1.10605120867232e-10
52736 77.25 1.10605120867232e-10
53248 78 1.10605120867232e-10
53760 78.75 1.10605120867232e-10
54272 79.5 1.10605120867232e-10
54784 80.25 1.10605120867232e-10
55296 81 1.10605120867232e-10
55808 81.75 1.10605120867232e-10
56320 82.5 1.10605120867232e-10
