# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 9.99999999999999e-09
512 0.75 9.99999999999999e-09
1024 1.5 9.99999999999999e-09
1536 2.25 9.99999999999999e-09
2048 3 9.99999999999999e-09
2560 3.75 9.99999999999999e-09
3072 4.5 9.99999999999999e-09
3584 5.25 9.99999999999999e-09
4096 6 9.99999999999999e-09
4608 6.75 9.99999999999999e-09
5120 7.5 9.99999999999999e-09
5632 8.25 9.99999999999999e-09
6144 9 9.99999999999999e-09
6656 9.75 9.99999999999999e-09
7168 10.5 9.99999999999999e-09
7680 11.25 9.99999999999999e-09
8192 12 9.99999999999999e-09
8704 12.75 9.99999999999999e-09
9216 13.5 9.99999999999999e-09
9728 14.25 9.99999999999999e-09
10240 15 9.99999999999999e-09
10752 15.75 9.99999999999999e-09
11264 16.5 9.99999999999999e-09
11776 17.25 9.99999999999999e-09
12288 18 9.99999999999999e-09
12800 18.75 9.99999999999999e-09
13312 19.5 9.99999999999999e-09
13824 20.25 9.99999999999999e-09
14336 21 9.99999999999999e-09
14848 21.75 9.99999999999999e-09
15360 22.5 9.99999999999999e-09
15872 23.25 9.99999999999999e-09
16384 24 9.99999999999999e-09
16896 24.75 9.99999999999999e-09
17408 25.5 9.99999999999999e-09
17920 26.25 9.99999999999999e-09
18432 27 9.99999999999999e-09
18944 27.75 9.99999999999999e-09
19456 28.5 9.99999999999999e-09
19968 29.25 9.99999999999999e-09
20480 30 9.99999999999999e-09
20992 30.75 9.99999999999999e-09
21504 31.5 9.99999999999999e-09
22016 32.25 9.99999999999999e-09
22528 33 9.99999999999999e-09
23040 33.75 9.99999999999999e-09
23552 34.5 9.99999999999999e-09
24064 35.25 9.99999999999999e-09
24576 36 9.99999999999999e-09
25088 36.75 9.99999999999999e-09
25600 37.5 9.99999999999999e-09
26112 38.25 9.99999999999999e-09
26624 39 9.99999999999999e-09
27136 39.75 9.99999999999999e-09
27648 40.5 9.99999999999999e-09
28160 41.25 9.99999999999999e-09
28672 42 9.99999999999999e-09
29184 42.75 9.99999999999999e-09
29696 43.5 9.99999999999999e-09
30208 44.25 9.99999999999999e-09
30720 45 9.99999999999999e-09
31232 45.75 9.99999999999999e-09
31744 46.5 9.99999999999999e-09
32256 47.25 9.99999999999999e-09
32768 48 9.99999999999999e-09
33280 48.75 9.99999999999999e-09
33792 49.5 9.99999999999999e-09
34304 50.25 9.99999999999999e-09
34816 51 9.99999999999999e-09
35328 51.75 9.99999999999999e-09
35840 52.5 9.99999999999999e-09
36352 53.25 9.99999999999999e-09
36864 54 9.99999999999999e-09
37376 54.75 9.99999999999999e-09
37888 55.5 9.99999999999999e-09
38400 56.25 9.99999999999999e-09
38912 57 9.99999999999999e-09
39424 57.75 9.99999999999999e-09
39936 58.5 9.99999999999999e-09
40448 59.25 9.99999999999999e-09
40960 60 9.99999999999999e-09
41472 60.75 9.99999999999999e-09
41984 61.5 9.99999999999999e-09
42496 62.25 9.99999999999999e-09
43008 63 9.99999999999999e-09
43520 63.75 9.99999999999999e-09
44032 64.5 9.99999999999999e-09
44544 65.25 9.99999999999999e-09
45056 66 9.99999999999999e-09
45568 66.75 9.99999999999999e-09
46080 67.5 9.99999999999999e-09
46592 68.25 9.99999999999999e-09
47104 69 9.99999999999999e-09
47616 69.75 9.99999999999999e-09
48128 70.5 9.99999999999999e-09
48640 71.25 9.99999999999999e-09
49152 72 9.99999999999999e-09
49664 72.75 9.99999999999999e-09
50176 73.5 9.99999999999999e-09
50688 74.25 9.99999999999999e-09
51200 75 9.99999999999999e-09
51712 75.75 9.99999999999999e-09
52224 76.5 9.99999999999999e-09
52736 77.25 9.99999999999999e-09
53248 78 9.99999999999999e-09
53760 78.75 9.99999999999999e-09
54272 79.5 9.99999999999999e-09
54784 80.25 9.99999999999999e-09
55296 81 9.99999999999999e-09
55808 81.75 9.99999999999999e-09
56320 82.5 9.99999999999999e-09
56832 83.25 9.99999999999999e-09
57344 84 9.99999999999999e-09
57856 84.75 9.99999999999999e-09
58368 85.5 9.99999999999999e-09
58880 86.25 9.99999999999999e-09
59392 87 9.99999999999999e-09
59904 87.75 9.99999999999999e-09
60416 88.5 9.99999999999999e-09
60928 89.25 9.99999999999999e-09
61440 90 9.99999999999999e-09
61952 90.75 9.99999999999999e-09
62464 91.5 9.99999999999999e-09
62976 92.25 9.99999999999999e-09
63488 93 9.99999999999999e-09
64000 93.75 9.99999999999999e-09
64512 94.5 9.99999999999999e-09
65024 95.25 9.99999999999999e-09
65536 96 9.99999999999999e-09
66048 96.75 9.99999999999999e-09
66560 97.5 9.99999999999999e-09
67072 98.25 9.99999999999999e-09
67584 99 9.99999999999999e-09
68096 99.75 9.99999999999999e-09
68608 100.5 9.99999999999999e-09
69120 101.25 9.99999999999999e-09
69632 102 9.99999999999999e-09
70144 102.75 9.99999999999999e-09
70656 103.5 9.99999999999999e-09
71168 104.25 9.99999999999999e-09
71680 105 9.99999999999999e-09
72192 105.75 9.99999999999999e-09
72704 106.5 9.99999999999999e-09
73216 107.25 9.99999999999999e-09
73728 108 9.99999999999999e-09
74240 108.75 9.99999999999999e-09
74752 109.5 9.99999999999999e-09
75264 110.25 9.99999999999999e-09
75776 111 9.99999999999999e-09
76288 111.75 9.99999999999999e-09
76800 112.5 9.99999999999999e-09
77312 113.25 9.99999999999999e-09
77824 114 9.99999999999999e-09
78336 114.75 9.99999999999999e-09
78848 115.5 9.99999999999999e-09
79360 116.25 9.99999999999999e-09
79872 117 9.99999999999999e-09
80384 117.75 9.99999999999999e-09
80896 118.5 9.99999999999999e-09
81408 119.25 9.99999999999999e-09
81920 120 9.99999999999999e-09
82432 120.75 9.99999999999999e-09
82944 121.5 9.99999999999999e-09
83456 122.25 9.99999999999999e-09
83968 123 9.99999999999999e-09
84480 123.75 9.99999999999999e-09
84992 124.5 9.99999999999999e-09
85504 125.25 9.99999999999999e-09
86016 126 9.99999999999999e-09
86528 126.75 9.99999999999999e-09
87040 127.5 9.99999999999999e-09
87552 128.25 9.99999999999999e-09
88064 129 9.99999999999999e-09
88576 129.75 9.99999999999999e-09
89088 130.5 9.99999999999999e-09
89600 131.25 9.99999999999999e-09
90112 132 9.99999999999999e-09
90624 132.75 9.99999999999999e-09
91136 133.5 9.99999999999999e-09
91648 134.25 9.99999999999999e-09
92160 135 9.99999999999999e-09
92672 135.75 9.99999999999999e-09
93184 136.5 9.99999999999999e-09
93696 137.25 9.99999999999999e-09
94208 138 9.99999999999999e-09
94720 138.75 9.99999999999999e-09
95232 139.5 9.99999999999999e-09
95744 140.25 9.99999999999999e-09
96256 141 9.99999999999999e-09
96768 141.75 9.99999999999999e-09
97280 142.5 9.99999999999999e-09
97792 143.25 9.99999999999999e-09
98304 144 9.99999999999999e-09
98816 144.75 9.99999999999999e-09
99328 145.5 9.99999999999999e-09
99840 146.25 9.99999999999999e-09
100352 147 9.99999999999999e-09
100864 147.75 9.99999999999999e-09
101376 148.5 9.99999999999999e-09
101888 149.25 9.99999999999999e-09
102400 150 9.99999999999999e-09
102912 150.75 9.99999999999999e-09
103424 151.5 9.99999999999999e-09
103936 152.25 9.99999999999999e-09
104448 153 9.99999999999999e-09
104960 153.75 9.99999999999999e-09
105472 154.5 9.99999999999999e-09
105984 155.25 9.99999999999999e-09
106496 156 9.99999999999999e-09
107008 156.75 9.99999999999999e-09
107520 157.5 9.99999999999999e-09
108032 158.25 9.99999999999999e-09
108544 159 9.99999999999999e-09
109056 159.75 9.99999999999999e-09
109568 160.5 9.99999999999999e-09
110080 161.25 9.99999999999999e-09
110592 162 9.99999999999999e-09
111104 162.75 9.99999999999999e-09
111616 163.5 9.99999999999999e-09
112128 164.25 9.99999999999999e-09
112640 165 9.99999999999999e-09
113152 165.75 9.99999999999999e-09
113664 166.5 9.99999999999999e-09
114176 167.25 9.99999999999999e-09
114688 168 9.99999999999999e-09
115200 168.75 9.99999999999999e-09
115712 169.5 9.99999999999999e-09
116224 170.25 9.99999999999999e-09
116736 171 9.99999999999999e-09
117248 171.75 9.99999999999999e-09
117760 172.5 9.99999999999999e-09
118272 173.25 9.99999999999999e-09
118784 174 9.99999999999999e-09
119296 174.75 9.99999999999999e-09
119808 175.5 9.99999999999999e-09
120320 176.25 9.99999999999999e-09
120832 177 9.99999999999999e-09
121344 177.75 9.99999999999999e-09
121856 178.5 9.99999999999999e-09
122368 179.25 9.99999999999999e-09
122880 180 9.99999999999999e-09
123392 180.75 9.99999999999999e-09
123904 181.5 9.99999999999999e-09
124416 182.25 9.99999999999999e-09
124928 183 9.99999999999999e-09
125440 183.75 9.99999999999999e-09
125952 184.5 9.99999999999999e-09
126464 185.25 9.99999999999999e-09
126976 186 9.99999999999999e-09
127488 186.75 9.99999999999999e-09
128000 187.5 9.99999999999999e-09
128512 188.25 9.99999999999999e-09
129024 189 9.99999999999999e-09
129536 189.75 9.99999999999999e-09
130048 190.5 9.99999999999999e-09
130560 191.25 9.99999999999999e-09
131072 192 9.99999999999999e-09
131584 192.75 9.99999999999999e-09
132096 193.5 9.99999999999999e-09
132608 194.25 9.99999999999999e-09
133120 195 9.99999999999999e-09
133632 195.75 9.99999999999999e-09
134144 196.5 9.99999999999999e-09
134656 197.25 9.99999999999999e-09
135168 198 9.99999999999999e-09
135680 198.75 9.99999999999999e-09
136192 199.5 9.99999999999999e-09
136704 200.25 9.99999999999999e-09
137216 201 9.99999999999999e-09
137728 201.75 9.99999999999999e-09
138240 202.5 9.99999999999999e-09
138752 203.25 9.99999999999999e-09
139264 204 9.99999999999999e-09
139776 204.75 9.99999999999999e-09
140288 205.5 9.99999999999999e-09
140800 206.25 9.99999999999999e-09
141312 207 9.99999999999999e-09
141824 207.75 9.99999999999999e-09
142336 208.5 9.99999999999999e-09
142848 209.25 -nan
143360 210 -nan
143872 210.75 -nan
144384 211.5 -nan
144896 212.25 -nan
145408 213 -nan
145920 213.75 -nan
146432 214.5 -nan
146944 215.25 -nan
147456 216 -nan
