# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.75 0.00126983014244945
1024 1.5 0.00126401715864267
1536 2.25 0.00125754986362694
2048 3 0.00125230724389854
2560 3.75 0.00124790565279247
3072 4.5 0.00124477251633046
3584 5.25 0.00124198017851912
4096 6 0.00124047464230337
4608 6.75 0.0012402403779619
5120 7.5 0.00124038365357569
5632 8.25 0.00124088976435971
6144 9 0.00124171369743552
6656 9.75 0.00124278936435837
7168 10.5 0.00124406039776685
7680 11.25 0.00124548921856276
8192 12 0.00124702654602153
8704 12.75 0.00124860231486472
9216 13.5 0.00125016416880989
9728 14.25 0.00125168438246237
10240 15 0.00125312450445861
10752 15.75 0.00125442134697932
11264 16.5 0.00125551776481644
11776 17.25 0.00125638636508403
12288 18 0.00125699672918745
12800 18.75 0.00125728984185392
13312 19.5 0.00125721255906817
13824 20.25 0.00125675517489429
14336 21 0.00125593113968925
14848 21.75 0.00125473302960061
15360 22.5 0.00125312920644819
15872 23.25 0.00125110000235114
16384 24 0.00124866418042676
16896 24.75 0.00124587868017162
17408 25.5 0.00124280989171175
17920 26.25 0.00123950786952072
18432 27 0.001236013561078
18944 27.75 0.00123237502372248
19456 28.5 0.00122865265853925
19968 29.25 0.00122491289310786
20480 30 0.00122122127727173
20992 30.75 0.00121763472372325
21504 31.5 0.0012141885778169
22016 32.25 0.00121089218890127
22528 33 0.00120774850884496
23040 33.75 0.00120478007458542
23552 34.5 0.00120202658678648
24064 35.25 0.00119951329267229
24576 36 0.00119722929916
25088 36.75 0.00119514281769932
25600 37.5 0.00119323465830067
26112 38.25 0.00119151201076759
26624 39 0.0011899907292025
27136 39.75 0.0011886690199827
27648 40.5 0.00118752098998851
28160 41.25 0.00118651517639776
28672 42 0.00118563709808095
29184 42.75 0.00118489196205376
29696 43.5 0.00118428631307348
30208 44.25 0.00118381053554461
30720 45 0.00118344152207713
31232 45.75 0.0011831605436084
31744 46.5 0.00118296552943365
32256 47.25 0.00118286600798695
32768 48 0.00118286683063237
33280 48.75 0.00118295747877922
33792 49.5 0.00118311968353722
34304 50.25 0.00118334181239702
34816 51 0.00118362561400428
35328 51.75 0.00118397924368282
35840 52.5 0.00118440427204885
36352 53.25 0.0011848876798273
36864 54 0.00118541172676625
37376 54.75 0.0011859708376132
37888 55.5 0.00118656976554341
38400 56.25 0.00118721456312497
38912 57 0.00118790989639387
39424 57.75 0.001188660058367
39936 58.5 0.00118847858014145
40448 59.25 0.00118836486370313
40960 60 0.00118828441948511
41472 60.75 0.0011879759447173
41984 61.5 0.00118898683048795
42496 62.25 0.00118968415876141
43008 63 0.00118981380768476
43520 63.75 0.00119083873480446
44032 64.5 0.00119123116800262
44544 65.25 0.00119217892060922
45056 66 0.00119321294157021
45568 66.75 0.00119442404945712
46080 67.5 0.00119563010251844
46592 68.25 0.00119690232556232
47104 69 0.00119820692162586
47616 69.75 0.00119955725069521
48128 70.5 0.00120085819973803
48640 71.25 0.00120218377600205
49152 72 0.00120358390719185
49664 72.75 0.00120504716015259
50176 73.5 0.00120641058870365
50688 74.25 0.00120782567343356
51200 75 0.0012092884601787
51712 75.75 0.00121074103955131
52224 76.5 0.0012121611830649
52736 77.25 0.00121356958068454
53248 78 0.00121507499591022
53760 78.75 0.00121640919658367
54272 79.5 0.00121781003736355
54784 80.25 0.00121928606592844
55296 81 0.00122080265874959
55808 81.75 0.00122232695434445
56320 82.5 0.00122386479501841
56832 83.25 0.00122538510502113
57344 84 0.00122691835619582
57856 84.75 0.00122844888981783
58368 85.5 0.00122999684041738
58880 86.25 0.00123155144358817
59392 87 0.00123311061288541
59904 87.75 0.00123469508203024
60416 88.5 0.00123634861788532
60928 89.25 0.00123808649183318
61440 90 0.00123991228275968
61952 90.75 0.00124182764618385
62464 91.5 0.0012438419193283
62976 92.25 0.00124595696910558
63488 93 0.00124817059811709
64000 93.75 0.0012504813394445
64512 94.5 0.001252891617873
65024 95.25 0.0012554222571896
65536 96 0.00125803524819773
66048 96.75 0.00126073285642239
66560 97.5 0.00126353824067302
67072 98.25 0.0012664418624102
67584 99 0.00126944767379485
68096 99.75 0.00127254079353493
68608 100.5 0.00127569804702103
69120 101.25 0.00127894623633376
69632 102 0.00128248628754059
70144 102.75 0.00128688556975408
70656 103.5 0.00129198461086246
71168 104.25 0.00129770346415294
