# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.75 -0.00575638158037135 -0.00575638158037135 -0.00575638158037135
1024 1.5 -0.0111702964217787 -0.0111702964217787 -0.0111702964217787
1536 2.25 -0.0159887408625387 -0.0159887408625387 -0.0159887408625387
2048 3 -0.020834572854655 -0.020834572854655 -0.020834572854655
2560 3.75 -0.0258410286634521 -0.0258410286634521 -0.0258410286634521
3072 4.5 -0.0308627757971364 -0.0308627757971364 -0.0308627757971364
3584 5.25 -0.0358106126115648 -0.0358106126115648 -0.0358106126115647
4096 6 -0.0406718386376444 -0.0406718386376444 -0.0406718386376443
4608 6.75 -0.0454249314026643 -0.0454249314026643 -0.0454249314026642
5120 7.5 -0.0502445570499926 -0.0502445570499926 -0.0502445570499925
5632 8.25 -0.0552837111692912 -0.0552837111692912 -0.0552837111692912
6144 9 -0.0602269244852296 -0.0602269244852296 -0.0602269244852296
6656 9.75 -0.0651163956747974 -0.0651163956747974 -0.0651163956747974
7168 10.5 -0.0698990291927678 -0.0698990291927678 -0.0698990291927679
7680 11.25 -0.0745438210572281 -0.074543821057228 -0.0745438210572281
8192 12 -0.0795476105456562 -0.079547610545656 -0.0795476105456561
8704 12.75 -0.0850341525197826 -0.0850341525197825 -0.0850341525197825
9216 13.5 -0.0904192763636121 -0.0904192763636118 -0.0904192763636121
9728 14.25 -0.0956864606576114 -0.0956864606576112 -0.0956864606576114
10240 15 -0.100838059924256 -0.100838059924256 -0.100838059924256
10752 15.75 -0.105889787373579 -0.105889787373579 -0.105889787373579
11264 16.5 -0.110844353923128 -0.110844353923128 -0.110844353923128
11776 17.25 -0.115688831038976 -0.115688831038975 -0.115688831038976
12288 18 -0.120415801011481 -0.120415801011481 -0.120415801011481
12800 18.75 -0.125028683599559 -0.125028683599558 -0.125028683599559
13312 19.5 -0.129534862582611 -0.12953486258261 -0.129534862582611
13824 20.25 -0.133948735560903 -0.133948735560902 -0.133948735560903
14336 21 -0.13828007308322 -0.138280073083219 -0.138280073083219
14848 21.75 -0.142677649303427 -0.142677649303427 -0.142677649303426
15360 22.5 -0.147253683871565 -0.147253683871566 -0.147253683871565
15872 23.25 -0.151715014226583 -0.151715014226582 -0.151715014226582
16384 24 -0.156066202422337 -0.156066202422336 -0.156066202422337
16896 24.75 -0.160313471350557 -0.160313471350556 -0.160313471350556
17408 25.5 -0.16446104559104 -0.16446104559104 -0.164461045591041
17920 26.25 -0.168510912978815 -0.168510912978815 -0.168510912978814
18432 27 -0.172467072312824 -0.172467072312825 -0.172467072312824
18944 27.75 -0.176330430739187 -0.176330430739187 -0.176330430739187
19456 28.5 -0.180090801372869 -0.180090801372869 -0.180090801372868
19968 29.25 -0.183700275371365 -0.183700275371365 -0.183700275371365
20480 30 -0.187151155719038 -0.187151155719038 -0.187151155719038
20992 30.75 -0.190451025994141 -0.190451025994141 -0.19045102599414
21504 31.5 -0.193613269481009 -0.193613269481009 -0.193613269481009
22016 32.25 -0.196657349881545 -0.196657349881545 -0.196657349881544
22528 33 -0.199854520738934 -0.199854520738934 -0.199854520738932
23040 33.75 -0.203209942272926 -0.203209942272926 -0.203209942272925
23552 34.5 -0.206527302092625 -0.206527302092625 -0.206527302092624
24064 35.25 -0.209817792178312 -0.209817792178313 -0.209817792178311
24576 36 -0.213088265349533 -0.213088265349534 -0.213088265349532
25088 36.75 -0.216334241017547 -0.216334241017548 -0.216334241017546
25600 37.5 -0.219542657879892 -0.219542657879892 -0.21954265787989
26112 38.25 -0.222705645156439 -0.222705645156439 -0.222705645156436
26624 39 -0.225821402450471 -0.225821402450472 -0.22582140245047
27136 39.75 -0.228887183311448 -0.228887183311447 -0.228887183311446
27648 40.5 -0.231900755223521 -0.23190075522352 -0.231900755223518
28160 41.25 -0.234856194119094 -0.234856194119094 -0.234856194119091
28672 42 -0.2377498665948 -0.2377498665948 -0.237749866594798
29184 42.75 -0.240584131817197 -0.240584131817197 -0.240584131817195
29696 43.5 -0.243363747313988 -0.243363747313988 -0.243363747313988
30208 44.25 -0.246091141014632 -0.246091141014633 -0.246091141014633
30720 45 -0.248767570143393 -0.248767570143394 -0.248767570143393
31232 45.75 -0.251397848608859 -0.251397848608858 -0.251397848608857
31744 46.5 -0.253989757181642 -0.25398975718164 -0.25398975718164
32256 47.25 -0.25654693388927 -0.256546933889269 -0.256546933889269
32768 48 -0.259065500690135 -0.259065500690136 -0.259065500690136
33280 48.75 -0.261540436486049 -0.26154043648605 -0.261540436486049
33792 49.5 -0.263973439736738 -0.263973439736737 -0.263973439736737
34304 50.25 -0.266371671035237 -0.266371671035236 -0.266371671035237
34816 51 -0.268738650081233 -0.268738650081233 -0.268738650081232
35328 51.75 -0.271069877641078 -0.271069877641077 -0.271069877641075
35840 52.5 -0.273358596227382 -0.273358596227383 -0.273358596227381
36352 53.25 -0.275602836468804 -0.275602836468805 -0.275602836468805
36864 54 -0.277806815234329 -0.277806815234329 -0.27780681523433
37376 54.75 -0.279976452396072 -0.279976452396072 -0.279976452396073
37888 55.5 -0.282103138508217 -0.282103138508217 -0.282103138508217
38400 56.25 -0.284185645487435 -0.284185645487432 -0.284185645487433
38912 57 -0.286223956359675 -0.286223956359673 -0.286223956359673
39424 57.75 -0.288212105919946 -0.288212105919947 -0.288212105919946
39936 58.5 -0.290141228218468 -0.29014122821847 -0.290141228218469
40448 59.25 -0.292005004781487 -0.292005004781487 -0.292005004781486
40960 60 -0.293804242593062 -0.293804242593061 -0.293804242593061
41472 60.75 -0.295544964663453 -0.295544964663452 -0.295544964663452
41984 61.5 -0.297232156473451 -0.297232156473451 -0.297232156473449
42496 62.25 -0.298866120074925 -0.298866120074925 -0.298866120074922
43008 63 -0.3004410600934 -0.300441060093399 -0.300441060093398
43520 63.75 -0.301956232320994 -0.301956232320995 -0.301956232320993
44032 64.5 -0.303422723152028 -0.303422723152029 -0.303422723152028
