# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.75 1.00073772260979
1024 1.5 1.00060716754067
1536 2.25 1.00046050330463
2048 3 1.00047493835334
2560 3.75 1.00072999414716
3072 4.5 1.00103316203906
3584 5.25 1.00138142816257
4096 6 1.00177056419101
4608 6.75 1.00219623958654
5120 7.5 1.00265321964637
5632 8.25 1.00313500832138
6144 9 1.00363499779226
6656 9.75 1.00414835674537
7168 10.5 1.00467096644706
7680 11.25 1.00519864510693
8192 12 1.00572902886195
8704 12.75 1.00626175812489
9216 13.5 1.00679544403958
9728 14.25 1.00732948558377
10240 15 1.00786325923037
10752 15.75 1.00839897206878
11264 16.5 1.00893989724859
11776 17.25 1.00949913803777
12288 18 1.0101383924024
12800 18.75 1.01095921497503
13312 19.5 1.01179625594484
13824 20.25 1.012649633936
14336 21 1.01351885168111
14848 21.75 1.01440077230388
15360 22.5 1.01529023736573
15872 23.25 1.01618487311924
16384 24 1.0170830468997
16896 24.75 1.01797912628942
17408 25.5 1.01893574790999
17920 26.25 1.01992860354684
18432 27 1.0209055132677
18944 27.75 1.02185845074787
19456 28.5 1.02278325936388
19968 29.25 1.02367700482313
20480 30 1.02456303883764
20992 30.75 1.02548363248776
21504 31.5 1.02638475599374
22016 32.25 1.02726935008068
22528 33 1.02813925641536
23040 33.75 1.02899215457522
23552 34.5 1.02982733508727
24064 35.25 1.0306440895497
24576 36 1.03143985066949
25088 36.75 1.0322106474472
25600 37.5 1.03295178307531
26112 38.25 1.03375241266465
26624 39 1.03475682739965
27136 39.75 1.03576168931835
27648 40.5 1.03676540311053
28160 41.25 1.03776557438426
28672 42 1.03876034762636
29184 42.75 1.03974957251546
29696 43.5 1.0407341234772
30208 44.25 1.0417144787318
30720 45 1.04269058259521
31232 45.75 1.04366301123639
31744 46.5 1.04463319190451
32256 47.25 1.04560180998354
32768 48 1.04656776825801
33280 48.75 1.04752950655902
33792 49.5 1.04848695049199
34304 50.25 1.04944148005085
34816 51 1.0503937930305
35328 51.75 1.05134263927806
35840 52.5 1.05228605459034
36352 53.25 1.05322311493967
36864 54 1.05415469438889
37376 54.75 1.05508242676403
37888 55.5 1.0560019115941
38400 56.25 1.05691155495895
38912 57 1.05781011523556
39424 57.75 1.05869432029164
39936 58.5 1.05956048838417
40448 59.25 1.06040616402825
40960 60 1.06123114470412
41472 60.75 1.0620366571862
41984 61.5 1.06282353395318
42496 62.25 1.0635912503412
43008 63 1.06433696170965
43520 63.75 1.06506008259578
44032 64.5 1.06576544849579
44544 65.25 1.06645585614777
45056 66 1.06713077314664
45568 66.75 1.06779017462896
46080 67.5 1.06843509521723
46592 68.25 1.06906669971628
47104 69 1.06968453473873
47616 69.75 1.07030253104787
48128 70.5 1.07107854199669
48640 71.25 1.07183854960859
49152 72 1.07258696219804
49664 72.75 1.07332563495939
50176 73.5 1.07405394959946
50688 74.25 1.07477007624
51200 75 1.07547352041992
51712 75.75 1.07616393013702
52224 76.5 1.0768407885034
52736 77.25 1.07749548404094
53248 78 1.07811357653753
53760 78.75 1.07869339049847
54272 79.5 1.07923165683091
54784 80.25 1.07972845864611
55296 81 1.08018356376402
55808 81.75 1.08059625984611
56320 82.5 1.08096664311964
56832 83.25 1.08129444808313
57344 84 1.08157915864998
57856 84.75 1.0818210509792
58368 85.5 1.08202149142137
58880 86.25 1.08218157057736
59392 87 1.08230137433737
59904 87.75 1.08238110545186
60416 88.5 1.08242224386807
60928 89.25 1.08242577764683
61440 90 1.08239112508893
61952 90.75 1.0823170328052
62464 91.5 1.08220353314791
62976 92.25 1.0820508228368
63488 93 1.08185819647099
64000 93.75 1.08162673131383
64512 94.5 1.08135848400474
