# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.75 1
1024 1.5 1
1536 2.25 1
2048 3 1
2560 3.75 1
3072 4.5 1
3584 5.25 1
4096 6 1
4608 6.75 1
5120 7.5 1
5632 8.25 1
6144 9 1
6656 9.75 1
7168 10.5 1
7680 11.25 1
8192 12 1
8704 12.75 1
9216 13.5 1
9728 14.25 1
10240 15 1
10752 15.75 1
11264 16.5 1
11776 17.25 1
12288 18 1
12800 18.75 1
13312 19.5 1
13824 20.25 1
14336 21 1
14848 21.75 1
15360 22.5 1
15872 23.25 1
16384 24 1
16896 24.75 1
17408 25.5 1
17920 26.25 1
18432 27 1
18944 27.75 1
19456 28.5 1
19968 29.25 1
20480 30 1
20992 30.75 1
21504 31.5 1
22016 32.25 1
22528 33 1
23040 33.75 1
23552 34.5 1
24064 35.25 1
24576 36 1
25088 36.75 1
25600 37.5 1
26112 38.25 1
26624 39 1
27136 39.75 1
27648 40.5 1
28160 41.25 1
28672 42 1
29184 42.75 1
29696 43.5 1
30208 44.25 1
30720 45 1
31232 45.75 1
31744 46.5 1
32256 47.25 1
32768 48 1
33280 48.75 1
33792 49.5 1
34304 50.25 1
34816 51 1
35328 51.75 1
35840 52.5 1
36352 53.25 1
36864 54 1
37376 54.75 1
37888 55.5 1
38400 56.25 1
38912 57 1
39424 57.75 1
39936 58.5 1
40448 59.25 1
40960 60 1
41472 60.75 1
41984 61.5 1
42496 62.25 1
43008 63 1
43520 63.75 1
44032 64.5 1
44544 65.25 1
45056 66 1
45568 66.75 1
46080 67.5 1
46592 68.25 1
47104 69 1
47616 69.75 1
48128 70.5 1
48640 71.25 1
49152 72 1
49664 72.75 1
50176 73.5 1
50688 74.25 1
51200 75 1
51712 75.75 1
52224 76.5 1
52736 77.25 1
53248 78 1
53760 78.75 1
54272 79.5 1
54784 80.25 1
55296 81 1
55808 81.75 1
56320 82.5 1
56832 83.25 1
57344 84 1
57856 84.75 1
58368 85.5 1
58880 86.25 1
59392 87 1
59904 87.75 1
60416 88.5 1
60928 89.25 1
61440 90 1
61952 90.75 1
62464 91.5 1
62976 92.25 1
63488 93 1
64000 93.75 1
64512 94.5 1
65024 95.25 1
65536 96 1
66048 96.75 1
66560 97.5 1
67072 98.25 1
67584 99 1
68096 99.75 1
68608 100.5 1
69120 101.25 1
69632 102 1
70144 102.75 1
70656 103.5 1
71168 104.25 1
71680 105 1
72192 105.75 1
72704 106.5 1
73216 107.25 1
73728 108 1
74240 108.75 1
74752 109.5 1
75264 110.25 1
75776 111 1
76288 111.75 1
76800 112.5 1
77312 113.25 1
77824 114 1
78336 114.75 1
78848 115.5 1
79360 116.25 1
79872 117 1
80384 117.75 1
80896 118.5 1
81408 119.25 1
81920 120 1
82432 120.75 1
82944 121.5 1
83456 122.25 1
83968 123 1
84480 123.75 1
84992 124.5 1
85504 125.25 1
86016 126 1
86528 126.75 1
87040 127.5 1
87552 128.25 1
88064 129 1
88576 129.75 1
89088 130.5 1
89600 131.25 1
90112 132 1
90624 132.75 1
91136 133.5 1
91648 134.25 1
92160 135 1
92672 135.75 1
93184 136.5 1
93696 137.25 1
94208 138 1
94720 138.75 1
95232 139.5 1
95744 140.25 1
96256 141 1
96768 141.75 1
97280 142.5 1
97792 143.25 1
98304 144 1
98816 144.75 1
99328 145.5 1
99840 146.25 1
100352 147 1
100864 147.75 1
101376 148.5 1
101888 149.25 1
102400 150 1
102912 150.75 1
103424 151.5 1
103936 152.25 1
104448 153 1
104960 153.75 1
105472 154.5 1
105984 155.25 1
106496 156 1
107008 156.75 1
107520 157.5 1
108032 158.25 1
108544 159 1
109056 159.75 1
109568 160.5 1
110080 161.25 1
110592 162 1
111104 162.75 1
111616 163.5 1
112128 164.25 1
112640 165 1
113152 165.75 1
113664 166.5 1
114176 167.25 1
114688 168 1
115200 168.75 1
115712 169.5 1
116224 170.25 1
116736 171 1
117248 171.75 1
117760 172.5 1
118272 173.25 1
118784 174 1
119296 174.75 1
119808 175.5 1
120320 176.25 1
120832 177 1
121344 177.75 1
121856 178.5 1
122368 179.25 1
122880 180 1
123392 180.75 1
123904 181.5 1
124416 182.25 1
124928 183 1
125440 183.75 1
125952 184.5 1
126464 185.25 1
126976 186 1
127488 186.75 1
128000 187.5 1
128512 188.25 1
129024 189 1
129536 189.75 1
130048 190.5 1
130560 191.25 1
131072 192 1
131584 192.75 1
132096 193.5 1
132608 194.25 1
133120 195 1
133632 195.75 1
134144 196.5 1
134656 197.25 1
135168 198 1
135680 198.75 1
136192 199.5 1
136704 200.25 1
137216 201 1
137728 201.75 1
138240 202.5 1
138752 203.25 1
139264 204 1
139776 204.75 1
140288 205.5 1
140800 206.25 1
141312 207 1
141824 207.75 1
142336 208.5 1
142848 209.25 -nan
143360 210 -nan
143872 210.75 -nan
144384 211.5 -nan
144896 212.25 -nan
145408 213 -nan
145920 213.75 -nan
146432 214.5 -nan
146944 215.25 -nan
147456 216 -nan
