# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000619982857264433
512 0.75 0.000599372744351793
1024 1.5 0.000735484141468193
1536 2.25 0.0012371359659842
2048 3 0.00169625698458277
2560 3.75 0.00211274034891604
3072 4.5 0.00244657326936462
3584 5.25 0.00276869781666252
4096 6 0.00304755765617082
4608 6.75 0.00328900512748778
5120 7.5 0.00351861969776794
5632 8.25 0.00371345479325927
6144 9 0.00389515566929997
6656 9.75 0.00410552072301071
7168 10.5 0.00433449602929693
7680 11.25 0.00452770661875498
8192 12 0.00468602344355105
8704 12.75 0.00488098422582564
9216 13.5 0.00513416856500523
9728 14.25 0.00537306246558104
10240 15 0.00555704803402168
10752 15.75 0.00574644752622595
11264 16.5 0.00598651477762731
11776 17.25 0.00622570986808024
12288 18 0.00641856396049688
12800 18.75 0.00661643977038689
13312 19.5 0.00688188952578979
13824 20.25 0.00718494314281007
14336 21 0.00745376208759925
14848 21.75 0.00767961425144793
15360 22.5 0.00791548941494333
15872 23.25 0.00819882907636893
16384 24 0.0085147814229737
16896 24.75 0.0088236837266389
17408 25.5 0.00910364096575077
17920 26.25 0.0093666966244505
18432 27 0.0096392935425573
18944 27.75 0.00993280082030354
19456 28.5 0.0102402404289471
19968 29.25 0.0105524959401288
20480 30 0.0108583795674876
20992 30.75 0.0111370881189942
21504 31.5 0.0113791409073313
22016 32.25 0.011613116887732
22528 33 0.0118811289341253
23040 33.75 0.0121821648232329
23552 34.5 0.0124663947170822
24064 35.25 0.0126958565853515
24576 36 0.0128907527576049
25088 36.75 0.01310271477247
25600 37.5 0.013354214286983
26112 38.25 0.0136175133591277
26624 39 0.013849625401305
27136 39.75 0.0140382078614058
27648 40.5 0.0142110081040286
28160 41.25 0.0144037524680464
28672 42 0.014622268410108
29184 42.75 0.0148391257508766
29696 43.5 0.0150273214776347
30208 44.25 0.0151910787220696
30720 45 0.0153583772049049
31232 45.75 0.0155476044087484
31744 46.5 0.0157490201729765
32256 47.25 0.0159379037035078
32768 48 0.016100426780563
33280 48.75 0.016245885295554
33792 49.5 0.0163962495990179
34304 50.25 0.0165642103402033
34816 51 0.0167407376893816
35328 51.75 0.0169067200039027
35840 52.5 0.0170563227600515
36352 53.25 0.0172031140770561
36864 54 0.0173592721352402
37376 54.75 0.0175187960009024
37888 55.5 0.0176710874587808
38400 56.25 0.0178183902772848
38912 57 0.0179673133616876
39424 57.75 0.0181133337112376
39936 58.5 0.0183141796055745
40448 59.25 0.0185360757608844
40960 60 0.0187893327618072
41472 60.75 0.0190847430293129
41984 61.5 0.0193039791113762
42496 62.25 0.0195441574434856
43008 63 0.0198406637161094
43520 63.75 0.0201169897058524
44032 64.5 0.0204548447212074
44544 65.25 0.0207713875402904
45056 66 0.0210906042813671
45568 66.75 0.0214141858233192
46080 67.5 0.0217617497010956
46592 68.25 0.0221235345195293
47104 69 0.022492886820876
47616 69.75 0.0228684578196773
48128 70.5 0.0232640058584386
48640 71.25 0.0236790317121389
49152 72 0.0241081088342598
49664 72.75 0.0245470620363423
50176 73.5 0.0250045462622959
50688 74.25 0.0254741615281004
51200 75 0.025962537513103
