# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000341000260649219
512 0.75 -0.000321830152769956
1024 1.5 -0.00040909285214626
1536 2.25 -0.000610093719661946
2048 3 -0.000804256015161538
2560 3.75 -0.000969396817605327
3072 4.5 -0.00110498517201368
3584 5.25 -0.00123623825572947
4096 6 -0.00137873643173211
4608 6.75 -0.00152596467664395
5120 7.5 -0.00166974609892811
5632 8.25 -0.00180212785817136
6144 9 -0.00191038544431317
6656 9.75 -0.00200653587570576
7168 10.5 -0.00212762711707822
7680 11.25 -0.00227497342515754
8192 12 -0.00240449656936765
8704 12.75 -0.00250019851812413
9216 13.5 -0.00259675477999563
9728 14.25 -0.00271931731583147
10240 15 -0.00285588376930504
10752 15.75 -0.00298378531246493
11264 16.5 -0.00308862859954791
11776 17.25 -0.00317448131119214
12288 18 -0.00327219010465451
12800 18.75 -0.00340412531731642
13312 19.5 -0.00354473489680503
13824 20.25 -0.00365707909686781
14336 21 -0.00375021752960867
14848 21.75 -0.00385441714505604
15360 22.5 -0.00396727340695918
15872 23.25 -0.00407280660801869
16384 24 -0.00418569899071507
16896 24.75 -0.00431987145410474
17408 25.5 -0.00445323432641494
17920 26.25 -0.00455995557018462
18432 27 -0.00465677211860695
18944 27.75 -0.00477725369268729
19456 28.5 -0.00492016551206136
19968 29.25 -0.00505739041829456
20480 30 -0.00516873356056891
20992 30.75 -0.00525953265382219
21504 31.5 -0.00534982567818929
22016 32.25 -0.00545699308787927
22528 33 -0.00558156724451275
23040 33.75 -0.00570660101381003
23552 34.5 -0.00581457122470566
24064 35.25 -0.0059070305873963
24576 36 -0.00599995676899183
25088 36.75 -0.00610090785169066
25600 37.5 -0.00620490879088044
26112 38.25 -0.00630480996948408
26624 39 -0.00639605439887365
27136 39.75 -0.00647572458530018
27648 40.5 -0.00654688909180448
28160 41.25 -0.00662083269118567
28672 42 -0.006705184319236
29184 42.75 -0.00679192745338071
29696 43.5 -0.00686694715913969
30208 44.25 -0.00692975278545392
30720 45 -0.00699333442252899
31232 45.75 -0.00706542984148366
31744 46.5 -0.00714045256341866
32256 47.25 -0.00721014367370467
32768 48 -0.00727261130076167
33280 48.75 -0.00732993592764927
33792 49.5 -0.00738528181407473
34304 50.25 -0.00744383273659351
34816 51 -0.0075092697465577
35328 51.75 -0.00757698031370478
35840 52.5 -0.00763687365849838
36352 53.25 -0.00768605848490681
36864 54 -0.00773397699105647
37376 54.75 -0.00779092184153441
37888 55.5 -0.00785493141134054
38400 56.25 -0.00791505516242807
38912 57 -0.00796489483425728
39424 57.75 -0.00800893044076256
39936 58.5 -0.00805619344755583
40448 59.25 -0.00811019003181926
40960 60 -0.00816590268646011
41472 60.75 -0.00821706501629451
41984 61.5 -0.00826436374603206
42496 62.25 -0.00831244174515611
43008 63 -0.00836070858108189
43520 63.75 -0.00840482107091266
44032 64.5 -0.00844645239551621
44544 65.25 -0.00849198966480829
45056 66 -0.00854079238554659
45568 66.75 -0.00858415192943844
46080 67.5 -0.00861737900988068
46592 68.25 -0.00864822138912412
47104 69 -0.00868436643790847
47616 69.75 -0.00872224687942043
48128 70.5 -0.00875307503837103
48640 71.25 -0.00877368426275487
49152 72 -0.00878755416194356
49664 72.75 -0.00880066992717243
50176 73.5 -0.00881658848176425
50688 74.25 -0.00883181373545064
51200 75 -0.00883842233986113
51712 75.75 -0.00883391377886727
52224 76.5 -0.00882526947534366
52736 77.25 -0.0088209461584294
53248 78 -0.00881981825548855
53760 78.75 -0.00881212289633728
54272 79.5 -0.00879102454175478
54784 80.25 -0.00876098523997295
55296 81 -0.00870366553844595
55808 81.75 -0.00866439786284664
56320 82.5 -0.00859117340210135
56832 83.25 -0.00850477068663886
57344 84 -0.008408827967082
57856 84.75 -0.00829083435818547
58368 85.5 -0.00814715329929623
58880 86.25 -0.00821199927777675
59392 87 -0.00838065316042869
59904 87.75 -0.00854569140097303
60416 88.5 -0.00871498324129951
60928 89.25 -0.00888802067843519
61440 90 -0.00905817005573452
61952 90.75 -0.00921559173387503
62464 91.5 -0.00935617278993259
62976 92.25 -0.00950171027059865
63488 93 -0.00965456831972598
64000 93.75 -0.00981430386730658
64512 94.5 -0.00997614456782068
65024 95.25 -0.0101376780309693
65536 96 -0.0103418546412256
66048 96.75 -0.0105536996383444
66560 97.5 -0.0107639968394707
67072 98.25 -0.0109751211245832
67584 99 -0.0111992455606929
68096 99.75 -0.0114350498919064
68608 100.5 -0.011681983074035
69120 101.25 -0.011942591231756
69632 102 -0.012217881170068
70144 102.75 -0.0125105099744424
70656 103.5 -0.0128192808252018
71168 104.25 -0.0131365949139557
71680 105 -0.0134630225146758
72192 105.75 -0.0138069965962696
72704 106.5 -0.0141699209324617
73216 107.25 -0.0145445164913162
73728 108 -0.0149271285464456
74240 108.75 -0.015320684271452
74752 109.5 -0.0157229255006698
75264 110.25 -0.0161205378503665
75776 111 -0.0165105100608757
76288 111.75 -0.0168945278837747
76800 112.5 -0.0172766583657282
77312 113.25 -0.0176596270817462
77824 114 -0.0180457586513541
78336 114.75 -0.0184377000028954
78848 115.5 -0.0188373040139929
79360 116.25 -0.019246141727012
79872 117 -0.0196665916234341
80384 117.75 -0.020100489145582
80896 118.5 -0.02054791454503
81408 119.25 -0.0210078206904641
