# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.52978029004085e-05
512 0.75 3.9342704699005e-05
1024 1.5 4.51529054142962e-05
1536 2.25 4.74476198188895e-05
2048 3 4.91097868738596e-05
2560 3.75 5.17435014984847e-05
3072 4.5 5.50251802633286e-05
3584 5.25 5.854175538645e-05
4096 6 6.17822813652701e-05
4608 6.75 6.4958213060753e-05
5120 7.5 6.83297942100921e-05
5632 8.25 7.19442811421831e-05
6144 9 7.55460946956345e-05
6656 9.75 7.88304717374829e-05
7168 10.5 8.21227564927195e-05
7680 11.25 8.58580410958782e-05
8192 12 8.97423011609833e-05
8704 12.75 9.32511924446969e-05
9216 13.5 9.65943293010785e-05
9728 14.25 0.000100242891354518
10240 15 0.00010436910256371
10752 15.75 0.000108531828033757
11264 16.5 0.000112163756817467
11776 17.25 0.000115453605726201
12288 18 0.000118901042985622
12800 18.75 0.00012286896844273
13312 19.5 0.000127257458245122
13824 20.25 0.000131603979835245
14336 21 0.000135611996328142
14848 21.75 0.00013942445702033
15360 22.5 0.000143618328362514
15872 23.25 0.00014835251223812
16384 24 0.000153506832442465
16896 24.75 0.000158548407254702
17408 25.5 0.000163252048930513
17920 26.25 0.000167849978614086
18432 27 0.000172857997263839
18944 27.75 0.000178381666392154
19456 28.5 0.000184077122822808
19968 29.25 0.000189667058110603
20480 30 0.000195018197327772
20992 30.75 0.000200308773097348
21504 31.5 0.000205565479572984
22016 32.25 0.000210957812506356
22528 33 0.000216572599562868
23040 33.75 0.000222268094665248
23552 34.5 0.000227935431897962
24064 35.25 0.00023343543945423
24576 36 0.000238809069253042
25088 36.75 0.000244263277826869
25600 37.5 0.000249913374438543
26112 38.25 0.000255648729767437
26624 39 0.000261268510513301
27136 39.75 0.00026671688936199
27648 40.5 0.000272127723116487
28160 41.25 0.00027764311298479
28672 42 0.000283277548146494
29184 42.75 0.000288941659690187
29696 43.5 0.000294559583079016
30208 44.25 0.000300141105043813
30720 45 0.000305752044609972
31232 45.75 0.000311457726315884
31744 46.5 0.00031726345212831
32256 47.25 0.00032309698714597
32768 48 0.000328890492114035
33280 48.75 0.000334682637806727
33792 49.5 0.000340558516407503
34304 50.25 0.000346548975659441
34816 51 0.000352475953121297
35328 51.75 0.000358464249224934
35840 52.5 0.000364418429289909
36352 53.25 0.000370345653094708
36864 54 0.00037638488165624
37376 54.75 0.00038244957767254
37888 55.5 0.000388733730758235
38400 56.25 0.000394953552211406
38912 57 0.000400816695899612
39424 57.75 0.00040664911714982
39936 58.5 0.000412609969983571
40448 59.25 0.000418535293014781
40960 60 0.000424375118823314
41472 60.75 0.000430622556015885
41984 61.5 0.000436361429269001
42496 62.25 0.000442088656012811
43008 63 0.000447580673382388
43520 63.75 0.000453508967939228
44032 64.5 0.000459447277855056
44544 65.25 0.000465436193824818
45056 66 0.000471542270440888
45568 66.75 0.000477220173486361
46080 67.5 0.000483348052191632
46592 68.25 0.000489193442209931
47104 69 0.000495177750337044
47616 69.75 0.000501154384030844
48128 70.5 0.000507235176756163
48640 71.25 0.000513432752306043
49152 72 0.000519604720655083
49664 72.75 0.000526031061723039
50176 73.5 0.000532578717911114
50688 74.25 0.000539153744459096
51200 75 0.000545836280060902
51712 75.75 0.000552702860035796
52224 76.5 0.000559468448258423
52736 77.25 0.000566455031568031
53248 78 0.000573854939399408
53760 78.75 0.00058124928669903
54272 79.5 0.000589194918990828
54784 80.25 0.000596939396276356
55296 81 0.000604768002538548
55808 81.75 0.000613291384862488
56320 82.5 0.00062160829366965
56832 83.25 0.000630134829668993
57344 84 0.00063891426081105
57856 84.75 0.00064798772066731
58368 85.5 0.000657473612107398
58880 86.25 0.000667315677269944
59392 87 0.000677661876675726
59904 87.75 0.00068840495600157
60416 88.5 0.000699560327772426
60928 89.25 0.000711154200351635
61440 90 0.000723144946419396
61952 90.75 0.000735685451352764
62464 91.5 0.000748643432383036
62976 92.25 0.000762082261247282
63488 93 0.000775980392990422
64000 93.75 0.000790405525943325
64512 94.5 0.000805631672518416
65024 95.25 0.00082113189539063
65536 96 0.000837532313105097
66048 96.75 0.000854667842341634
66560 97.5 0.00087233786463772
67072 98.25 0.000890755216096133
67584 99 0.000910078780968179
68096 99.75 0.000930204788686163
68608 100.5 0.000951159512221577
69120 101.25 0.000973299807659543
69632 102 0.000996271894454064
70144 102.75 0.00102008539024884
70656 103.5 0.00104457960713847
71168 104.25 0.00106960663821598
71680 105 0.00109519402809734
72192 105.75 0.00112139187357397
72704 106.5 0.00114819699807571
73216 107.25 0.00117546860610837
73728 108 0.00120314213921906
74240 108.75 0.00123122429226696
74752 109.5 0.00125967912433161
75264 110.25 0.001288475838314
75776 111 0.00131760722242209
76288 111.75 0.00134706974163598
76800 112.5 0.00137689203431276
77312 113.25 0.00140708992819649
77824 114 0.00143768394568508
78336 114.75 0.00146867607637238
78848 115.5 0.00150006225327419
79360 116.25 0.00153184249877289
79872 117 0.0015640093693537
80384 117.75 0.00159655889239967
80896 118.5 0.00162948395370041
81408 119.25 0.00166278188632995
81920 120 0.0016964331833121
82432 120.75 0.00173042623802611
82944 121.5 0.00176469246391672
83456 122.25 0.00179926360523942
83968 123 0.00183411517961412
84480 123.75 0.00186922495519753
84992 124.5 0.00190458114188709
85504 125.25 0.00194018815246313
86016 126 0.00197603325600973
86528 126.75 0.00201208207581659
87040 127.5 0.0020483081677395
87552 128.25 0.00208470203543281
88064 129 0.002121249341101
88576 129.75 0.00215793082998168
89088 130.5 0.00219472331169767
89600 131.25 0.00223161400167931
90112 132 0.00226859494091947
90624 132.75 0.00230566708851574
91136 133.5 0.0023427928594642
91648 134.25 0.00237995820946771
92160 135 0.00241720442479483
92672 135.75 0.00245453582690532
93184 136.5 0.00249195305373898
93696 137.25 0.00252945481766667
94208 138 0.002567050333494
94720 138.75 0.00260475539645769
95232 139.5 0.00264257489960293
95744 140.25 0.00268049496121474
96256 141 0.00271850999962978
96768 141.75 0.00275660966925342
97280 142.5 0.00279481781734059
97792 143.25 0.00283315327575857
98304 144 0.00287160843315957
98816 144.75 0.00291016201190767
99328 145.5 0.00294880345863683
99840 146.25 0.00298754539264188
100352 147 0.00302638822223844
100864 147.75 0.00306532512925516
101376 148.5 0.00310434296519238
101888 149.25 0.00314342721832829
102400 150 0.00318256674454733
102912 150.75 0.00322174957829941
103424 151.5 0.00326093494924817
103936 152.25 0.00330009544373213
104448 153 0.00333921677166016
104960 153.75 0.00337828868858816
105472 154.5 0.00341729800759353
105984 155.25 0.00345621364987468
