# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.75 2.58670569654718e-05 2.58670569654716e-05 2.58670569654698e-05
1024 1.5 3.1668084520357e-05 3.16680845203572e-05 3.1668084520357e-05
1536 2.25 3.34952811158079e-05 3.34952811158024e-05 3.34952811157969e-05
2048 3 3.48565232773454e-05 3.48565232773479e-05 3.48565232773471e-05
2560 3.75 3.75824831874146e-05 3.75824831874186e-05 3.75824831874157e-05
3072 4.5 3.83487579097444e-05 3.83487579097546e-05 3.83487579097463e-05
3584 5.25 4.33460616022378e-05 4.33460616022376e-05 4.33460616022342e-05
4096 6 4.25290173521046e-05 4.25290173521048e-05 4.25290173521171e-05
4608 6.75 3.7881738490394e-05 3.78817384903737e-05 3.78817384903088e-05
5120 7.5 4.58067573427429e-05 4.58067573427365e-05 4.58067573427264e-05
5632 8.25 4.81436864633023e-05 4.81436864633142e-05 4.81436864632078e-05
6144 9 7.34172000330858e-05 7.34172000330824e-05 7.34172000330752e-05
6656 9.75 9.28458421509986e-05 9.28458421509644e-05 9.28458421510892e-05
7168 10.5 0.000114098723843486 0.000114098723843488 0.000114098723843561
7680 11.25 0.000122438549880045 0.000122438549880045 0.0001224385498801
8192 12 9.8306100977799e-05 9.83061009777533e-05 9.83061009777813e-05
8704 12.75 5.11331922524488e-05 5.11331922524658e-05 5.11331922528247e-05
9216 13.5 4.35309143711202e-05 4.35309143709354e-05 4.35309143708273e-05
9728 14.25 6.35590167079117e-05 6.35590167080764e-05 6.35590167075857e-05
10240 15 9.86326061612397e-05 9.86326061615759e-05 9.86326061612392e-05
10752 15.75 0.000122067409628656 0.000122067409629224 0.00012206740962895
11264 16.5 0.000114114686296859 0.00011411468629722 0.000114114686297642
11776 17.25 9.84844668616564e-05 9.84844668621737e-05 9.84844668602255e-05
12288 18 0.000134550390482246 0.000134550390482362 0.00013455039048143
12800 18.75 0.000140538958868203 0.000140538958867454 0.000140538958868379
13312 19.5 0.000116056947797 0.000116056947796102 0.000116056947797885
13824 20.25 8.87710514739267e-05 8.8771051473687e-05 8.87710514734856e-05
14336 21 7.16689733715126e-05 7.16689733705398e-05 7.16689733726468e-05
14848 21.75 9.93734012513972e-05 9.93734012512444e-05 9.93734012512539e-05
15360 22.5 0.000127128616572686 0.000127128616571877 0.000127128616573111
15872 23.25 0.000133427507008931 0.000133427507007796 0.000133427507010011
16384 24 0.000120861969761869 0.000120861969760936 0.000120861969762367
16896 24.75 9.80134778258526e-05 9.80134778267326e-05 9.80134778258749e-05
17408 25.5 7.37012389306415e-05 7.37012389310241e-05 7.37012389308074e-05
17920 26.25 6.48945402002782e-05 6.48945401999679e-05 6.48945402007357e-05
18432 27 6.10589655205228e-05 6.10589655206764e-05 6.10589655215161e-05
18944 27.75 5.39571635351992e-05 5.3957163536191e-05 5.3957163535562e-05
19456 28.5 6.78201149585767e-05 6.78201149600121e-05 6.7820114960605e-05
19968 29.25 7.7632064697824e-05 7.76320646976951e-05 7.76320646989542e-05
20480 30 8.33233041566552e-05 8.3323304155317e-05 8.33233041562898e-05
20992 30.75 8.85634731099187e-05 8.85634731091217e-05 8.85634731092952e-05
21504 31.5 8.95844667966956e-05 8.95844667965657e-05 8.95844667960397e-05
22016 32.25 8.51984533754036e-05 8.51984533757839e-05 8.51984533751343e-05
22528 33 8.27578865248177e-05 8.27578865252943e-05 8.27578865249294e-05
23040 33.75 8.83601071307933e-05 8.83601071308473e-05 8.83601071305608e-05
23552 34.5 9.56294637914728e-05 9.56294637916543e-05 9.56294637917413e-05
24064 35.25 9.53617211835021e-05 9.53617211843996e-05 9.53617211852994e-05
24576 36 8.64928857923276e-05 8.64928857935238e-05 8.64928857934907e-05
25088 36.75 7.78288304616888e-05 7.78288304621338e-05 7.7828830460538e-05
25600 37.5 7.46020608328326e-05 7.46020608319799e-05 7.46020608313804e-05
26112 38.25 7.49623809473463e-05 7.49623809449732e-05 7.49623809470038e-05
26624 39 7.60871626135303e-05 7.60871626117185e-05 7.60871626132836e-05
27136 39.75 7.74289026948154e-05 7.74289026954155e-05 7.74289026947902e-05
27648 40.5 7.89018585336968e-05 7.89018585355001e-05 7.89018585342253e-05
28160 41.25 7.98387484305249e-05 7.98387484309415e-05 7.98387484305565e-05
