# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.75 -2.33702201225544e-05 -2.33702201225565e-05 -2.33702201225567e-05
1024 1.5 -2.82589504770449e-05 -2.82589504770472e-05 -2.82589504770496e-05
1536 2.25 -3.30835851433457e-05 -3.30835851433435e-05 -3.30835851433408e-05
2048 3 -5.13107159583088e-05 -5.13107159582989e-05 -5.13107159582892e-05
2560 3.75 -5.19562488633293e-05 -5.19562488633266e-05 -5.19562488633244e-05
3072 4.5 -6.35822960164157e-05 -6.35822960164221e-05 -6.35822960164189e-05
3584 5.25 -5.74852889633929e-05 -5.74852889633925e-05 -5.74852889634414e-05
4096 6 -4.23021952409676e-05 -4.23021952409646e-05 -4.23021952409106e-05
4608 6.75 -4.89718760669117e-05 -4.89718760669194e-05 -4.89718760669267e-05
5120 7.5 -4.63394825598539e-05 -4.63394825598932e-05 -4.63394825598598e-05
5632 8.25 -6.7979038816005e-05 -6.7979038816015e-05 -6.79790388160132e-05
6144 9 -8.4852775068172e-05 -8.48527750682755e-05 -8.48527750681391e-05
6656 9.75 -7.63216384638368e-05 -7.63216384637644e-05 -7.63216384638588e-05
7168 10.5 -5.94875659161476e-05 -5.94875659161635e-05 -5.94875659159414e-05
7680 11.25 -5.02442031040389e-05 -5.02442031036281e-05 -5.02442031037999e-05
8192 12 -4.92203906796131e-05 -4.92203906793995e-05 -4.92203906791942e-05
8704 12.75 -4.76470822111012e-05 -4.76470822109173e-05 -4.76470822108366e-05
9216 13.5 -5.93230598265067e-05 -5.93230598262604e-05 -5.93230598259224e-05
9728 14.25 -6.71503782859702e-05 -6.71503782854678e-05 -6.71503782855418e-05
10240 15 -6.16766432380397e-05 -6.16766432378915e-05 -6.16766432381216e-05
10752 15.75 -7.08919589633542e-05 -7.08919589627625e-05 -7.08919589633031e-05
11264 16.5 -8.98631584946498e-05 -8.98631584941251e-05 -8.98631584947648e-05
11776 17.25 -9.63999695859498e-05 -9.63999695857267e-05 -9.6399969586028e-05
12288 18 -8.91600240143406e-05 -8.91600240142316e-05 -8.91600240142121e-05
12800 18.75 -6.88723807082933e-05 -6.88723807086167e-05 -6.88723807082326e-05
13312 19.5 -6.13459165380021e-05 -6.13459165380768e-05 -6.13459165380345e-05
13824 20.25 -6.22459016742177e-05 -6.22459016741102e-05 -6.22459016741904e-05
14336 21 -6.15944057832691e-05 -6.15944057827473e-05 -6.15944057830412e-05
14848 21.75 -6.59848216366824e-05 -6.59848216368031e-05 -6.59848216366923e-05
15360 22.5 -6.48802532818606e-05 -6.48802532813778e-05 -6.48802532814013e-05
15872 23.25 -6.80986584980401e-05 -6.80986584979007e-05 -6.80986584978924e-05
16384 24 -8.01204375349896e-05 -8.01204375355126e-05 -8.01204375359364e-05
16896 24.75 -8.37829267742379e-05 -8.37829267739233e-05 -8.37829267742627e-05
17408 25.5 -7.99769096146375e-05 -7.99769096151354e-05 -7.99769096148667e-05
17920 26.25 -9.10796109580354e-05 -9.10796109579189e-05 -9.10796109580599e-05
18432 27 -9.26423626375313e-05 -9.26423626366197e-05 -9.26423626371571e-05
18944 27.75 -8.22899994414786e-05 -8.22899994409114e-05 -8.22899994413456e-05
19456 28.5 -7.29405476326349e-05 -7.29405476326164e-05 -7.29405476325645e-05
19968 29.25 -7.39652731436637e-05 -7.39652731439874e-05 -7.39652731437538e-05
20480 30 -7.9865235987722e-05 -7.98652359872798e-05 -7.98652359873321e-05
20992 30.75 -8.68834001752941e-05 -8.68834001750414e-05 -8.68834001755299e-05
21504 31.5 -9.21585702258656e-05 -9.21585702260728e-05 -9.21585702262719e-05
22016 32.25 -9.55271837401119e-05 -9.55271837405718e-05 -9.55271837403015e-05
22528 33 -9.86717379335823e-05 -9.86717379342352e-05 -9.86717379338274e-05
23040 33.75 -0.000103712602179118 -0.000103712602179515 -0.000103712602179193
23552 34.5 -0.000108883650905015 -0.000108883650904544 -0.000108883650904891
24064 35.25 -0.000109846914402032 -0.000109846914401119 -0.000109846914402201
24576 36 -0.000106355108428315 -0.000106355108427875 -0.000106355108428969
25088 36.75 -0.000104255317693831 -0.000104255317694157 -0.000104255317694395
25600 37.5 -0.000108172564180902 -0.000108172564181456 -0.000108172564181088
26112 38.25 -0.000116049807689957 -0.000116049807690271 -0.000116049807689763
26624 39 -0.000122128090289317 -0.00012212809028912 -0.000122128090288298
