# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.75 3.80660869774963e-07 3.80660869774986e-07 3.80660869775004e-07
1024 1.5 7.88690024952887e-07 7.88690024952852e-07 7.8869002495282e-07
1536 2.25 1.15758618965143e-06 1.15758618965142e-06 1.15758618965141e-06
2048 3 1.23580321220087e-06 1.23580321220085e-06 1.23580321220084e-06
2560 3.75 1.3365432627277e-06 1.33654326272771e-06 1.33654326272777e-06
3072 4.5 1.34924634957066e-06 1.34924634957077e-06 1.34924634957103e-06
3584 5.25 1.46869764054295e-06 1.46869764054286e-06 1.46869764054285e-06
4096 6 1.37506535640366e-06 1.37506535640411e-06 1.37506535640424e-06
4608 6.75 1.38289512990785e-06 1.38289512990789e-06 1.38289512990755e-06
5120 7.5 1.4097521584244e-06 1.40975215842471e-06 1.40975215842338e-06
5632 8.25 1.47242368996493e-06 1.47242368996481e-06 1.47242368996296e-06
6144 9 1.4866595951611e-06 1.48665959515944e-06 1.4866595951581e-06
6656 9.75 1.5130878708539e-06 1.51308787085186e-06 1.51308787085014e-06
7168 10.5 1.47455822161597e-06 1.47455822161482e-06 1.47455822161678e-06
7680 11.25 1.42840134147918e-06 1.4284013414769e-06 1.42840134147422e-06
8192 12 1.430501345233e-06 1.43050134523524e-06 1.43050134523552e-06
8704 12.75 1.45040407060645e-06 1.45040407060811e-06 1.45040407061359e-06
9216 13.5 1.49155558234001e-06 1.49155558234663e-06 1.49155558234305e-06
9728 14.25 1.57673185881418e-06 1.57673185882224e-06 1.57673185881839e-06
10240 15 1.70739504101657e-06 1.70739504101232e-06 1.70739504101674e-06
10752 15.75 1.74803504776568e-06 1.74803504777089e-06 1.74803504776866e-06
11264 16.5 1.73075257530909e-06 1.73075257531681e-06 1.73075257532193e-06
11776 17.25 1.64802730094606e-06 1.6480273009443e-06 1.64802730094341e-06
12288 18 1.72448549957169e-06 1.72448549956671e-06 1.7244854995648e-06
12800 18.75 1.80084110015918e-06 1.80084110016181e-06 1.80084110017165e-06
13312 19.5 1.79415542938958e-06 1.79415542939703e-06 1.79415542939179e-06
13824 20.25 1.81005064897771e-06 1.81005064898042e-06 1.81005064898636e-06
14336 21 1.85575032436936e-06 1.8557503243737e-06 1.85575032436485e-06
14848 21.75 1.89945590603698e-06 1.89945590603773e-06 1.89945590603589e-06
15360 22.5 1.95677585788415e-06 1.95677585788527e-06 1.95677585789252e-06
