# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:13:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.13.29-402137
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.75 2.58670569654718e-05 2.58670569654716e-05 2.58670569654698e-05
1024 1.5 3.1668084520357e-05 3.16680845203572e-05 3.1668084520357e-05
1536 2.25 3.34952811158079e-05 3.34952811158024e-05 3.34952811157969e-05
2048 3 5.13107159583088e-05 5.13107159582989e-05 5.13107159582892e-05
2560 3.75 5.19562488633293e-05 5.19562488633266e-05 5.19562488633244e-05
3072 4.5 6.35822960164157e-05 6.35822960164221e-05 6.35822960164189e-05
3584 5.25 5.74852889633929e-05 5.74852889633925e-05 5.74852889634414e-05
4096 6 4.25290173521046e-05 4.25290173521048e-05 4.25290173521171e-05
4608 6.75 4.89718760669117e-05 4.89718760669194e-05 4.89718760669267e-05
5120 7.5 4.63394825598539e-05 4.63394825598932e-05 4.63394825598598e-05
5632 8.25 6.7979038816005e-05 6.7979038816015e-05 6.79790388160132e-05
6144 9 8.4852775068172e-05 8.48527750682755e-05 8.48527750681391e-05
6656 9.75 9.28458421509986e-05 9.28458421509644e-05 9.28458421510892e-05
7168 10.5 0.000114098723843486 0.000114098723843488 0.000114098723843561
7680 11.25 0.000122438549880045 0.000122438549880045 0.0001224385498801
8192 12 9.8306100977799e-05 9.83061009777533e-05 9.83061009777813e-05
8704 12.75 5.11331922524488e-05 5.11331922524658e-05 5.11331922528247e-05
9216 13.5 5.93230598265067e-05 5.93230598262604e-05 5.93230598259224e-05
9728 14.25 6.71503782859702e-05 6.71503782854678e-05 6.71503782855418e-05
10240 15 9.86326061612397e-05 9.86326061615759e-05 9.86326061612392e-05
10752 15.75 0.000122067409628656 0.000122067409629224 0.00012206740962895
11264 16.5 0.000114114686296859 0.00011411468629722 0.000114114686297642
11776 17.25 9.84844668616564e-05 9.84844668621737e-05 9.84844668602255e-05
12288 18 0.000134550390482246 0.000134550390482362 0.00013455039048143
12800 18.75 0.000140538958868203 0.000140538958867454 0.000140538958868379
13312 19.5 0.000116056947797 0.000116056947796102 0.000116056947797885
13824 20.25 8.87710514739267e-05 8.8771051473687e-05 8.87710514734856e-05
14336 21 7.16689733715126e-05 7.16689733705398e-05 7.16689733726468e-05
14848 21.75 9.93734012513972e-05 9.93734012512444e-05 9.93734012512539e-05
15360 22.5 0.000127128616572686 0.000127128616571877 0.000127128616573111
15872 23.25 0.000133427507008931 0.000133427507007796 0.000133427507010011
16384 24 0.000120861969761869 0.000120861969760936 0.000120861969762367
16896 24.75 9.80134778258526e-05 9.80134778267326e-05 9.80134778258749e-05
17408 25.5 7.99769096146375e-05 7.99769096151354e-05 7.99769096148667e-05
17920 26.25 9.10796109580354e-05 9.10796109579189e-05 9.10796109580599e-05
18432 27 9.26423626375313e-05 9.26423626366197e-05 9.26423626371571e-05
18944 27.75 8.22899994414786e-05 8.22899994409114e-05 8.22899994413456e-05
19456 28.5 7.29405476326349e-05 7.29405476326164e-05 7.29405476325645e-05
19968 29.25 7.7632064697824e-05 7.76320646976951e-05 7.76320646989542e-05
20480 30 8.33233041566552e-05 8.3323304155317e-05 8.33233041562898e-05
20992 30.75 8.85634731099187e-05 8.85634731091217e-05 8.85634731092952e-05
21504 31.5 9.21585702258656e-05 9.21585702260728e-05 9.21585702262719e-05
22016 32.25 9.55271837401119e-05 9.55271837405718e-05 9.55271837403015e-05
22528 33 9.86717379335823e-05 9.86717379342352e-05 9.86717379338274e-05
23040 33.75 0.000103712602179118 0.000103712602179515 0.000103712602179193
23552 34.5 0.000108883650905015 0.000108883650904544 0.000108883650904891
24064 35.25 0.000109846914402032 0.000109846914401119 0.000109846914402201
24576 36 0.000106355108428315 0.000106355108427875 0.000106355108428969
25088 36.75 0.000104255317693831 0.000104255317694157 0.000104255317694395
25600 37.5 0.000108172564180902 0.000108172564181456 0.000108172564181088
26112 38.25 0.000116049807689957 0.000116049807690271 0.000116049807689763
26624 39 0.000122128090289317 0.00012212809028912 0.000122128090288298
27136 39.75 0.000121990397403223 0.000121990397402663 0.000121990397401713
27648 40.5 0.000114693402910522 0.000114693402910057 0.000114693402909974
28160 41.25 0.00010368196516279 0.000103681965163126 0.000103681965163586
28672 42 9.54434743092044e-05 9.54434743092571e-05 9.54434743102422e-05
29184 42.75 9.37607318666957e-05 9.37607318661174e-05 9.37607318669332e-05
