# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.5 0.966884141513851
1024 1 0.966891919746972
1536 1.5 0.966899267429123
2048 2 0.96690729298555
2560 2.5 0.966915662729129
3072 3 0.966924064392414
3584 3.5 0.966932585276906
4096 4 0.96694128440886
4608 4.5 0.966950141093017
5120 5 0.966959130753755
5632 5.5 0.966968260804103
6144 6 0.96697755502245
6656 6.5 0.966987009618371
7168 7 0.966996606245822
7680 7.5 0.967006347837615
8192 8 0.967016245734971
8704 8.5 0.967026296690252
9216 9 0.967036492282801
9728 9.5 0.967046832626872
10240 10 0.967057322185159
10752 10.5 0.96706795969734
11264 11 0.96707873875911
11776 11.5 0.967089656905442
12288 12 0.967100715711179
12800 12.5 0.967111912726231
13312 13 0.96712324163886
13824 13.5 0.96713469854381
14336 14 0.967146281798572
14848 14.5 0.967157987388711
15360 15 0.967169808485288
15872 15.5 0.967181739005742
16384 16 0.967193774542702
16896 16.5 0.967205909229582
17408 17 0.96721813462827
17920 17.5 0.967230442498376
18432 18 0.967242825748154
18944 18.5 0.967255276110016
19456 19 0.967267783296035
19968 19.5 0.967280336811255
20480 20 0.967292926840329
20992 20.5 0.96730554285018
21504 21 0.967318172669151
22016 21.5 0.967330803719817
22528 22 0.967343424005205
23040 22.5 0.96735602113857
23552 23 0.967368581811187
24064 23.5 0.967381093055844
24576 24 0.967393541623784
25088 24.5 0.967405909057271
25600 25 0.967418171928019
26112 25.5 0.967430321803435
26624 26 0.967442384475838
27136 26.5 0.967454375250016
27648 27 0.96746621682745
28160 27.5 0.967477843314148
28672 28 0.96748958121044
29184 28.5 0.967502299322147
29696 29 0.967516784988609
30208 29.5 0.967533021047715
30720 30 0.967550619662846
31232 30.5 0.967569883315361
31744 31 0.967591661306181
32256 31.5 0.967616310209456
32768 32 0.967643755946983
33280 32.5 0.967674207594217
33792 33 0.967707646658723
34304 33.5 0.967743107712233
34816 34 0.967779457763488
35328 34.5 0.9678162501394
35840 35 0.967853323219503
36352 35.5 0.967890182298694
36864 36 0.967925602520462
37376 36.5 0.967957803638731
37888 37 0.967986112024879
38400 37.5 0.968011688286473
38912 38 0.968035076331387
39424 38.5 0.968054892945755
39936 39 0.968070400313034
40448 39.5 0.968082698789973
40960 40 0.968092505355306
41472 40.5 0.9680995229564
41984 41 0.968104135291952
42496 41.5 0.968107648304446
43008 42 0.968111108959529
43520 42.5 0.968114754936635
44032 43 0.968118326116177
44544 43.5 0.968121753255609
45056 44 0.968125314294356
45568 44.5 0.968129046498169
46080 45 0.96813261638582
46592 45.5 0.968135762280942
47104 46 0.968138636969558
47616 46.5 0.968141918983136
48128 47 0.968145986315951
48640 47.5 0.96814998968291
49152 48 0.968153111353581
49664 48.5 0.968156015778534
