# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669908952884691
1024 1 0.670053565308207
1536 1.5 0.670290651542589
2048 2 0.670599403338251
2560 2.5 0.670949031327603
3072 3 0.671308748921516
3584 3.5 0.67165492298969
4096 4 0.67197190896356
4608 4.5 0.672247706049856
5120 5 0.672468544490555
5632 5.5 0.672618718896091
6144 6 0.672687088008812
6656 6.5 0.672674312462532
7168 7 0.672593928293511
7680 7.5 0.672467445010778
8192 8 0.672318081802306
8704 8.5 0.672165638114167
9216 9 0.672020215919346
9728 9.5 0.671874700981375
10240 10 0.671705386449043
10752 10.5 0.671490324874585
11264 11 0.671234597192327
11776 11.5 0.67097298806464
12288 12 0.670737919216149
12800 12.5 0.670526341009942
13312 13 0.670308859330927
13824 13.5 0.670070109164182
14336 14 0.669824721245453
14848 14.5 0.669588476080261
15360 15 0.669351434964025
15872 15.5 0.669094568117982
16384 16 0.668821602387873
16896 16.5 0.668554342058229
17408 17 0.668299001679672
17920 17.5 0.668036461934469
18432 18 0.667750311230247
18944 18.5 0.667449265954732
19456 19 0.667153171827747
19968 19.5 0.666867448378146
20480 20 0.666582331138187
20992 20.5 0.666292516443368
21504 21 0.6660073988598
22016 21.5 0.665742128426366
22528 22 0.665505777755113
23040 22.5 0.665299653276405
23552 23 0.665120840661347
24064 23.5 0.664961731442137
24576 24 0.664806601302011
25088 24.5 0.664633967446211
25600 25 0.664428644337542
26112 25.5 0.664194963987886
26624 26 0.663956252953324
27136 26.5 0.663736324063171
27648 27 0.663538728392389
28160 27.5 0.663344774117763
28672 28 0.663131960028705
29184 28.5 0.662892981837611
29696 29 0.662638027216185
30208 29.5 0.662383006372011
30720 30 0.662136921020785
31232 30.5 0.661896036931662
31744 31 0.661646290541443
32256 31.5 0.6613740367135
32768 32 0.661079618748252
33280 32.5 0.660780595537175
33792 33 0.660497645567482
34304 33.5 0.660235308073172
34816 34 0.659977869112022
35328 34.5 0.659705119455242
35840 35 0.659411779647849
36352 35.5 0.659111975464275
36864 36 0.658825927772619
37376 36.5 0.658561781050727
37888 37 0.658308519268143
38400 37.5 0.658046290416332
38912 38 0.657765449763312
39424 38.5 0.65747657535668
39936 39 0.657200580222542
40448 39.5 0.65694745746913
40960 40 0.656705331168352
41472 40.5 0.656452450719223
41984 41 0.656180474463929
42496 41.5 0.655903638070549
43008 42 0.65564265171865
43520 42.5 0.655400994204929
44032 43 0.655161316235967
44544 43.5 0.654906456718386
45056 44 0.654639407244969
45568 44.5 0.654377681468627
46080 45 0.654130211560267
46592 45.5 0.65388711711653
47104 46 0.653634725109935
47616 46.5 0.65337422669109
48128 47 0.653118614277251
48640 47.5 0.652873471557539
49152 48 0.652629184419259
49664 48.5 0.652375105982892
50176 49 0.652115215755583
50688 49.5 0.651863266843547
51200 50 0.651624225759015
51712 50.5 0.651387369698905
52224 51 0.651140203295619
52736 51.5 0.650884620490015
53248 52 0.650634353188922
53760 52.5 0.650397491030181
54272 53 0.650166682021178
54784 53.5 0.649928908853095
55296 54 0.649681509277538
