# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.4125237402058e-07 -9.41252374020655e-07 -9.41252374020657e-07
1024 1 -3.64594770451992e-06 -3.6459477045201e-06 -3.64594770452011e-06
1536 1.5 -5.94525998785937e-06 -5.94525998785936e-06 -5.94525998785936e-06
2048 2 -6.5206159430891e-06 -6.52061594308919e-06 -6.52061594308912e-06
2560 2.5 -7.89705541619792e-06 -7.89705541619802e-06 -7.89705541619803e-06
3072 3 -1.40902752980101e-05 -1.40902752980102e-05 -1.40902752980102e-05
3584 3.5 -1.83800945840587e-05 -1.83800945840587e-05 -1.83800945840587e-05
4096 4 -2.00685035679884e-05 -2.00685035679884e-05 -2.00685035679884e-05
4608 4.5 -2.31734277772595e-05 -2.31734277772594e-05 -2.31734277772613e-05
5120 5 -2.7407426493052e-05 -2.74074264930528e-05 -2.74074264930536e-05
5632 5.5 -3.08943105224049e-05 -3.08943105224042e-05 -3.08943105223923e-05
6144 6 -3.24789955391947e-05 -3.24789955392003e-05 -3.24789955391725e-05
6656 6.5 -3.27232122662435e-05 -3.27232122662548e-05 -3.27232122662443e-05
7168 7 -3.17412900286523e-05 -3.17412900286448e-05 -3.17412900286407e-05
7680 7.5 -3.26922492214015e-05 -3.26922492213652e-05 -3.26922492213506e-05
8192 8 -3.16799054064437e-05 -3.16799054064498e-05 -3.16799054064519e-05
8704 8.5 -3.17812341707928e-05 -3.1781234170743e-05 -3.17812341708403e-05
9216 9 -3.04889225793732e-05 -3.04889225793866e-05 -3.04889225792157e-05
9728 9.5 -3.00813894137559e-05 -3.00813894136106e-05 -3.00813894138101e-05
10240 10 -2.92307808759324e-05 -2.92307808759771e-05 -2.92307808757483e-05
10752 10.5 -2.84062611575707e-05 -2.84062611575915e-05 -2.84062611575093e-05
11264 11 -2.54650270378253e-05 -2.54650270378738e-05 -2.5465027037761e-05
11776 11.5 -2.21142103225084e-05 -2.21142103223386e-05 -2.21142103223314e-05
12288 12 -1.99980464903746e-05 -1.99980464904106e-05 -1.99980464904171e-05
12800 12.5 -2.07442809482956e-05 -2.07442809482444e-05 -2.07442809480857e-05
13312 13 -1.98631772612585e-05 -1.98631772615717e-05 -1.98631772612149e-05
13824 13.5 -1.9180841594723e-05 -1.91808415947855e-05 -1.91808415946981e-05
14336 14 -1.87695966970114e-05 -1.87695966971761e-05 -1.8769596696922e-05
14848 14.5 -1.82982071040416e-05 -1.82982071040568e-05 -1.82982071039331e-05
15360 15 -1.79978448451906e-05 -1.79978448451625e-05 -1.79978448451181e-05
15872 15.5 -1.73948470030002e-05 -1.7394847002826e-05 -1.73948470028404e-05
16384 16 -1.71859797462416e-05 -1.71859797457235e-05 -1.71859797457387e-05
16896 16.5 -1.64058550066153e-05 -1.64058550064743e-05 -1.64058550066342e-05
17408 17 -1.60121282292457e-05 -1.60121282291037e-05 -1.6012128229047e-05
17920 17.5 -1.60137767063339e-05 -1.60137767063595e-05 -1.60137767064256e-05
18432 18 -1.57698720574787e-05 -1.57698720573771e-05 -1.57698720574627e-05
18944 18.5 -1.59278119485075e-05 -1.592781194852e-05 -1.59278119483568e-05
19456 19 -1.60238205938563e-05 -1.60238205938937e-05 -1.6023820593969e-05
19968 19.5 -1.57904129774504e-05 -1.57904129775822e-05 -1.57904129774643e-05
20480 20 -1.56713968952613e-05 -1.56713968955779e-05 -1.5671396895465e-05
20992 20.5 -1.58586029988583e-05 -1.58586029989537e-05 -1.58586029989019e-05
21504 21 -1.57512251797666e-05 -1.57512251799541e-05 -1.57512251799757e-05
22016 21.5 -1.5182358431364e-05 -1.51823584310845e-05 -1.51823584313586e-05
22528 22 -1.48475466887091e-05 -1.48475466886352e-05 -1.48475466885632e-05
23040 22.5 -1.4326831491883e-05 -1.43268314918222e-05 -1.43268314917894e-05
23552 23 -1.40131061073727e-05 -1.40131061074192e-05 -1.40131061073531e-05
24064 23.5 -1.34526848773356e-05 -1.34526848771607e-05 -1.34526848771354e-05
24576 24 -1.27309366007701e-05 -1.27309366006264e-05 -1.27309366006235e-05
25088 24.5 -1.21413605838152e-05 -1.21413605837543e-05 -1.21413605837434e-05
25600 25 -1.17256316233269e-05 -1.17256316233516e-05 -1.17256316232722e-05
26112 25.5 -1.13164944116793e-05 -1.13164944115679e-05 -1.1316494411642e-05
26624 26 -1.09364538671676e-05 -1.09364538672933e-05 -1.09364538672198e-05
27136 26.5 -1.0572580223789e-05 -1.05725802239046e-05 -1.05725802237171e-05
27648 27 -1.01931159275937e-05 -1.01931159275522e-05 -1.01931159274698e-05
28160 27.5 -9.87243162030224e-06 -9.87243162018563e-06 -9.87243162016936e-06
28672 28 -9.62683360546623e-06 -9.62683360554289e-06 -9.62683360555159e-06
