# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 8.8132848739624 0 0.226450443267822 0 8.64384841918945 0 0 0 0 0 0 0 0 0 9.08367345726156 13281.7280827406 0 13281.7280827406 160 427091 2003 425088 0 0 0 0 8.81105422973633 1752353270.00391 266
512 0.5 2873.52715383781 2873.52715383781 9.5070948600769 0.626407861709595 0.854329109191895 0 8.65581393241882 3 382064.170374275 382064.170374275 239328 239328 187583.852602532 187583.852602532 117504 117504 21.0337371009246 50736.8409869523 1609.42759817295 49127.4133887794 186 439210 14122 425088 0 0 0 0 9.49494528770447 1752353270.69772 905
1024 1 2513.74731198996 2513.74731198996 10.3128118515015 1.43212485313416 1.61697053909302 0 8.72207689285278 6 334227.842602185 334227.842602185 478656 478656 164097.424526705 164097.424526705 235008 235008 28.0593896822642 51244.1503922271 1763.94663252561 49480.2037597015 284 454443 15531 438912 0 0 0 0 10.2910091876984 1752353271.50344 1544
1536 1.5 2645.85783802929 2645.85783802929 10.9216129779816 2.04092597961426 2.19172787666321 0 8.73384428024292 9 351793.258144375 351793.258144375 717984 717984 172721.599666552 172721.599666552 352512 352512 35.0520077238805 52193.1267951271 1916.1764222388 50276.9503728883 310 455840 16928 438912 0 0 0 0 10.8907747268677 1752353272.11224 2183
2048 2 2714.38360486168 2714.38360486168 11.5332229137421 2.65253591537476 2.73053455352783 0 8.86459612846375 12 360904.444102409 360904.444102409 957312 957312 177194.96172537 177194.96172537 470016 470016 46.576680125709 64880.7474068184 2063.57413288659 62817.1732739318 492 882353 18353 864000 0 0 0 0 11.4928555488586 1752353272.72385 2822
2560 2.5 2704.99833789305 2704.99833789305 12.2078609466553 3.32717394828796 3.3340756893158 0 8.87610220909119 15 359656.57900626 359656.57900626 1196640 1196640 176582.291497658 176582.291497658 587520 587520 57.9234210761267 99567.6562343252 2202.21691569974 97365.4393186254 518 883743 19743 864000 0 0 0 0 12.1582937240601 1752353273.39849 3461
3072 3 2759.66470595976 2759.66470595976 12.794205904007 3.91351890563965 3.88277339935303 0 8.94276189804077 18 366925.01930441 366925.01930441 1435968 1435968 180150.912005053 180150.912005053 705024 705024 64.6360727861865 99889.7763670566 2353.9425327011 97535.8338343555 616 898994 21170 877824 0 0 0 0 12.7349371910095 1752353273.98483 4100
3584 3.5 2774.2501281526 2774.2501281526 13.4224548339844 4.54176783561707 4.46754884719849 0 8.95725703239441 21 368864.29703917 368864.29703917 1675296 1675296 181103.048365802 181103.048365802 822528 822528 71.245862429092 100524.115086003 2496.95530394122 98027.1597820616 642 900384 22560 877824 0 0 0 0 13.3539218902588 1752353274.61308 4739
4096 4 2787.15653721306 2787.15653721306 14.0472428798676 5.16655588150024 5.02939391136169 0 9.07201814651489 24 370580.333187849 370580.333187849 1914624 1914624 181945.578749269 181945.578749269 940032 940032 82.2812627037088 112627.745657209 2637.8796188623 109989.866038346 824 1326891 23979 1302912 0 0 0 0 13.9689395427704 1752353275.23787 5378
4608 4.5 2780.10596752237 2780.10596752237 14.7078030109406 5.82711601257324 5.62794923782349 0 9.0821897983551 27 369642.889441774 369642.889441774 2153952 2153952 181485.31755986 181485.31755986 1057536 1057536 93.1733066566305 146267.003102196 2772.1812078653 143494.821894331 850 1328284 25372 1302912 0 0 0 0 14.6203389167786 1752353275.89843 6017
