# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00369896286364425
1024 1 0.00369145805908542
1536 1.5 0.00368473095357563
2048 2 0.00367871080863666
2560 2.5 0.00367340385839152
3072 3 0.00366894476163348
3584 3.5 0.00366545568756955
4096 4 0.00366305634945571
4608 4.5 0.00366248737877515
5120 5 0.00366417412436498
5632 5.5 0.0036677844051267
6144 6 0.00367258052110798
6656 6.5 0.00367837601222363
7168 7 0.00368505717362586
7680 7.5 0.00369252675613242
8192 8 0.00370069315416058
8704 8.5 0.00370944926861241
9216 9 0.0037186558140551
9728 9.5 0.00372815111385482
10240 10 0.00373779118901984
10752 10.5 0.00374748937269925
11264 11 0.00375692932440515
11776 11.5 0.00376580746737441
12288 12 0.00377413749671557
12800 12.5 0.00378191285891787
13312 13 0.00378912833947051
13824 13.5 0.00379583518330461
14336 14 0.00380229377169421
14848 14.5 0.00380874296642998
15360 15 0.00381536914079225
15872 15.5 0.00382233960081043
16384 16 0.00382982560188474
16896 16.5 0.00383797120687005
17408 17 0.00384684564353091
17920 17.5 0.0038564365308067
18432 18 0.0038666267540488
18944 18.5 0.00387734756446649
19456 19 0.00388854792491932
19968 19.5 0.0039001441278042
20480 20 0.00391202994161827
20992 20.5 0.00392410171392801
21504 21 0.00393626908417815
22016 21.5 0.00394844796675301
22528 22 0.0039605509324304
23040 22.5 0.00397248585593726
23552 23 0.00398416252532326
24064 23.5 0.00399550015465522
24576 24 0.00400644818988704
25088 24.5 0.00401699577773497
25600 25 0.00402717310757037
26112 25.5 0.00403705273970045
26624 26 0.00404673447910771
27136 26.5 0.00405630875499324
27648 27 0.00406581881711535
28160 27.5 0.0040752543363946
28672 28 0.00408458288930225
29184 28.5 0.00409378806890944
29696 29 0.00410288029628101
30208 29.5 0.00411188028009536
30720 30 0.00412079830704491
31232 30.5 0.0041296222207597
31744 31 0.00413832179576711
32256 31.5 0.00414686491074013
32768 32 0.0041552367842838
33280 32.5 0.0041634487191466
33792 33 0.00417152643422831
34304 33.5 0.00417948690956711
34816 34 0.0041873268364014
35328 34.5 0.00419503540421101
35840 35 0.00420261913986366
36352 35.5 0.00421011384157716
36864 36 0.00421757091735998
37376 36.5 0.00422503000604077
37888 37 0.00423250352319403
38400 37.5 0.0042399883117025
38912 38 0.00424749291239155
39424 38.5 0.00425505166556695
39936 39 0.00426270916528026
40448 39.5 0.00427049077696459
40960 40 0.00427839157647239
41472 40.5 0.00428639667841698
41984 41 0.00429451034360233
42496 41.5 0.00430275994163822
43008 42 0.0043111696614271
43520 42.5 0.00431973534445482
44032 43 0.00432843096749411
44544 43.5 0.00433723921521032
45056 44 0.00434616819803448
45568 44.5 0.00435523298940565
46080 45 0.00436442641529298
46592 45.5 0.00437371808156735
47104 46 0.00438308361238011
47616 46.5 0.00439252413617732
48128 47 0.00440205011283262
48640 47.5 0.0044116530586152
49152 48 0.00442130541220408
49664 48.5 0.00443098896342581
50176 49 0.00444071298516839
50688 49.5 0.00445049863022105
51200 50 0.00446035218900437
51712 50.5 0.00447026285059389
52224 51 0.00448022600723988
52736 51.5 0.00449025960494262
53248 52 0.004500392089092
53760 52.5 0.00451064133580059
54272 53 0.00452101015751702
54784 53.5 0.00453149588233553
55296 54 0.00454210416441589
55808 54.5 0.0045528429213612
56320 55 0.00456370674922408
56832 55.5 0.00457467280935506
57344 56 0.00458571086104495
57856 56.5 0.0045967915647603
58368 57 0.00460788364857278
58880 57.5 0.00461894939203373
59392 58 0.00462994982794352
59904 58.5 0.00464085411834106
60416 59 0.00465163897004707
60928 59.5 0.00466227580164456
61440 60 0.00467272093361547
61952 60.5 0.00468285760631584
62464 61 0.00469262102334414
62976 61.5 0.00470200002492171
63488 62 0.00471098633436498
64000 62.5 0.00471957544709911
64512 63 0.00472776976012973
65024 63.5 0.00473557744260589
65536 64 0.00474300838950738
66048 64.5 0.00475007213383812
66560 65 0.00475677784634297
67072 65.5 0.00476313255069759
67584 66 0.00476913769836734
68096 66.5 0.00477478955782701
68608 67 0.00478008571533951
69120 67.5 0.00478503181181433
69632 68 0.00478964129081389
70144 68.5 0.00479392857753755
70656 69 0.00479790246898027
71168 69.5 0.00480156447399737
71680 70 0.00480491131794801
