# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000155647998163655
512 0.5 0.000154951716556839
1024 1 0.000154304032973817
1536 1.5 0.000153709614204128
2048 2 0.00015316588927439
2560 2.5 0.000152677544983173
3072 3 0.000152259148579844
3584 3.5 0.000151922589375169
4096 4 0.000151678227990849
4608 4.5 0.000151587484324144
5120 5 0.000151686284468296
5632 5.5 0.000151948577783839
6144 6 0.000152314162446582
6656 6.5 0.000152766593239751
7168 7 0.00015329347489488
7680 7.5 0.000153882869818032
8192 8 0.000154524017625688
8704 8.5 0.000155206962039582
9216 9 0.000155921721944691
9728 9.5 0.000156658427490481
10240 10 0.000157408562512152
10752 10.5 0.000158165516393978
11264 11 0.000158899132885979
11776 11.5 0.00015957847844458
12288 12 0.000160202481093712
12800 12.5 0.000160773441560568
13312 13 0.000161295006796528
13824 13.5 0.000161771650443749
14336 14 0.000162222081685496
14848 14.5 0.000162665025061391
15360 15 0.000163118922027705
15872 15.5 0.00016360049942242
16384 16 0.000164122523444746
16896 16.5 0.000164693733221297
17408 17 0.000165320269427212
17920 17.5 0.000166005065417076
18432 18 0.000166740420834437
18944 18.5 0.00016751840841885
19456 19 0.000168331598664976
19968 19.5 0.00016917259287069
20480 20 0.000170034036346805
20992 20.5 0.000170907402558015
21504 21 0.000171783000407235
22016 21.5 0.000172651457402177
22528 22 0.000173504737352858
23040 22.5 0.000174335846714384
23552 23 0.000175138488336357
24064 23.5 0.00017590766802261
24576 24 0.000176642015121009
25088 24.5 0.000177344017513352
25600 25 0.00017801787271795
26112 25.5 0.000178667625917308
26624 26 0.000179296997116696
27136 26.5 0.000179910429639186
27648 27 0.000180513158122
28160 27.5 0.000181109430400197
28672 28 0.000181700670592
29184 28.5 0.000182285639287765
29696 29 0.000182862259450734
30208 29.5 0.000183429261852589
30720 30 0.000183986651003333
31232 30.5 0.000184535062809825
31744 31 0.000185074965702562
32256 31.5 0.000185605664077764
32768 32 0.000186124715755574
33280 32.5 0.000186629026141192
33792 33 0.000187117305371793
34304 33.5 0.000187591476532911
34816 34 0.00018805526749236
35328 34.5 0.000188511311822965
35840 35 0.000188959788967193
36352 35.5 0.000189399848780406
36864 36 0.000189832110488421
37376 36.5 0.000190259713164922
37888 37 0.000190687087675834
38400 37.5 0.000191117711383588
38912 38 0.000191552806238743
39424 38.5 0.000191991999581319
39936 39 0.000192435260326838
40448 39.5 0.000192884321816636
40960 40 0.000193342238615471
41472 40.5 0.000193811460973142
41984 41 0.000194292286700758
42496 41.5 0.000194783242091464
43008 42 0.000195283047883293
43520 42.5 0.000195792132107718
44032 43 0.000196312020696116
44544 43.5 0.000196843355386896
45056 44 0.000197384928748203
45568 44.5 0.000197934804260556
46080 45 0.000198491970794217
46592 45.5 0.000199056428187339
47104 46 0.000199627886965503
47616 46.5 0.000200204996903398
48128 47 0.000200786145347487
48640 47.5 0.000201370601321391
49152 48 0.000201958404086359
49664 48.5 0.000202549256237032
50176 49 0.000203142133905318
50688 49.5 0.000203736346852331
51200 50 0.000204332701280722
51712 50.5 0.000204933136425033
52224 51 0.000205539158960761
52736 51.5 0.0002061509501813
53248 52 0.000206768177014429
53760 52.5 0.000207391717631509
54272 53 0.000208024063209892
54784 53.5 0.000208667376614029
55296 54 0.000209322019310312
55808 54.5 0.000209986627083335
56320 55 0.000210659507559948
56832 55.5 0.000211339532226052
57344 56 0.000212025493080814
57856 56.5 0.000212715032755417
58368 57 0.000213404751914995
58880 57.5 0.00021409131576835
59392 58 0.000214772009026852
59904 58.5 0.000215444202320019
60416 59 0.000216104888403995
60928 59.5 0.000216750972119252
61440 60 0.000217379492233642
61952 60.5 0.000217981115084071
62464 61 0.000218549948846978
62976 61.5 0.000219083934672133
63488 62 0.000219582083380328
64000 62.5 0.000220045352853732
64512 63 0.000220475458187007
65024 63.5 0.000220873213205587
65536 64 0.000221238631969205
66048 64.5 0.000221572249304562
66560 65 0.00022187542617202
67072 65.5 0.000222149266334523
67584 66 0.000222394037440912
68096 66.5 0.000222610086295024
68608 67 0.000222798759171504
69120 67.5 0.000222961787304999
