# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127713378335956
1024 1 0.00127446183884484
1536 1.5 0.00127200469299088
2048 2 0.00126975293607764
2560 2.5 0.00126772712065904
3072 3 0.00126598889402231
3584 3.5 0.00126458892582434
4096 4 0.00126357149628324
4608 4.5 0.00126319346488487
5120 5 0.00126360505350573
5632 5.5 0.00126469708369795
6144 6 0.00126621758522061
6656 6.5 0.00126809676386453
7168 7 0.00127028167160251
7680 7.5 0.00127272136868015
8192 8 0.00127536998811568
8704 8.5 0.001278185235071
9216 9 0.00128112500702637
9728 9.5 0.00128414799725233
10240 10 0.00128721879918296
10752 10.5 0.00129031010713246
11264 11 0.00129329905722975
11776 11.5 0.00129606074599587
12288 12 0.00129859227868088
12800 12.5 0.00130090430717522
13312 13 0.00130301273086857
13824 13.5 0.00130493658020428
14336 14 0.00130675202691533
14848 14.5 0.0013085348377857
15360 15 0.00131035921964252
15872 15.5 0.00131229208647923
16384 16 0.00131438408007123
16896 16.5 0.00131666937552094
17408 17 0.00131917146815405
17920 17.5 0.00132190080612441
18432 18 0.00132482539399463
18944 18.5 0.00132791252255819
19456 19 0.00133113168578262
19968 19.5 0.00133445274756394
20480 20 0.00133784601563308
20992 20.5 0.00134127748437241
21504 21 0.00134470893116311
22016 21.5 0.00134810376534159
22528 22 0.0013514309661784
23040 22.5 0.00135466386086767
23552 23 0.00135777871360526
24064 23.5 0.00136075701849959
24576 24 0.00136359437988455
25088 24.5 0.00136630125950301
25600 25 0.00136889457022792
26112 25.5 0.00137139048113991
26624 26 0.00137380377483638
27136 26.5 0.00137615187977271
27648 27 0.00137845511589873
28160 27.5 0.00138072990003265
28672 28 0.00138298179229176
29184 28.5 0.00138520619513093
29696 29 0.00138739536144356
30208 29.5 0.00138954465034068
30720 30 0.0013916542636405
31232 30.5 0.00139372678289778
31744 31 0.00139576413971386
32256 31.5 0.00139776386861212
32768 32 0.00139971694791097
33280 32.5 0.00140161195223362
33792 33 0.0014034442796274
34304 33.5 0.00140522137807502
34816 34 0.00140695740216203
35328 34.5 0.00140866234355025
35840 35 0.00141033698461786
36352 35.5 0.00141197826425945
36864 36 0.00141358860422097
37376 36.5 0.00141517978461701
37888 37 0.00141676833033876
38400 37.5 0.00141836715380226
38912 38 0.00141998074945714
39424 38.5 0.00142160768731935
39936 39 0.00142324780668367
40448 39.5 0.0014249074644623
40960 40 0.00142659786173617
41472 40.5 0.00142832791816955
41984 41 0.00143009858585733
42496 41.5 0.00143190429734401
43008 42 0.00143374022415166
43520 42.5 0.0014356078195873
44032 43 0.00143751254711638
44544 43.5 0.0014394566057586
45056 44 0.00144143542765063
45568 44.5 0.00144344180879392
46080 45 0.00144547195277353
46592 45.5 0.00144752575901938
47104 46 0.00144960207594507
47616 46.5 0.00145169591169631
48128 47 0.00145380135234454
48640 47.5 0.00145591570505478
49152 48 0.00145803907277931
49664 48.5 0.00146017034419756
50176 49 0.00146230579963116
50688 49.5 0.00146444294008383
51200 50 0.00146658465142557
51712 50.5 0.00146873786283911
52224 51 0.00147090791497082
52736 51.5 0.00147309538113064
53248 52 0.00147529899561671
53760 52.5 0.00147752181436032
54272 53 0.00147977261130106
54784 53.5 0.00148205893985371
55296 54 0.00148438191748305
55808 54.5 0.00148673654298454
56320 55 0.00148911668469299
56832 55.5 0.00149151823824286
57344 56 0.00149393684457795
57856 56.5 0.00149636412946574
58368 57 0.00149878811365434
58880 57.5 0.00150119712148724
59392 58 0.00150358172034524
59904 58.5 0.00150593283669352
60416 59 0.0015082401330655
60928 59.5 0.00151049302553923
61440 60 0.00151268145404337
61952 60.5 0.00151477326802282
62464 61 0.00151674842255946
62976 61.5 0.00151860023731043
63488 62 0.00152032573857443
64000 62.5 0.00152192866854677
64512 63 0.00152341533952673
65024 63.5 0.00152478890068028
