# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0292808185497232 0.0292808185497232 0.0292808185497232
1024 1 0.0266273115318996 0.0266273115318996 0.0266273115318996
1536 1.5 0.0240316842326631 0.0240316842326631 0.0240316842326631
2048 2 0.0215003105608924 0.0215003105608924 0.0215003105608924
2560 2.5 0.0192784384131949 0.0192784384131948 0.0192784384131949
3072 3 0.0175503571787865 0.0175503571787865 0.0175503571787865
3584 3.5 0.0158459141707903 0.0158459141707903 0.0158459141707903
4096 4 0.014172910937677 0.014172910937677 0.014172910937677
4608 4.5 0.0124781530851805 0.0124781530851805 0.0124781530851805
5120 5 0.0106340000564415 0.0106340000564415 0.0106340000564415
5632 5.5 0.00860351950875465 0.00860351950875461 0.00860351950875465
6144 6 0.0064493938591124 0.00644939385911236 0.00644939385911242
6656 6.5 0.00419870153348491 0.00419870153348487 0.00419870153348496
7168 7 0.00400818869794271 0.00400818869794266 0.00400818869794263
7680 7.5 0.00409266748870215 0.00409266748870202 0.00409266748870203
8192 8 0.0041536359873832 0.00415363598738306 0.00415363598738309
8704 8.5 0.00418516869301435 0.00418516869301429 0.00418516869301431
9216 9 0.00418052107471441 0.00418052107471427 0.00418052107471428
9728 9.5 0.00413789685297162 0.00413789685297145 0.00413789685297155
10240 10 0.00405485719479704 0.00405485719479688 0.00405485719479714
10752 10.5 0.00392902612414745 0.00392902612414729 0.0039290261241474
11264 11 0.00375933172472299 0.00375933172472287 0.00375933172472272
11776 11.5 0.00354806695059806 0.00354806695059806 0.00354806695059795
12288 12 0.00329913101890909 0.00329913101890885 0.00329913101890896
12800 12.5 0.00301494544662618 0.00301494544662568 0.00301494544662593
13312 13 0.00269721760742239 0.00269721760742205 0.00269721760742233
13824 13.5 0.00234917349808303 0.00234917349808301 0.00234917349808312
14336 14 0.00197411160940901 0.0019741116094091 0.00197411160940904
14848 14.5 0.00157364833275747 0.00157364833275775 0.00157364833275755
15360 15 0.00115029051832024 0.00115029051832049 0.00115029051832027
15872 15.5 0.000709781469439106 0.000709781469439218 0.000709781469439021
16384 16 0.000258484942739679 0.000258484942739871 0.000258484942739716
16896 16.5 5.34208086108182e-19 7.72137593046728e-19 1.54145635755228e-24
17408 17 7.28294736404419e-19 8.2713512758991e-19 1.14254076617429e-24
17920 17.5 9.20061470630654e-19 5.10197005783355e-19 1.34182522994164e-24
18432 18 7.18638763816636e-19 6.28211619307486e-19 1.31420064183722e-24
18944 18.5 1.07294816626872e-18 7.39222948914849e-19 1.68918048044703e-24
19456 19 7.08423213988765e-19 5.55314271750617e-19 2.06524796961719e-24
19968 19.5 4.43084611254727e-19 5.24522192337312e-19 3.28411550932566e-24
20480 20 6.72517630298532e-19 8.64521732389029e-19 2.12769084828612e-24
20992 20.5 8.96442155959945e-19 7.28670150319506e-19 2.02309955375539e-24
21504 21 8.2584040756984e-19 9.09167560511246e-19 3.40419286356585e-24
22016 21.5 1.19094285409274e-18 7.40603510026752e-19 3.54580582560752e-24
22528 22 9.0866535963333e-19 5.7493237244225e-19 3.75623462764662e-24
23040 22.5 1.09641110448496e-18 4.42870557922476e-19 4.89079827428146e-24
23552 23 1.01323040585816e-18 6.76378556941636e-19 3.31417438064568e-24
24064 23.5 1.29838812475582e-18 1.00966317598745e-18 2.16313362972787e-24
24576 24 7.2629068702663e-19 6.83961532454807e-19 3.45718630979772e-24
25088 24.5 7.88930867776861e-19 5.15662397510626e-19 4.54930629581261e-24
25600 25 5.40559624091017e-19 7.0202781293158e-19 6.29378939420879e-24
26112 25.5 6.6434514225585e-19 5.92419695502417e-19 6.12377993676346e-24
26624 26 7.26403942119732e-19 4.49499406566714e-19 5.72347004880303e-24
27136 26.5 1.30295835770624e-18 6.66559032293408e-19 3.96289305184754e-24
27648 27 1.06371244998274e-18 5.81478897080604e-19 3.76736132434592e-24
28160 27.5 1.21541347852878e-18 5.6673853001094e-19 3.60379806532226e-24
28672 28 1.14122279232754e-18 9.45511437823226e-19 4.83894340319695e-24
29184 28.5 1.72061292325795e-18 9.57599935422551e-19 8.65259775196705e-24
29696 29 1.68676293935776e-18 1.00110032576403e-18 8.67616371300982e-24
30208 29.5 6.13817565253223e-19 1.09193421444977e-18 8.04261642639662e-24
30720 30 4.88307348738027e-19 8.57009505687384e-19 4.91872121095608e-24
31232 30.5 1.02939896754748e-18 3.62173553788424e-19 9.89645131866803e-24
31744 31 1.31391596633258e-18 5.22972038915045e-19 8.45661167227146e-24
32256 31.5 1.51198734482541e-18 1.23676526570283e-18 1.20682568903e-23
32768 32 1.93123117579327e-18 1.09484624917573e-18 1.14585971882846e-23
33280 32.5 1.43723473529821e-18 6.27744405796443e-19 1.09382293687326e-23
33792 33 2.01573759082346e-18 1.12156180437623e-18 1.6797393752694e-23
34304 33.5 1.75609459837127e-18 1.18013161421333e-18 1.32411986443611e-23
34816 34 1.19340552010761e-18 6.02549147741741e-19 1.48914279940315e-23
35328 34.5 2.09380224079561e-18 8.08449785775961e-19 1.77760066784118e-23
