# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00456144122155696 -0.00456144122155696 -0.00456144122155696
1024 1 -0.00903394047479858 -0.00903394047479858 -0.00903394047479858
1536 1.5 -0.0133800903877172 -0.0133800903877172 -0.0133800903877172
2048 2 -0.0177552617197072 -0.0177552617197072 -0.0177552617197072
2560 2.5 -0.0221910815985869 -0.0221910815985869 -0.0221910815985869
3072 3 -0.0266018388571501 -0.0266018388571501 -0.0266018388571501
3584 3.5 -0.0309735038426656 -0.0309735038426656 -0.0309735038426655
4096 4 -0.0352893088928328 -0.0352893088928327 -0.0352893088928328
4608 4.5 -0.0395278724378335 -0.0395278724378335 -0.0395278724378334
5120 5 -0.0436704364111198 -0.0436704364111199 -0.0436704364111197
5632 5.5 -0.0477335418104968 -0.0477335418104969 -0.0477335418104968
6144 6 -0.0517304057555505 -0.0517304057555505 -0.0517304057555505
6656 6.5 -0.0557471851897081 -0.0557471851897081 -0.0557471851897083
7168 7 -0.0597890114225599 -0.0597890114225598 -0.0597890114225599
7680 7.5 -0.0637313397423643 -0.0637313397423643 -0.0637313397423642
8192 8 -0.0675781978702272 -0.0675781978702271 -0.0675781978702271
8704 8.5 -0.071326479044526 -0.0713264790445259 -0.0713264790445259
9216 9 -0.0749684231748451 -0.074968423174845 -0.074968423174845
9728 9.5 -0.078503277936636 -0.078503277936636 -0.0785032779366361
10240 10 -0.0819367944730239 -0.081936794473024 -0.0819367944730239
10752 10.5 -0.0852720396428578 -0.0852720396428577 -0.0852720396428575
11264 11 -0.0885070731929 -0.0885070731928999 -0.0885070731928997
11776 11.5 -0.0916405277454358 -0.0916405277454359 -0.0916405277454357
12288 12 -0.0946759037688028 -0.0946759037688026 -0.0946759037688025
12800 12.5 -0.0976191088251152 -0.0976191088251147 -0.0976191088251147
13312 13 -0.100473636974255 -0.100473636974255 -0.100473636974255
13824 13.5 -0.103240615312021 -0.103240615312021 -0.103240615312022
14336 14 -0.105921074423575 -0.105921074423576 -0.105921074423576
14848 14.5 -0.10851580029047 -0.10851580029047 -0.108515800290469
15360 15 -0.111025634530321 -0.111025634530321 -0.111025634530321
15872 15.5 -0.113452316330811 -0.113452316330811 -0.113452316330811
16384 16 -0.115796749331805 -0.115796749331805 -0.115796749331805
16896 16.5 -0.118059292989166 -0.118059292989166 -0.118059292989166
17408 17 -0.120589789565003 -0.120589789565002 -0.120589789565002
17920 17.5 -0.124050232770843 -0.124050232770842 -0.124050232770842
18432 18 -0.127402376629014 -0.127402376629014 -0.127402376629014
18944 18.5 -0.130645240696259 -0.130645240696259 -0.130645240696258
19456 19 -0.133784708933686 -0.133784708933685 -0.133784708933685
19968 19.5 -0.136826147127986 -0.136826147127985 -0.136826147127985
20480 20 -0.139778889630724 -0.139778889630724 -0.139778889630724
20992 20.5 -0.142651591051289 -0.14265159105129 -0.142651591051289
21504 21 -0.14545152706909 -0.14545152706909 -0.14545152706909
22016 21.5 -0.148184918624275 -0.148184918624274 -0.148184918624274
22528 22 -0.150858065091342 -0.150858065091342 -0.150858065091342
23040 22.5 -0.153477787454775 -0.153477787454775 -0.153477787454775
23552 23 -0.1560514469917 -0.1560514469917 -0.1560514469917
24064 23.5 -0.158600960135488 -0.158600960135488 -0.158600960135487
24576 24 -0.161230830773904 -0.161230830773903 -0.161230830773904
25088 24.5 -0.16390063906962 -0.16390063906962 -0.16390063906962
25600 25 -0.166526481912489 -0.166526481912488 -0.166526481912488
26112 25.5 -0.169093904746982 -0.169093904746981 -0.169093904746982
26624 26 -0.171587099085082 -0.171587099085081 -0.171587099085082
27136 26.5 -0.173998082400608 -0.173998082400607 -0.173998082400607
27648 27 -0.176305738805289 -0.176305738805288 -0.176305738805289
28160 27.5 -0.178173271325007 -0.178173271325006 -0.178173271325008
28672 28 -0.179917995234791 -0.179917995234791 -0.179917995234791
29184 28.5 -0.181786478383424 -0.181786478383424 -0.181786478383424
29696 29 -0.183713627089795 -0.183713627089795 -0.183713627089795
30208 29.5 -0.185546200693126 -0.185546200693126 -0.185546200693126
30720 30 -0.187275079012182 -0.187275079012181 -0.187275079012181
31232 30.5 -0.189873319861065 -0.189873319861064 -0.189873319861064
31744 31 -0.192604987268084 -0.192604987268084 -0.192604987268084
32256 31.5 -0.195218681004229 -0.195218681004229 -0.195218681004229
32768 32 -0.197729623816024 -0.197729623816023 -0.197729623816024
33280 32.5 -0.200163383392757 -0.200163383392757 -0.200163383392757
33792 33 -0.202989275363861 -0.20298927536386 -0.202989275363862
34304 33.5 -0.205866647145824 -0.205866647145823 -0.205866647145824
34816 34 -0.208622370589315 -0.208622370589314 -0.208622370589314
35328 34.5 -0.211261658955129 -0.211261658955129 -0.211261658955129
35840 35 -0.213793601507609 -0.213793601507608 -0.213793601507609
36352 35.5 -0.216227450840417 -0.216227450840416 -0.216227450840417
36864 36 -0.218573018602965 -0.218573018602965 -0.218573018602965
37376 36.5 -0.220838488154119 -0.22083848815412 -0.220838488154119
37888 37 -0.223039238452103 -0.223039238452103 -0.223039238452103
38400 37.5 -0.225184150416582 -0.225184150416582 -0.225184150416581
38912 38 -0.227277416371556 -0.227277416371555 -0.227277416371556
39424 38.5 -0.229321015977208 -0.229321015977208 -0.229321015977208
39936 39 -0.231318466990285 -0.231318466990285 -0.231318466990285
40448 39.5 -0.233273560589781 -0.233273560589783 -0.233273560589781
40960 40 -0.235189119512271 -0.235189119512273 -0.235189119512271
41472 40.5 -0.237066801538107 -0.237066801538108 -0.237066801538107
41984 41 -0.238905318834129 -0.238905318834128 -0.238905318834128
42496 41.5 -0.240703886008504 -0.240703886008504 -0.240703886008504
43008 42 -0.242462985595157 -0.242462985595157 -0.242462985595157
43520 42.5 -0.244519196808821 -0.244519196808821 -0.24451919680882
44032 43 -0.246824484239606 -0.246824484239607 -0.246824484239606
44544 43.5 -0.249120396114556 -0.249120396114557 -0.249120396114556
45056 44 -0.251913354848637 -0.251913354848638 -0.251913354848637
45568 44.5 -0.254627853073742 -0.254627853073743 -0.254627853073741
46080 45 -0.257265569860623 -0.257265569860622 -0.257265569860621
46592 45.5 -0.259824854881334 -0.259824854881333 -0.259824854881333
47104 46 -0.26230258193525 -0.262302581935252 -0.26230258193525
47616 46.5 -0.264698088430781 -0.264698088430783 -0.264698088430781
48128 47 -0.267012434750223 -0.267012434750225 -0.267012434750223
48640 47.5 -0.269245250030218 -0.269245250030218 -0.269245250030217
49152 48 -0.271393669584523 -0.271393669584521 -0.271393669584521
49664 48.5 -0.274068995877824 -0.274068995877827 -0.274068995877826
50176 49 -0.276763729408945 -0.276763729408948 -0.276763729408947
50688 49.5 -0.279388238657551 -0.279388238657554 -0.279388238657553
51200 50 -0.281942111992774 -0.281942111992777 -0.281942111992776
51712 50.5 -0.28442423456199 -0.284424234561991 -0.284424234561992
52224 51 -0.286834197078513 -0.286834197078514 -0.286834197078513
52736 51.5 -0.289172795562592 -0.289172795562595 -0.289172795562593
53248 52 -0.291440766413477 -0.291440766413479 -0.29144076641348
53760 52.5 -0.29363820091014 -0.293638200910141 -0.293638200910141
54272 53 -0.295765185221723 -0.295765185221724 -0.295765185221723
54784 53.5 -0.297822541743415 -0.297822541743417 -0.297822541743418
55296 54 -0.29981130564451 -0.299811305644512 -0.299811305644514
55808 54.5 -0.301731380945002 -0.301731380945005 -0.301731380945006
56320 55 -0.303581147710674 -0.303581147710677 -0.303581147710675
56832 55.5 -0.305358941426849 -0.305358941426849 -0.305358941426847
57344 56 -0.307064721196819 -0.30706472119682 -0.307064721196819
57856 56.5 -0.308700013576518 -0.308700013576521 -0.308700013576521
58368 57 -0.310267030922988 -0.31026703092299 -0.310267030922992
58880 57.5 -0.311768395956367 -0.311768395956366 -0.311768395956369
