# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00059465623188
1024 1 1.00049275947962
1536 1.5 1.00040328376916
2048 2 1.00032572874336
2560 2.5 1.00041181880378
3072 3 1.00058787334696
3584 3.5 1.00079154708438
4096 4 1.00102042116483
4608 4.5 1.00127184980631
5120 5 1.00154268399683
5632 5.5 1.0018296774647
6144 6 1.00212956244117
6656 6.5 1.00243926937583
7168 7 1.00275583060956
7680 7.5 1.00307635975422
8192 8 1.00339816323354
8704 8.5 1.00371871223837
9216 9 1.00413973171538
9728 9.5 1.00463942851235
10240 10 1.00515829333367
10752 10.5 1.00569431428459
11264 11 1.00624544620407
11776 11.5 1.00680959371919
12288 12 1.0073844703575
12800 12.5 1.00796755236128
13312 13 1.00855638673485
13824 13.5 1.00914874563577
14336 14 1.00978171563242
14848 14.5 1.0104767182886
15360 15 1.01117793111595
15872 15.5 1.0118816406347
16384 16 1.01258355721779
16896 16.5 1.01328004999664
17408 17 1.01396793223048
17920 17.5 1.0146443312908
18432 18 1.01530685799399
18944 18.5 1.01595337597438
19456 19 1.016582125236
19968 19.5 1.01719115520972
20480 20 1.01777582294794
20992 20.5 1.01833171382126
21504 21 1.01885602407281
22016 21.5 1.0193454198113
22528 22 1.01979555439231
23040 22.5 1.02020226050248
23552 23 1.02056214997202
24064 23.5 1.0209909897748
24576 24 1.02145734210051
25088 24.5 1.0219294238698
25600 25 1.02262795706752
26112 25.5 1.02331923187345
26624 26 1.02399813652584
27136 26.5 1.02466129237097
27648 27 1.02530181579582
28160 27.5 1.02581709082954
28672 28 1.02629680371115
29184 28.5 1.02674697701665
29696 29 1.02733768576245
30208 29.5 1.02791291827389
30720 30 1.02846243552501
31232 30.5 1.02898247561003
31744 31 1.02984668097047
32256 31.5 1.03069333217778
32768 32 1.03151237370977
33280 32.5 1.03230856245806
33792 33 1.03308450811635
34304 33.5 1.03383954325774
34816 34 1.03457223235621
35328 34.5 1.03539416288434
35840 35 1.03629815900991
36352 35.5 1.03716939586921
36864 36 1.03800916145284
37376 36.5 1.03881816759329
37888 37 1.03959999020416
38400 37.5 1.04035723986481
38912 38 1.04109105366119
39424 38.5 1.04180172405538
39936 39 1.04249325887035
40448 39.5 1.04317668882593
40960 40 1.04385292177755
41472 40.5 1.0445220349617
41984 41 1.04518270485577
42496 41.5 1.04583358745179
43008 42 1.04647412363668
43520 42.5 1.04710389189549
44032 43 1.04772150933726
44544 43.5 1.04866623556361
45056 44 1.04961116518
45568 44.5 1.05051766089276
46080 45 1.0513830961807
46592 45.5 1.05220437521639
47104 46 1.05297836718908
47616 46.5 1.05370231365609
48128 47 1.05472061019413
48640 47.5 1.0557531963066
49152 48 1.0567571438335
49664 48.5 1.05772537753936
50176 49 1.05865164289416
50688 49.5 1.05954100004618
51200 50 1.06039366963776
51712 50.5 1.06120858167331
52224 51 1.06198513370351
52736 51.5 1.06272343955903
53248 52 1.06342391217656
53760 52.5 1.06427575632448
54272 53 1.06530304830809
54784 53.5 1.06630611935919
55296 54 1.06728406843517
55808 54.5 1.06823596968254
56320 55 1.06916070306897
56832 55.5 1.07005720076188
57344 56 1.07092483147315
57856 56.5 1.07176336753666
58368 57 1.0725727936117
58880 57.5 1.07335331123538
59392 58 1.07410643433214
59904 58.5 1.07483901745121
60416 59 1.07555271667395
60928 59.5 1.07624738716168
61440 60 1.07692289808697
61952 60.5 1.07758001188097
62464 61 1.07821962134929
62976 61.5 1.07884225560217
63488 62 1.07944781889775
64000 62.5 1.08003592416194
64512 63 1.08060620349911
65024 63.5 1.08115837606559
65536 64 1.08169235601506
66048 64.5 1.08220832852837
66560 65 1.08270652917694
67072 65.5 1.0831869551202
67584 66 1.08364942355141
68096 66.5 1.08409388644398
68608 67 1.08452042980261
69120 67.5 1.08492884024416
69632 68 1.08531849493337
70144 68.5 1.08568895681873
70656 69 1.08604044732865
71168 69.5 1.0863734409609
71680 70 1.08668811695358
72192 70.5 1.08698436272095
72704 71 1.08725852768731
73216 71.5 1.08749708158025
73728 72 1.08769729356682
74240 72.5 1.08785791204461
74752 73 1.0879786666793
75264 73.5 1.08806020318531
75776 74 1.08810303557018
76288 74.5 1.08810704508052
76800 75 1.08807235555782
77312 75.5 1.08800051249018
77824 76 1.08789424908416
78336 76.5 1.08775627796125
78848 77 1.08758824420217
79360 77.5 1.0873906476577
79872 78 1.08716527041198
80384 78.5 1.08691571749581
80896 79 1.08665423694452
81408 79.5 1.08639280403222
81920 80 1.08613008708021
82432 80.5 1.08586951991855
82944 81 1.08561968429376
83456 81.5 1.08537816479998
83968 82 1.08514264798445
84480 82.5 1.0848285281026
84992 83 1.0845472061866
85504 83.5 1.08430550321707
86016 84 1.0840736651782
86528 84.5 1.08384699833997
87040 85 1.08362595223498
87552 85.5 1.08341305681855
88064 86 1.0832072875144
88576 86.5 1.08290132994363
89088 87 1.08258250981688
89600 87.5 1.08226027891893
90112 88 1.08193539834652
90624 88.5 1.08160880548305
91136 89 1.08128277011461
91648 89.5 1.08095931449852
92160 90 1.08063763447487
92672 90.5 1.08031694552423
93184 91 1.07999666935893
93696 91.5 1.07967643664078
94208 92 1.07935587196755
94720 92.5 1.07903445370065
95232 93 1.0787115688682
95744 93.5 1.07838671346318
96256 94 1.07805960006465
96768 94.5 1.07773003365267
97280 95 1.07739766414867
97792 95.5 1.07706172532166
98304 96 1.0767212420071
98816 96.5 1.07637531232245
99328 97 1.07602331442029
99840 97.5 1.07566351681995
100352 98 1.07529226640774
100864 98.5 1.07490590856801
101376 99 1.07450107628327
101888 99.5 1.07407548796387
102400 100 1.07362747288828
102912 100.5 1.07315861964861
103424 101 1.07267092434419
103936 101.5 1.07216441040843
104448 102 1.07163714175724
104960 102.5 1.07108727087038
105472 103 1.07051570688724
105984 103.5 1.06992611664278
106496 104 1.069322693898
107008 104.5 1.06870638410746
107520 105 1.06804587204766
108032 105.5 1.06732519200666
108544 106 1.06647411320035
109056 106.5 1.06548503198188
109568 107 1.06435690141602
110080 107.5 1.06317020475041
110592 108 1.06195077882505
111104 108.5 1.06072683763773
111616 109 1.05952623874607
112128 109.5 1.05836301536667
112640 110 1.05723471980283
113152 110.5 1.05611924527744
113664 111 1.05500769357786
114176 111.5 1.05390290564195
114688 112 1.05277856047315
115200 112.5 1.05160790367543
115712 113 1.05038829093037
116224 113.5 1.04912654485338
116736 114 1.04782990043033
117248 114.5 1.04650902986157
117760 115 1.04517771747493
118272 115.5 1.0438493432189
118784 116 1.04253952907167
119296 116.5 1.04124538884199
119808 117 1.03997532446836
120320 117.5 1.04013709467852
120832 118 1.04135565560011
121344 118.5 1.04288976270739
121856 119 1.04413137305461
122368 119.5 1.04469444972955
122880 120 1.04708388094006
123392 120.5 1.04957664785792
123904 121 1.05128250711229
124416 121.5 1.0527129492866
124928 122 1.05404573775361
125440 122.5 1.05520506062789
125952 123 1.05604945814553
126464 123.5 1.05584646073593
126976 124 1.05299800163285
127488 124.5 1.05069884280064
128000 125 1.04822326865489
128512 125.5 1.04468788695907
