# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.0001275674417131
512 0.5 -0.000141479540060389
1024 1 -0.000168301199169143
1536 1.5 -0.000176362368857409
2048 2 -0.000145512424422316
2560 2.5 -0.000147804015852533
3072 3 -0.000218702314617389
3584 3.5 -0.000282132090155736
4096 4 -0.000346192593524997
4608 4.5 -0.000406829986118488
5120 5 -0.000457979377440531
5632 5.5 -0.000496437698452364
6144 6 -0.000521868837238856
6656 6.5 -0.000539755519746821
7168 7 -0.000557690664297767
7680 7.5 -0.000578014048950832
8192 8 -0.000599202892024557
8704 8.5 -0.000620002837764116
9216 9 -0.000637277025434569
9728 9.5 -0.000646007444814111
10240 10 -0.000649290587219973
10752 10.5 -0.000660280157433714
11264 11 -0.00068319926028867
11776 11.5 -0.000702620311676306
12288 12 -0.000709371274143773
12800 12.5 -0.000717710607508618
13312 13 -0.000752654578043124
13824 13.5 -0.000815694246768759
14336 14 -0.000882595933422662
14848 14.5 -0.000932258901983877
15360 15 -0.0009718013441407
15872 15.5 -0.00102195302214536
16384 16 -0.00108704339323432
16896 16.5 -0.00114846318070909
17408 17 -0.00118928197985233
17920 17.5 -0.0012164336076072
18432 18 -0.0012472585971593
18944 18.5 -0.00128079550554976
19456 19 -0.00130304498139496
19968 19.5 -0.00131593638301825
20480 20 -0.00134015202791385
20992 20.5 -0.00138224535726205
21504 21 -0.00141940249702059
22016 21.5 -0.00143111475240337
22528 22 -0.00143149136235487
23040 22.5 -0.00145187667733983
23552 23 -0.00149893726390346
24064 23.5 -0.00154923901675871
24576 24 -0.00158391714540601
25088 24.5 -0.00160955782100639
25600 25 -0.0016403720111992
26112 25.5 -0.00167727646707757
26624 26 -0.0017154281801165
27136 26.5 -0.00175912603501936
27648 27 -0.0018139765744699
28160 27.5 -0.00187055928050267
28672 28 -0.00191135211808902
29184 28.5 -0.00193403489135725
29696 29 -0.00195659545674087
30208 29.5 -0.00199674423890031
30720 30 -0.00205337524101796
31232 30.5 -0.00211019645541182
31744 31 -0.00215241572658631
32256 31.5 -0.00217851769077406
32768 32 -0.00220011987241117
33280 32.5 -0.00223200669647934
33792 33 -0.00227960149107766
34304 33.5 -0.00233448051463737
34816 34 -0.00238245792495327
35328 34.5 -0.00241601338154799
35840 35 -0.00243984432703675
36352 35.5 -0.00246682380889317
36864 36 -0.00250788514877595
37376 36.5 -0.00256167854364763
37888 37 -0.00261379020133042
38400 37.5 -0.00265080356138979
38912 38 -0.00267586913287294
39424 38.5 -0.00270513818159891
39936 39 -0.00274779224288695
40448 39.5 -0.00279606310515869
40960 40 -0.00283762208805816
41472 40.5 -0.00287095573628996
41984 41 -0.0029031974699692
42496 41.5 -0.00293788560944312
43008 42 -0.00297232679582354
43520 42.5 -0.00300558902670842
44032 43 -0.00304165667046794
44544 43.5 -0.00308219442234481
45056 44 -0.00312103424907469
45568 44.5 -0.00315067978694138
46080 45 -0.00317304064057246
46592 45.5 -0.00319921241496581
47104 46 -0.00323702270088826
47616 46.5 -0.00328138997417807
48128 47 -0.0033196387409409
48640 47.5 -0.00334593724340031
49152 48 -0.00336837213148503
49664 48.5 -0.00339995917827373
50176 49 -0.00344315093780378
50688 49.5 -0.00348661370607329
51200 50 -0.00351938230253653
51712 50.5 -0.00354459916033769
52224 51 -0.00357415098215509
52736 51.5 -0.0036117992340415
53248 52 -0.00364912944619743
53760 52.5 -0.00367938912841422
54272 53 -0.00370742666923182
