# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.23496915583655e-05
512 0.5 2.99388470571164e-05
1024 1 3.75352521827651e-05
1536 1.5 4.10466840553937e-05
2048 2 4.16369905437981e-05
2560 2.5 4.17399948992683e-05
3072 3 4.26883403631751e-05
3584 3.5 4.40775055967226e-05
4096 4 4.48902113710572e-05
4608 4.5 4.51972441504654e-05
5120 5 4.57609180712167e-05
5632 5.5 4.6718996104845e-05
6144 6 4.74421229670023e-05
6656 6.5 4.76608579300322e-05
7168 7 4.7906242881924e-05
7680 7.5 4.85526764853838e-05
8192 8 4.92648477146011e-05
8704 8.5 4.96530148411951e-05
9216 9 4.99047996216311e-05
9728 9.5 5.03642201450991e-05
10240 10 5.09616648032511e-05
10752 10.5 5.14411794853984e-05
11264 11 5.18407023242706e-05
11776 11.5 5.23449207543837e-05
12288 12 5.29858878038281e-05
12800 12.5 5.36666388541735e-05
13312 13 5.4407483069005e-05
13824 13.5 5.5357514800909e-05
14336 14 5.65462979668573e-05
14848 14.5 5.7795682477938e-05
15360 15 5.89389489016736e-05
15872 15.5 6.00302443469366e-05
16384 16 6.12596901356987e-05
16896 16.5 6.26573455458971e-05
17408 17 6.40597826310668e-05
17920 17.5 6.53162980430519e-05
18432 18 6.64223733278196e-05
18944 18.5 6.74701276967673e-05
19456 19 6.85326774165898e-05
19968 19.5 6.96917137802461e-05
20480 20 7.09467194427685e-05
20992 20.5 7.21690619733878e-05
21504 21 7.32534478742502e-05
22016 21.5 7.42353449095089e-05
22528 22 7.52964707537482e-05
23040 22.5 7.65495940680691e-05
23552 23 7.7936078343954e-05
24064 23.5 7.93358939887026e-05
24576 24 8.06532796886429e-05
25088 24.5 8.18942815017716e-05
25600 25 8.31507959074826e-05
26112 25.5 8.45492351226339e-05
26624 26 8.61344414643453e-05
27136 26.5 8.78020155373669e-05
27648 27 8.94039158562979e-05
28160 27.5 9.0898262071493e-05
28672 28 9.23834760655779e-05
29184 28.5 9.3944883015412e-05
29696 29 9.55775634234265e-05
30208 29.5 9.72259250122269e-05
30720 30 9.88706870839092e-05
31232 30.5 0.000100526455376229
31744 31 0.00010218795484331
32256 31.5 0.000103839088719979
32768 32 0.000105471593821178
33280 32.5 0.000107105498789831
33792 33 0.000108766426873297
34304 33.5 0.000110470960820722
34816 34 0.000112222654922355
35328 34.5 0.000114006519972498
35840 35 0.000115786270713813
36352 35.5 0.000117525742156084
36864 36 0.000119224622361493
37376 36.5 0.000120976425591063
37888 37 0.000122829494842533
38400 37.5 0.000124737446565648
38912 38 0.000126607030342391
39424 38.5 0.000128400959365674
39936 39 0.00013017971183858
40448 39.5 0.00013201904338699
40960 40 0.000133925576686216
41472 40.5 0.000135834306037894
41984 41 0.000137680988742564
42496 41.5 0.00013947204113992
43008 42 0.000141274372345833
43520 42.5 0.000143133702407625
44032 43 0.000145028997182683
44544 43.5 0.000146901831408207
45056 44 0.000148727372147517
45568 44.5 0.000150532711179921
46080 45 0.000152359395615211
46592 45.5 0.000154219897806841
47104 46 0.00015608880113369
47616 46.5 0.000157941380143377
48128 47 0.00015978589355378
48640 47.5 0.00016164803704621
49152 48 0.000163529007970647
49664 48.5 0.000165408353890735
50176 49 0.000167292210808152
50688 49.5 0.000169211631838712
51200 50 0.000171167934826424
51712 50.5 0.000173121100875763
52224 51 0.000175040408157878
52736 51.5 0.000176946367688845
53248 52 0.000178893103202561
53760 52.5 0.000180891865975467
54272 53 0.000182894770523642
54784 53.5 0.000184857184756654
55296 54 0.00018679005213627
55808 54.5 0.000188741490578501
56320 55 0.000190737178251811
56832 55.5 0.000192761645362054
57344 56 0.000194769539065857
57856 56.5 0.000196732580112784
58368 57 0.000198672313361598
58880 57.5 0.000200621305653362
59392 58 0.000202605083065809
59904 58.5 0.000204615813792839
60416 59 0.000206625495202159
60928 59.5 0.000208621519286949
61440 60 0.000210615378730939
61952 60.5 0.000212628561555618
62464 61 0.000214664345660235
62976 61.5 0.000216710003923567
63488 62 0.000218760714450061
64000 62.5 0.000220830410948711
64512 63 0.000222933331475778
65024 63.5 0.000225053636214789
65536 64 0.000227161857985692
66048 64.5 0.000229253304079224
66560 65 0.000231358508314633
67072 65.5 0.000233502551214637
67584 66 0.000235674478497293
68096 66.5 0.00023784601837765
68608 67 0.000240003641964044
69120 67.5 0.000242158877286188
69632 68 0.000244319930754494
70144 68.5 0.000246491410473919
70656 69 0.000248674264237712
71168 69.5 0.000250866393588498
71680 70 0.000253083869776935
72192 70.5 0.000255324621310072
72704 71 0.000257556097659029
73216 71.5 0.000259741103644139
73728 72 0.000261886719901724
74240 72.5 0.000264050459707277
74752 73 0.000266278988536058
75264 73.5 0.000268550919252774
75776 74 0.000270799080187998
76288 74.5 0.000272984648872577
76800 75 0.000275135693074504
77312 75.5 0.000277311736360381
77824 76 0.000279541046310306
78336 76.5 0.000281798180924466
78848 77 0.000284042213660983
79360 77.5 0.000286263847508893
79872 78 0.00028848068843837
80384 78.5 0.000290699384972059
80896 79 0.000292913191591425
81408 79.5 0.000295129922024992
81920 80 0.000297375358194829
82432 80.5 0.000299645948394517
82944 81 0.000301902341289895
83456 81.5 0.000304118591092081
83968 82 0.000306316562620075
84480 82.5 0.000308536481415478
84992 83 0.00031078550828762
85504 83.5 0.000313033712482841
86016 84 0.000315254161496302
86528 84.5 0.000317451712748073
87040 85 0.000319648625885736
87552 85.5 0.000321853518110541
88064 86 0.000324051589930434
88576 86.5 0.000326232881447392
89088 87 0.000328405597610495
89600 87.5 0.000330578285856903
90112 88 0.000332743924068624
90624 88.5 0.000334892932472938
91136 89 0.000337029040141941
91648 89.5 0.000339162161177485
92160 90 0.000341291617525847
92672 90.5 0.000343406154155299
