# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000548005809616461
512 0.5 0.000549388212951702
1024 1 0.000691853175003157
1536 1.5 0.000872064583067128
2048 2 0.00105030830473926
2560 2.5 0.00121700967577119
3072 3 0.00136590836646842
3584 3.5 0.001501264246012
4096 4 0.00163347650004229
4608 4.5 0.00175617619444929
5120 5 0.00185826063373686
5632 5.5 0.00193535000998339
6144 6 0.00199251808357355
6656 6.5 0.00203423341163035
7168 7 0.0020728670330642
7680 7.5 0.00211674772222956
8192 8 0.00216159337556436
8704 8.5 0.00219988301505281
9216 9 0.00223730708954523
9728 9.5 0.00228869391862375
10240 10 0.0023513980920998
10752 10.5 0.00239687250950794
11264 11 0.0024137378496026
11776 11.5 0.00243838201520841
12288 12 0.00251593792649232
12800 12.5 0.002640010799181
13312 13 0.00275626356922572
13824 13.5 0.00284357738991052
14336 14 0.00294463534215095
14848 14.5 0.00309474944698594
15360 15 0.00325618801284849
15872 15.5 0.00337229568471399
16384 16 0.00345564015561084
16896 16.5 0.00356479076061701
17408 17 0.00370768419122074
17920 17.5 0.0038279513331369
18432 18 0.00389266246967532
18944 18.5 0.00393742276262132
19456 19 0.00401053584647731
19968 19.5 0.00410939747970882
20480 20 0.00419771289986683
20992 20.5 0.00426123760930289
21504 21 0.00431836573240962
22016 21.5 0.00438629068885182
22528 22 0.00446153584291795
23040 22.5 0.00453552370399762
23552 23 0.00461324330766846
24064 23.5 0.00470778673750426
24576 24 0.00481998413532729
25088 24.5 0.00493079622879171
25600 25 0.00501909053854094
26112 25.5 0.0050878202963234
26624 26 0.00516631486103657
27136 26.5 0.00527940298293914
27648 27 0.00541730630346438
28160 27.5 0.00554493790212421
28672 28 0.00563986370795104
29184 28.5 0.00571153025997248
29696 29 0.00578382325256656
30208 29.5 0.00587141438752618
30720 30 0.00597592429655014
31232 30.5 0.00609053603582707
31744 31 0.00619917900344862
32256 31.5 0.00628308719183733
32768 32 0.0063417798556217
33280 32.5 0.00640201497421697
33792 33 0.00649297129699543
