# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.8711486794034e-05 1.87114867940337e-05 1.87114867940334e-05
1024 1 3.05945649358117e-05 3.05945649358126e-05 3.05945649358136e-05
1536 1.5 3.98711003841064e-05 3.98711003841025e-05 3.98711003840987e-05
2048 2 1.83754076467707e-05 1.83754076467593e-05 1.83754076467487e-05
2560 2.5 1.52548781175252e-05 1.52548781175322e-05 1.52548781175376e-05
3072 3 4.12707666642262e-05 4.12707666642492e-05 4.12707666642261e-05
3584 3.5 4.49072676979604e-05 4.49072676980252e-05 4.49072676979848e-05
4096 4 2.61205033714994e-05 2.61205033715209e-05 2.61205033715234e-05
4608 4.5 4.29363345212154e-05 4.29363345212847e-05 4.2936334521256e-05
5120 5 4.38043471896498e-05 4.38043471908085e-05 4.3804347190279e-05
5632 5.5 3.47814608716486e-05 3.47814608719778e-05 3.47814608720813e-05
6144 6 4.02647080793691e-05 4.02647080789118e-05 4.02647080798566e-05
6656 6.5 2.65723211794558e-05 2.65723211794309e-05 2.65723211795069e-05
7168 7 2.97862897700222e-05 2.97862897700222e-05 2.97862897702079e-05
7680 7.5 3.15558893928736e-05 3.15558893928403e-05 3.15558893930013e-05
8192 8 3.31304452264029e-05 3.3130445226335e-05 3.31304452265517e-05
8704 8.5 3.37932219280093e-05 3.37932219275252e-05 3.37932219286146e-05
9216 9 2.3876184884304e-05 2.3876184884298e-05 2.38761848851304e-05
9728 9.5 2.66811630484215e-05 2.66811630488308e-05 2.66811630455428e-05
10240 10 2.0570164145988e-05 2.05701641456996e-05 2.05701641453257e-05
10752 10.5 2.77828597544601e-05 2.77828597550743e-05 2.77828597527922e-05
11264 11 3.77432246530558e-05 3.77432246533871e-05 3.77432246513187e-05
11776 11.5 3.62005236293748e-05 3.62005236290298e-05 3.62005236285762e-05
12288 12 3.80210739184224e-05 3.80210739178462e-05 3.8021073917857e-05
12800 12.5 3.5774393279537e-05 3.57743932796269e-05 3.57743932799485e-05
13312 13 3.87483139878924e-05 3.87483139877954e-05 3.87483139883427e-05
13824 13.5 3.25548891094501e-05 3.25548891098038e-05 3.25548891109981e-05
