# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.35772359411931e-07 2.35772359411938e-07 2.35772359411946e-07
1024 1 5.94226745975655e-07 5.94226745975694e-07 5.94226745975733e-07
1536 1.5 9.11426625310534e-07 9.11426625310512e-07 9.11426625310484e-07
2048 2 9.58837481385701e-07 9.58837481385647e-07 9.58837481385558e-07
2560 2.5 1.02238438396189e-06 1.02238438396179e-06 1.02238438396174e-06
3072 3 1.00968501513156e-06 1.00968501513146e-06 1.00968501513153e-06
3584 3.5 1.13488376539401e-06 1.13488376539406e-06 1.13488376539412e-06
4096 4 1.05428477906721e-06 1.05428477906759e-06 1.0542847790681e-06
4608 4.5 1.13026508826378e-06 1.13026508826376e-06 1.13026508826291e-06
5120 5 1.13810710137481e-06 1.13810710137523e-06 1.13810710137511e-06
5632 5.5 1.17943537349466e-06 1.17943537349406e-06 1.17943537349497e-06
6144 6 1.16284714118056e-06 1.1628471411808e-06 1.16284714118292e-06
6656 6.5 1.23533338598712e-06 1.23533338598771e-06 1.23533338598713e-06
7168 7 1.23727778763423e-06 1.23727778763476e-06 1.23727778763279e-06
7680 7.5 1.21891863573419e-06 1.21891863573469e-06 1.21891863573522e-06
8192 8 1.29580818895411e-06 1.29580818895176e-06 1.29580818895498e-06
8704 8.5 1.32320906311298e-06 1.32320906311143e-06 1.32320906311335e-06
9216 9 1.33522868091061e-06 1.33522868091171e-06 1.33522868090725e-06
9728 9.5 1.39593169243327e-06 1.39593169242826e-06 1.39593169242993e-06
10240 10 1.39504151359438e-06 1.39504151359176e-06 1.39504151359023e-06
10752 10.5 1.40776708371893e-06 1.4077670837139e-06 1.40776708370739e-06
11264 11 1.40297466105567e-06 1.40297466105334e-06 1.40297466104757e-06
11776 11.5 1.40031076960483e-06 1.40031076960481e-06 1.40031076959939e-06
12288 12 1.37921322891495e-06 1.37921322890458e-06 1.37921322890232e-06
12800 12.5 1.34949715842345e-06 1.34949715842112e-06 1.34949715842769e-06
13312 13 1.35274327799703e-06 1.35274327800297e-06 1.35274327799938e-06
13824 13.5 1.35549134461363e-06 1.35549134460962e-06 1.35549134461559e-06
14336 14 1.30677874825101e-06 1.30677874824236e-06 1.30677874823848e-06
14848 14.5 1.2631447473944e-06 1.26314474738971e-06 1.26314474739795e-06
15360 15 1.25370224140211e-06 1.25370224140699e-06 1.25370224139531e-06
15872 15.5 1.27862722769062e-06 1.27862722768667e-06 1.27862722767846e-06
16384 16 1.31916599570883e-06 1.31916599571477e-06 1.31916599571849e-06
16896 16.5 1.3318897863144e-06 1.33188978632065e-06 1.33188978631681e-06
17408 17 1.37745590479257e-06 1.3774559047984e-06 1.37745590479036e-06
17920 17.5 1.40627376517496e-06 1.4062737651598e-06 1.40627376518104e-06
18432 18 1.42324085460476e-06 1.42324085460821e-06 1.42324085460708e-06
18944 18.5 1.45712064328565e-06 1.45712064328677e-06 1.4571206432703e-06
19456 19 1.50566047593858e-06 1.50566047593619e-06 1.50566047593979e-06
19968 19.5 1.57458341771284e-06 1.57458341771489e-06 1.5745834177113e-06
20480 20 1.59059000401772e-06 1.59059000399988e-06 1.59059000399506e-06
20992 20.5 1.5976448729561e-06 1.5976448729312e-06 1.59764487293689e-06
21504 21 1.60358990007219e-06 1.60358990006041e-06 1.60358990006428e-06
22016 21.5 1.64953363223719e-06 1.64953363222765e-06 1.6495336322303e-06
22528 22 1.69295039238752e-06 1.6929503923748e-06 1.69295039236971e-06
23040 22.5 1.6999264432286e-06 1.69992644321363e-06 1.69992644320781e-06
23552 23 1.68887142730705e-06 1.68887142731859e-06 1.68887142731288e-06
24064 23.5 1.69913971503588e-06 1.69913971505446e-06 1.69913971504533e-06
24576 24 1.68993119686043e-06 1.6899311968516e-06 1.68993119685594e-06
25088 24.5 1.65618663110811e-06 1.6561866311034e-06 1.6561866311047e-06
25600 25 1.66392199161044e-06 1.66392199162206e-06 1.66392199163544e-06
26112 25.5 1.64696922116255e-06 1.64696922117427e-06 1.64696922116991e-06
26624 26 1.55302365587265e-06 1.55302365587726e-06 1.55302365588392e-06
27136 26.5 1.49155343272954e-06 1.49155343274861e-06 1.49155343275345e-06
27648 27 1.46183618363753e-06 1.4618361836364e-06 1.4618361836434e-06
28160 27.5 1.45540047350537e-06 1.4554004734999e-06 1.45540047349285e-06
28672 28 1.46485570745833e-06 1.46485570746548e-06 1.46485570746169e-06
29184 28.5 1.50185275613705e-06 1.50185275615551e-06 1.50185275614861e-06
29696 29 1.54211178188703e-06 1.54211178190112e-06 1.54211178189739e-06
30208 29.5 1.57159921013282e-06 1.57159921011845e-06 1.57159921011827e-06
30720 30 1.59941205943381e-06 1.59941205943855e-06 1.59941205942763e-06
31232 30.5 1.67435406657454e-06 1.67435406657496e-06 1.67435406657195e-06
31744 31 1.74552980921685e-06 1.74552980922273e-06 1.74552980921401e-06
32256 31.5 1.77925009377481e-06 1.77925009377867e-06 1.77925009379282e-06
32768 32 1.79673951127079e-06 1.79673951128088e-06 1.79673951128104e-06
33280 32.5 1.83280989951889e-06 1.8328098995321e-06 1.83280989951657e-06
33792 33 1.8515345892952e-06 1.85153458930988e-06 1.85153458929751e-06
34304 33.5 1.84253560524792e-06 1.84253560527049e-06 1.8425356052817e-06
34816 34 1.83228393800203e-06 1.83228393803528e-06 1.83228393802001e-06
35328 34.5 1.80033406436678e-06 1.80033406438384e-06 1.80033406438023e-06
35840 35 1.77039408812396e-06 1.77039408811838e-06 1.77039408811163e-06
36352 35.5 1.74644141484704e-06 1.74644141486648e-06 1.7464414148549e-06
36864 36 1.70294514982064e-06 1.7029451498487e-06 1.70294514984554e-06
37376 36.5 1.64196615760356e-06 1.64196615759925e-06 1.64196615760997e-06
37888 37 1.58023984484533e-06 1.58023984485955e-06 1.58023984484702e-06
38400 37.5 1.5313561282617e-06 1.53135612827389e-06 1.53135612826964e-06
38912 38 1.47101877718429e-06 1.4710187771971e-06 1.47101877719442e-06
39424 38.5 1.4595177163616e-06 1.45951771635804e-06 1.45951771635346e-06
39936 39 1.47566343717289e-06 1.4756634371677e-06 1.47566343716772e-06
40448 39.5 1.48786259698136e-06 1.48786259699926e-06 1.48786259700516e-06
