# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 22:47:50+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-20.47.40-472028
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.21200908861979e-05 2.21200908861997e-05 2.21200908862003e-05
1024 1 3.60890635077414e-05 3.60890635077401e-05 3.60890635077388e-05
1536 1.5 4.91114949545975e-05 4.91114949545888e-05 4.91114949545802e-05
2048 2 3.84494078061527e-05 3.84494078061511e-05 3.84494078061555e-05
2560 2.5 4.1725783095664e-05 4.17257830956642e-05 4.17257830956649e-05
3072 3 5.72575963415711e-05 5.72575963415688e-05 5.72575963415641e-05
3584 3.5 5.24693027215125e-05 5.2469302721498e-05 5.24693027214639e-05
4096 4 4.03604502241805e-05 4.03604502241902e-05 4.03604502242052e-05
4608 4.5 4.29363345212154e-05 4.29363345212847e-05 4.2936334521256e-05
5120 5 4.64583419399378e-05 4.64583419399295e-05 4.64583419400173e-05
5632 5.5 5.80031716947557e-05 5.80031716947659e-05 5.80031716948341e-05
6144 6 6.32033304489225e-05 6.3203330448995e-05 6.32033304487685e-05
6656 6.5 6.07483687194975e-05 6.07483687194638e-05 6.07483687187283e-05
7168 7 5.61164510480164e-05 5.61164510479787e-05 5.61164510481818e-05
7680 7.5 4.95008003648195e-05 4.95008003648935e-05 4.95008003648478e-05
8192 8 4.02027662621703e-05 4.02027662622849e-05 4.02027662623074e-05
8704 8.5 3.62611815424405e-05 3.626118154223e-05 3.62611815421229e-05
9216 9 4.65006014580355e-05 4.65006014590788e-05 4.65006014583363e-05
9728 9.5 3.38348504880297e-05 3.3834850489762e-05 3.3834850487185e-05
10240 10 4.13914947583764e-05 4.13914947593822e-05 4.13914947579674e-05
10752 10.5 3.49027292816628e-05 3.49027292796611e-05 3.4902729281382e-05
11264 11 3.77432246530558e-05 3.77432246533871e-05 3.77432246513187e-05
11776 11.5 4.32796468239531e-05 4.32796468238415e-05 4.32796468237649e-05
12288 12 4.82956132254934e-05 4.8295613226017e-05 4.82956132251543e-05
